principal,total_pupuk,Hara Majemuk,Organik & Humat,Hayati,Hara Tunggal/An-organik,Pembenah Tanah/Amelioran,Makro-Mikro Campuran,Tidak Tercantum
PUPUK AGRO JAYA,1,1,0,0,0,0,0,0
PUTRA KURNIA MAS,1,0,0,0,0,1,0,0
ECA TANI BAROKAH,1,0,0,0,1,0,0,0
PT KIBO AGRI JAYA,1,0,0,1,0,0,0,0
MAHA DWIPA NUSANTARA,1,0,0,0,0,0,0,1
SEPAKAT GLOBAL,1,0,0,1,0,0,0,0
MAKMUR BUMI ABADI,1,0,1,0,0,0,0,0
NIRANKARA MAKMUR AGRO,1,0,0,0,0,1,0,0
TAWANG AGRO FARM,1,0,1,0,0,0,0,0
PESONA PETANI NUSANTARA,1,0,1,0,0,0,0,0
GALIH JATI,1,0,1,0,0,0,0,0
TIMAN AGUNG,1,0,1,0,0,0,0,0
BANGKIT SOLUSI AGRINDO,1,0,0,1,0,0,0,0
SUNJOY AGRO INDONESIA,1,0,0,0,0,0,0,1
HARI AGRO HAYATI,1,0,1,0,0,0,0,0
LOBO KRIS UNIKKA,1,0,1,0,0,0,0,0
SYNGENTA INDONESIA,1,0,1,0,0,0,0,0
ASA MANDIRI SEJAHTERA,1,0,0,1,0,0,0,0
TARUM SINERGI INDONESIA,1,0,1,0,0,0,0,0
MULIA AGRO SEJAHTERA,1,0,0,1,0,0,0,0
CV. Bulaksari Farm,1,1,0,0,0,0,0,0
CIPTA USAHA SANTOSA,1,0,0,0,0,0,0,1
SUBURI PUTRA MANDIRI,1,0,1,0,0,0,0,0
CV. HANGSON,1,0,0,0,0,0,0,1
CIHURIP AGRO NUSA,1,0,0,1,0,0,0,0
TANIKITA BERKAH,1,0,0,0,0,1,0,0
MITRA TERBAIK NUSANTARA,1,0,0,0,1,0,0,0
CV.PRATAMA LESTARI,1,0,0,0,0,0,0,1
BARATAYUDA AGRO TANI,1,0,0,1,0,0,0,0
SUMBER ALAM REJEKI,1,0,0,0,0,1,0,0
RJ MANDIRI,1,0,0,0,0,1,0,0
PT PERSADA PUPUK INDONESIA,1,0,1,0,0,0,0,0
TAN TJUN HOA/UD. NAGA MAS SAKTI,1,0,0,0,0,1,0,0
CV. Wahana Putra Mandiri,1,0,0,0,0,1,0,0
AGRO RIZVIK PRADANA,1,0,0,0,0,1,0,0
H.C.S. POWERINDO,1,0,1,0,0,0,0,0
ULTRAMIC INDONESIA,1,0,0,1,0,0,0,0
SEMULUR JAYA MAKMUR,1,0,1,0,0,0,0,0
CV. INDO SAMADA,1,0,0,0,0,0,0,1
BIO HARUN INDONESIA,1,0,1,0,0,0,0,0
INAMAS ANUGERAH SEMESTA,1,0,0,0,0,0,0,1
TOKYO DELAPAN INDONESIA,1,0,0,1,0,0,0,0
PLANTSAFE FERTILIZER INDONESIA,1,1,0,0,0,0,0,0
ALAMO GREENLIFE INTERNATIONAL,1,0,0,1,0,0,0,0
INOVASI NAGA LAUT BIRU,1,0,0,1,0,0,0,0
RICH DIGITAL NATURE,1,0,1,0,0,0,0,0
MOZAIKS JAYA MAKMUR,1,0,0,1,0,0,0,0
DAYA MERRY PERSADA,1,0,0,0,0,1,0,0
BERKAH FIQRI KERINCI,1,0,1,0,0,0,0,0
AGRO MUSTIKA ABADI,1,0,1,0,0,0,0,0
DAESANG INGREDIENTS INDONESIA,1,0,1,0,0,0,0,0
DEDANDU UTAMA,1,0,1,0,0,0,0,0
PADI DAMAI BALI,1,0,1,0,0,0,0,0
INOVASI TANI ALHIDAYAH GORONTALO,1,0,1,0,0,0,0,0
OMYA DISTRIBUTION INDONESIA,1,0,0,0,0,1,0,0
PT. MULYO TANI MAKMUR,1,0,0,0,1,0,0,0
SARI JAYA AGRO,1,1,0,0,0,0,0,0
BADAN USAHA MILIK PETANI (BUMP) PT. PENGAYOM TANI SEJAGAD,1,0,1,0,0,0,0,0
IJO INOVASI INDONESIA,1,0,1,0,0,0,0,0
MITRA SABDA,1,0,0,1,0,0,0,0
AKHTARINDO CHEMICAL SPECIALIST,1,0,0,0,0,0,0,1
GLOBAL NUTRI AGRINUSA,1,0,1,0,0,0,0,0
CV. Hattara Citra Argo,1,0,0,0,0,0,0,1
CV. BERKAH MAKMUR NUSANTARA,1,0,0,0,0,1,0,0
BUMI ASIH LELUHUR,1,0,1,0,0,0,0,0
PT. TANCIMAS WISIN JAYA,1,0,1,0,0,0,0,0
AGRO UNGGUL,1,0,0,0,0,1,0,0
AGAR SARI JAYA,1,0,1,0,0,0,0,0
MITRA CIPTA AGRO,1,0,0,0,0,0,0,1
KOPERASI KONSUMEN KSM SEHAT SEJAHTERA,1,0,1,0,0,0,0,0
TOMATEC INDONESIA,1,0,0,0,0,0,0,1
TRINITY MULTI,1,1,0,0,0,0,0,0
BUMI NOTO ROGO,1,0,1,0,0,0,0,0
CV BINA AGRO JAYA MAKMUR,1,0,0,0,0,0,0,1
SINAR MUTIARA GRESIK,1,0,0,0,0,1,0,0
SUMBER INTI CEMERLANG,1,0,0,0,0,0,0,1
ALAM PERKASA JAYA,1,0,1,0,0,0,0,0
PT.CITRA GIZEL MANDIRI,1,0,0,1,0,0,0,0
JASA TANI SUBUR,1,0,0,0,0,0,0,1
CAHAYA BARU,1,0,1,0,0,0,0,0
BUMI ALAM JATI,1,0,0,1,0,0,0,0
ADHIESTA NUGRAHA,1,0,0,1,0,0,0,0
CV. Maju Dua Sahabat,1,0,0,0,0,0,0,1
NUVALA MAKMUR SEJAHTERA,1,0,0,0,0,1,0,0
ARTHA MUARA FERTILIZER,1,0,0,0,0,1,0,0
CV. Mandiri Massadidu,1,0,1,0,0,0,0,0
ANUGERAH TANI MAKMUR,1,1,0,0,0,0,0,0
PLANET CHEMICALS,1,1,0,0,0,0,0,0
ANUGRAH TUNAS MANDIRI,1,0,0,0,0,0,0,1
INSAN TANI MANDIRI,1,0,1,0,0,0,0,0
PT. GRESIK NUSANTARA FERTILIZER,1,0,0,0,0,1,0,0
NOGYO ALAM SWASTIKA,1,0,1,0,0,0,0,0
PT. DUWIPA AGRO PERSADA,1,0,0,0,0,0,0,1
KARYA KOMPOS ORGANIK,1,0,1,0,0,0,0,0
MANDALA AGRO MAKMUR,1,1,0,0,0,0,0,0
CV. INDOZEZAR,1,0,1,0,0,0,0,0
MUTIARA TIMUR GRESIK,1,0,0,0,0,1,0,0
PT Pupuk Agung Sentosa,1,0,0,1,0,0,0,0
SAMRSAR,1,0,1,0,0,0,0,0
THIA ORGANIK,1,0,1,0,0,0,0,0
KARWALIP ROCHIS INDONESIA,1,0,0,1,0,0,0,0
BINANGUN GEMILANG SEMBADA,1,0,1,0,0,0,0,0
CATUR KARTIKA JAYA,1,0,0,1,0,0,0,0
SAMBONG PUTRA MARGO UTOMO,1,0,0,0,0,1,0,0
NUSANTARA AGRO HAYATI,1,0,1,0,0,0,0,0
MAS LESTARI INDONESIA,1,0,1,0,0,0,0,0
TANIRA YASA UTAMA,1,0,0,1,0,0,0,0
AGRO MAKMUR BERSAMA,1,0,0,0,0,1,0,0
EUREEKA INDONESIA,1,0,0,0,0,0,0,1
WULAN PUPUK INDONESIA,1,0,0,1,0,0,0,0
YUDHA PERDANA ANGESTI,1,1,0,0,0,0,0,0
ENNO CORPORATION,1,0,0,0,0,0,0,1
ARGA TANI MANDIRI,1,0,1,0,0,0,0,0
CARIU AGRO NATURA,1,0,1,0,0,0,0,0
JIVA AGRICULTURE INDONESIA,1,1,0,0,0,0,0,0
RAJA BORNEO FARM,1,0,1,0,0,0,0,0
MINERINDO TRIFABUANA,1,0,0,0,1,0,0,0
LUAS ARUNG SEJAHTERA,1,0,0,1,0,0,0,0
MITRA TANI MAKMUR,1,0,0,1,0,0,0,0
PT SURYA JAYA PRAKARSA SELARAS,1,0,0,0,0,1,0,0
WAHANA ALAM INDONESIA,1,0,0,0,0,1,0,0
CV. MEISA ADELIA PRIMA PRO,1,1,0,0,0,0,0,0
BIO AGRI LINK,1,0,0,0,0,0,0,1
SUKA BUMI LESTARI,1,0,0,0,0,1,0,0
PATAQU USAHA EXELEN,1,0,1,0,0,0,0,0
PT. ROJO KOYO MANUNGGAL GROUP,1,0,0,0,0,1,0,0
ANISA AGRO LESTARI,1,1,0,0,0,0,0,0
KITA TUMBUH SUBUR,1,0,1,0,0,0,0,0
PT. Bahra Eco Semesta Tani,1,0,0,0,0,0,0,1
UNIVERSAL BIOGRO AGRO,1,0,0,1,0,0,0,0
DIENG AGRO VANJAVA,1,0,1,0,0,0,0,0
BUMI SUBUR UTAMA,1,0,1,0,0,0,0,0
RAWWA ROUNDTEC INDONESIA,1,0,1,0,0,0,0,0
RAHMAD JAYA SANTOSO,1,0,1,0,0,0,0,0
CV. Baraya Maju Bersama,1,0,1,0,0,0,0,0
PANCARAN DARMA FARMINDO,1,0,0,1,0,0,0,0
MARGO UTOMO MULYO,1,0,1,0,0,0,0,0
PT. LINGGA HSB ABADI,1,0,0,1,0,0,0,0
PT. KAPUR PUTIH LAMPUNG,1,0,0,0,0,1,0,0
KERAMBITAN AGRO,1,0,1,0,0,0,0,0
SORIK ANGKOLA SINERGI,1,0,0,0,0,1,0,0
SUWARNADWIPA GREEN FERTILIZER,1,1,0,0,0,0,0,0
INDAGRO,1,0,0,1,0,0,0,0
MULIA SUKSES ABADI SENTOSA,1,0,0,1,0,0,0,0
PT. ARYA SUPRA NUGRAHA,1,0,0,0,1,0,0,0
EKADWI SELO UNGGUL,1,1,0,0,0,0,0,0
CV. KANA MAKMUR,1,0,0,0,0,0,0,1
AGROBION SEJAHTERA,1,0,1,0,0,0,0,0
SEKAWAN JAYA BESTINDO,1,0,0,0,0,1,0,0
NATURAL EVERGREEN ORGANIK,1,0,1,0,0,0,0,0
NUSANTARA AGRO FARMA,1,0,1,0,0,0,0,0
DINAR MULIA LESTARI,1,0,0,0,0,1,0,0
PT. Amory Multi Quality,1,0,0,1,0,0,0,0
PT JAVA MINING FERTILIZO,1,0,0,0,0,1,0,0
TUMBUH SUBUR MAKMUR,1,0,0,0,0,1,0,0
SUBUR INDO AMERTA,1,0,0,0,0,0,0,1
PT. ARENA AGRO UTAMA,1,0,0,0,1,0,0,0
BENGKEL MIMPI NUSANTARA,1,0,1,0,0,0,0,0
PT. SEKAWAN MAJU BERSAMA PRIMA,1,0,1,0,0,0,0,0
SAKTI BERJAYA,1,0,0,1,0,0,0,0
PT. Pupor Sejahtera Makmur,1,0,1,0,0,0,0,0
MANDRAGUNA PUSAKA INDONESIA,1,0,1,0,0,0,0,0
CV. AGRO BIO ORGANIK,1,0,1,0,0,0,0,0
ANTARES MULTI ENERGI,1,0,0,0,0,1,0,0
REZKY BERSAUDARA,1,0,0,0,0,1,0,0
KAMPAR SYNERGI ABADI,1,0,1,0,0,0,0,0
SINAR AGRI UTAMA,1,1,0,0,0,0,0,0
PT. Berkah Indonesiaraya Sukses,1,0,0,0,0,0,0,1
TOBA AGRO CHEMICAL,1,0,1,0,0,0,0,0
AGRIVEST ALAM ASIA,1,0,1,0,0,0,0,0
LAKSMANA MULIA SENTOSA,1,0,1,0,0,0,0,0
PT. VIBEST SUKSES ABADI,1,0,1,0,0,0,0,0
MUSTIKA TANAH NUSANTARA,1,0,0,1,0,0,0,0
AJE PRATAMA GEMILANG,1,0,1,0,0,0,0,0
PT. ANUGRAHA ALAM SENTOSA,1,0,1,0,0,0,0,0
AGROSINDO UTAMA,1,0,1,0,0,0,0,0
CV. DUTA MAS PADJADJARAN,1,0,0,0,0,0,0,1
RESEP MAKMUR JAYA,1,0,1,0,0,0,0,0
CAHYA TANI INDONESIA,1,0,0,0,0,1,0,0
PUTRA PATIKALA MAJU,1,0,0,0,0,1,0,0
PETRO PUPUK KIMIA,1,1,0,0,0,0,0,0
ANGSA MAS JAYA,1,1,0,0,0,0,0,0
PT. MANDALA PRATAMA NUSANTARA,1,0,1,0,0,0,0,0
TRUBUS SWADAYA,1,0,0,0,0,0,0,1
ARFADA TIGAPUTRA BUDIWIBOWO,1,0,1,0,0,0,0,0
AZKA MANDIRI,1,0,0,0,0,0,0,1
ST. MANDIRI,1,0,0,1,0,0,0,0
CV. SURYA INDAH MULIA,1,0,1,0,0,0,0,0
CV . Berkah Tani Mandiri,1,0,1,0,0,0,0,0
TRIJAVA MAJU BERSAMA,1,0,0,1,0,0,0,0
BINA TANI MULIA,1,0,1,0,0,0,0,0
BERKAH TANI PERKASA,1,0,0,0,0,1,0,0
GOPIN TEGAR ABADI,1,0,0,0,0,1,0,0
PRIMASID ANDALANUTAMA,1,1,0,0,0,0,0,0
BAWANA INDO UNIVERSAL,1,0,1,0,0,0,0,0
PT. Bilquis Jaya Perkasa,1,0,0,1,0,0,0,0
ECONOVA PRIMA INTERNATIONAL,1,0,0,0,0,0,0,1
GLORIENTA MINERAL PERKASA,1,0,0,0,0,1,0,0
MARIO MARAJA,1,0,0,1,0,0,0,0
AGRARIA SENTOSA NUSANTARA,1,0,1,0,0,0,0,0
PT DIC Graphics,1,0,0,0,1,0,0,0
ERAKARYA PUPUK LESTARI,1,0,1,0,0,0,0,0
BIO DEMETER SUBUR BERKAH,1,0,1,0,0,0,0,0
AMINDOWAY JAYA,1,0,0,0,0,0,0,1
PT. TEKNO INOVASI ASIA,1,0,0,1,0,0,0,0
MAJULAH SOLUSI PARAGON,1,0,1,0,0,0,0,0
PASCAL BIOTECH INDONESIA,1,0,0,1,0,0,0,0
PT. Dewi Samudra Bumi Makmur,1,0,1,0,0,0,0,0
NAZA AGRO'S,1,0,1,0,0,0,0,0
GANCARGEMILANG JAYASAKTI,1,0,0,0,0,0,0,1
INOVASI JAYA ORGANIK,1,0,1,0,0,0,0,0
LESAFFRE SARI NUSA,1,0,1,0,0,0,0,0
PUTRA ANANDIRI,1,0,0,0,0,1,0,0
MITRA AGRONIAGA NUSANTARA,1,0,1,0,0,0,0,0
TION AGRO NUSANTARA,1,0,1,0,0,0,0,0
ARTHA TANI UNGGUL,1,0,0,0,0,1,0,0
POESRI RAYA,1,0,0,0,0,1,0,0
PT. SINAR MAKMUR ORGANIK,1,0,1,0,0,0,0,0
SETIA AGUNG SINERGI,1,0,0,0,0,0,0,1
CV Trubus Mas Lestari,1,0,0,1,0,0,0,0
KIMIA KARYANUSA CARAKA,1,0,0,0,0,1,0,0
PT. WAHANA MAKMUR BERSAMA,1,0,0,0,0,1,0,0
ENVITEC MULTI INDONESIA,1,0,1,0,0,0,0,0
BERNIAGA SINERGI NUSANTARA,1,0,1,0,0,0,0,0
BERDI ORGANIK INTERNASIONAL,1,0,1,0,0,0,0,0
GOLDEN PLANTER INDONESIA,1,0,0,0,0,0,0,1
INTI TANI NIAGA,1,0,1,0,0,0,0,0
MASARO SENTRA MAKMUR,1,0,1,0,0,0,0,0
TUAH INDATU,1,0,1,0,0,0,0,0
LENTERA WIJAYA,1,0,0,1,0,0,0,0
ASIA GALA KIMIA,1,0,1,0,0,0,0,0
PONDOK PESANTREN ASSALAFIE,1,0,0,1,0,0,0,0
CENTRAL INDO PRIMA GROUP,1,0,1,0,0,0,0,0
MULIA AGRO HAYATI,1,0,0,1,0,0,0,0
CV. AGRO MITRA SEJAHTERA,1,0,1,0,0,0,0,0
HAYATI FORTUNA INDONESIA,1,0,0,1,0,0,0,0
PUPUK SUBURKAN NEGERI,1,0,1,0,0,0,0,0
CV SUNDAG AGRO FERTILIZER,1,0,0,0,0,1,0,0
KSM SEHAT SEJAHTERA,1,0,1,0,0,0,0,0
MUTIARA MAS,1,1,0,0,0,0,0,0
DWI AGRO MANUNGGAL,1,0,0,0,0,0,0,1
WAHANA ORGANIK MULIAJAYA,1,0,1,0,0,0,0,0
ORSINIL INDO MITRA PATEN,1,0,1,0,0,0,0,0
JAVA AGRO SEMESTA,1,0,0,1,0,0,0,0
BIOPOR SINERGY NUSANTARA,1,0,1,0,0,0,0,0
UDKHABI BUN NAJAR,1,0,0,0,0,1,0,0
KOPERASI JASA PUSLIT KELAPA SAWIT,1,0,0,1,0,0,0,0
KURNIA AGRO LESTARI,1,0,0,0,1,0,0,0
RASYA RIZKI PRATAMA PHD,1,0,1,0,0,0,0,0
RAMIN MINERAL JAYA,1,0,1,0,0,0,0,0
ACE BIO CARE,1,0,0,0,0,0,0,1
SALIMAS CITRA KENCANA,1,0,1,0,0,0,0,0
PT. BAHAGIA JAYA INDO,1,0,0,0,0,0,0,1
ROYAL AGRO INDONESIA,1,0,1,0,0,0,0,0
PT. Sinar Deli Mandiri,1,0,0,0,1,0,0,0
PT Buana Hijau Pratama,1,0,0,0,0,0,0,1
JAGAD SUMBER MAKMUR,1,0,0,0,0,1,0,0
GERDU GENENG SIDAYU,1,0,0,0,0,1,0,0
PT. Perdagangan Indo Mandiri Sejati,1,0,0,0,0,1,0,0
POWER NIAGA SUKSES,1,0,0,0,0,0,0,1
MITRA TANI SEMESTA,1,0,0,0,0,0,0,1
PT. SEMERU JAYA GEMILANG,1,0,0,0,0,1,0,0
CV. Semangat Baru Agro,1,0,1,0,0,0,0,0
SINAR AGRO MULTIHARA,1,0,0,0,0,1,0,0
SANTANI AGRO MANDIRI,1,0,0,0,1,0,0,0
MIKHA TANINDO MAKMUR,1,0,1,0,0,0,0,0
PUPUK KARYA POLOWIJO,1,0,0,0,0,0,0,1
BERKAT HIJAU SUBUR MELIMPAH,1,0,0,1,0,0,0,0
SANYO TRADING INDONESIA,1,0,0,0,0,1,0,0
MAKMUR AGRISARANA,1,0,0,1,0,0,0,0
AGRO ANDALAS JAYA,1,0,0,0,0,1,0,0
PT BERKAH MANDIRI SEJATI,1,0,0,0,0,1,0,0
SUBU GREEN INDONESIA,1,0,1,0,0,0,0,0
