nama_asli,nama_kanonik,pendaftaran,sumber
CV. DITAMA RAYA,CV. DITAMA RAYA,2,pestisida+pupuk
PT. REJEKI AGRO INDONESIA,PT. REJEKI AGRO INDONESIA,2,pestisida
PT. PRIMA AGRO NETWORK,PT. PRIMA AGRO NETWORK,2,pestisida
CV. ANGKASA DIGITAL NIAGA,CV. ANGKASA DIGITAL NIAGA,2,pestisida
PT. TRIKA SAKA JAYA,PT. TRIKA SAKA JAYA,2,pestisida
PT. DOVER CHEMICAL,PT. DOVER CHEMICAL,2,pestisida
PT. DHARMA AYU TANI,PT. Dharma Ayu Tani,2,pestisida
PT. SANOVA,PT. SANOVA,2,pestisida
BERKAT MANNA MAJU,CV. BERKAT MANNA MAJU,2,pupuk
PT. GIGA PUTRA TANI,PT. GIGA PUTRA TANI,2,pestisida
PT. OGINESIA MULTI TANI,PT. OGINESIA MULTI TANI,2,pestisida
RAJA BENUA MAS,CV. RAJA BENUA MAS,2,pupuk
MAHITALA MIRA INDONESIA,MAHITALA MIRA INDONESIA,2,pupuk
BASF DISTRIBUTION INDONESIA,BASF DISTRIBUTION INDONESIA,2,pupuk
MANIS SPORTIF,MANIS SPORTIF,2,pupuk
KURNIA AGRO,KURNIA AGRO,2,pupuk
CV. Cahaya Abadi,CV. Cahaya Abadi,2,pupuk-legacy
SAWIT CENTER INDONESIA,SAWIT CENTER INDONESIA,2,pupuk
SELLA SANGIANG ASRI,SELLA SANGIANG ASRI,2,pupuk
PT.Alas Metuah Perdana,PT.Alas Metuah Perdana,2,pupuk
BIO NUSANTARA ALAMI,BIO NUSANTARA ALAMI,2,pupuk
ROJO KOYO MANUNGGAL GROUP,PT. ROJO KOYO MANUNGGAL GROUP,2,pupuk
BIOTECH FERTILIZER INDONESIA,BIOTECH FERTILIZER INDONESIA,2,pupuk
TUNAS JAVA MANDIRI,TUNAS JAVA MANDIRI,2,pupuk
PANDAWA AGRI INDONESIA,PANDAWA AGRI INDONESIA,2,pupuk
PT. Pakar Pupuk Nusantara,PT. Pakar Pupuk Nusantara,2,pupuk
BENE PYTO TANI JAYA,BENE PYTO TANI JAYA,2,pupuk
CV. SUMBER MULYO SEJAHTERA,CV. SUMBER MULYO SEJAHTERA,2,pupuk
PT.NOVACHEM ADAMANTINA,PT.NOVACHEM ADAMANTINA,2,pupuk
PT ANUGERAH PUPUK MAKMUR,PT ANUGERAH PUPUK MAKMUR,2,pupuk-legacy
PT. Bandung Inovasi Organik,PT. Bandung Inovasi Organik,2,pupuk-legacy
CV. Intan Permata Dunia,CV. Intan Permata Dunia,2,pupuk
SURYA DUTA GREENINDO,SURYA DUTA GREENINDO,2,pupuk
CV. Sinar Surya,CV. Sinar Surya,2,pupuk
RAYON UTAMA KHATULISTIWA,RAYON UTAMA KHATULISTIWA,2,pupuk
GLOBALINDO INTI PERSADA,GLOBALINDO INTI PERSADA,2,pupuk
PT. Anugerah Pupuk Lestari,PT. Anugerah Pupuk Lestari,2,pupuk-legacy
KIRANI AGRINUSANTARA,KIRANI AGRINUSANTARA,2,pupuk
PT. SURYA CIPTA PERKASA YOGYAKARTA,PT. SURYA CIPTA PERKASA YOGYAKARTA,2,pupuk-legacy
DWI KENCANA ABADI,DWI KENCANA ABADI,2,pupuk
SUMATERA MINERAL SEJAHTERA,SUMATERA MINERAL SEJAHTERA,2,pupuk
ADITYA MANDIRI UTAMA,ADITYA MANDIRI UTAMA,2,pupuk
PT. Tri Mukti Nusantara Indonesia,PT. Tri Mukti Nusantara Indonesia,2,pupuk
PT. SINAR PERSADA JAYA,PT. SINAR PERSADA JAYA,2,pupuk
WIRA TANI MAKMUR,WIRA TANI MAKMUR,2,pupuk
CV. BUMI INDO RAHARJA,PT Bumi Indo Raharja,2,pupuk-legacy
AGRO SANTANINDO,CV. Agro Santanindo,2,pupuk
SAGARA PRIMA PERKASA,SAGARA PRIMA PERKASA,2,pupuk
PT.GUNUNG BERKAT SEJAHTERA,PT.GUNUNG BERKAT SEJAHTERA,2,pupuk-legacy
ELEVASI AGRI INDONESIA,ELEVASI AGRI INDONESIA,2,pupuk
PT. VERONA MULTIKIMIA ABADI,PT. VERONA MULTIKIMIA ABADI,2,pupuk
AGUNG PRATAMA INDONESIA,AGUNG PRATAMA INDONESIA,2,pupuk
PT. Balohan Jaya Utama,PT. Balohan Jaya Utama,2,pupuk
MUSTIKA AGRO TANI,MUSTIKA AGRO TANI,2,pupuk
BAHAGIA ALAM SEJATI,BAHAGIA ALAM SEJATI,2,pupuk
DIAMOND INTEREST INTERNATIONAL,DIAMOND INTEREST INTERNATIONAL,2,pupuk
SUMBER AGUNG PUTRA JAYA,SUMBER AGUNG PUTRA JAYA,2,pupuk
PUNDI NUSANTARA RAYA,PUNDI NUSANTARA RAYA,2,pupuk
MESUNJA PRIMA TECH,MESUNJA PRIMA TECH,2,pupuk
PT. REJOSO MANIS INDO,PT. REJOSO MANIS INDO,2,pupuk
JAYA SRI BERSAMA,CV JAYA SRI BERSAMA,2,pupuk
GEMOLONG SUCI,GEMOLONG SUCI,2,pupuk
SAHABAT TANI MANDIRI,CV. SAHABAT TANI MANDIRI,2,pupuk
CV. SAHABAT TANI MANDIRI,CV. SAHABAT TANI MANDIRI,2,pupuk
CV. PRIMA TANI MANDIRI,CV. PRIMA TANI MANDIRI,2,pupuk
KHARISMA MUTIARA AGRO,KHARISMA MUTIARA AGRO,2,pupuk
SRI REJEKI FERTILIZER,PT SRI REJEKI FERTILIZER,2,pupuk
PUTRA NUSA,PUTRA NUSA,2,pupuk
KARFOS,KARFOS,2,pupuk
CV. SAMI JAYA AGRO,CV. SAMI JAYA AGRO,2,pupuk
ANUGRAH CEMERLANG INDONESIA,ANUGRAH CEMERLANG INDONESIA,2,pupuk
CV.Mitra Tani Abadi,CV.Mitra Tani Abadi,2,pupuk-legacy
GRAHA BIOFARM SOLUSI,GRAHA BIOFARM SOLUSI,2,pupuk
CV. BUMI AGRO FERTILIZER,CV. BUMI AGRO FERTILIZER,2,pupuk
BUMI AGRO FERTILIZER,CV. BUMI AGRO FERTILIZER,2,pupuk
BIO AGRO REVOLUTIONARY UTILITY,BIO AGRO REVOLUTIONARY UTILITY,2,pupuk
MEDIA BUANA PERSADA,MEDIA BUANA PERSADA,2,pupuk
CIBADAK AGRI,CIBADAK AGRI,2,pupuk
PENTA AGROCHEM MULIA,PENTA AGROCHEM MULIA,2,pupuk
DASTRA KARYA SEMESTA,DASTRA KARYA SEMESTA,2,pupuk
PT. BUMI TANI SUBUR,PT. BUMI TANI SUBUR,2,pupuk-legacy
BERJAYA INTI PERKASA,BERJAYA INTI PERKASA,2,pupuk
NUSANTARA SEJAHTERA MEDICA,NUSANTARA SEJAHTERA MEDICA,2,pupuk
CV. PARI MAS,CV. PARI MAS,2,pupuk
SUAKABUMI,SUAKABUMI,2,pupuk
PT. Inovasi Natural Bio Organik,PT. Inovasi Natural Bio Organik,2,pupuk
REZEKI UTAMA JAYA,REZEKI UTAMA JAYA,2,pupuk
PT. Menara Dwikarya Prima,PT. Menara Dwikarya Prima,2,pupuk
ADAMAS MAKMUR SEJAHTERA,ADAMAS MAKMUR SEJAHTERA,2,pupuk
WINDU KENCANA MULYA,WINDU KENCANA MULYA,2,pupuk
AMANAH JAYA TANI,AMANAH JAYA TANI,2,pupuk
UD. Mitra Merdeka Tani,UD. Mitra Merdeka Tani,2,pupuk
CV. BRISH WATE,CV. BRISH WATE,2,pupuk
CV. SABAR BERSAUDARA,CV. SABAR BERSAUDARA,2,pupuk
CV.PETRO INTI PERKASA,CV.PETRO INTI PERKASA,2,pupuk+pupuk-legacy
GADASAKTI AGRITEK PRATAMA,GADASAKTI AGRITEK PRATAMA,2,pupuk
PT.SUBUR ALAM SEJAHTERA,PT.SUBUR ALAM SEJAHTERA,2,pupuk
BUMI SUBUR KHATULISTIWA,BUMI SUBUR KHATULISTIWA,2,pupuk
BUMI PARIGI,BUMI PARIGI,2,pupuk
PROFARM FERTILINDO,PROFARM FERTILINDO,2,pupuk
GAUDY BARCA PUTRA,GAUDY BARCA PUTRA,2,pupuk
AGRO JAYA OKTAVIANT,AGRO JAYA OKTAVIANT,2,pupuk
CV. Randu Aji,CV. Randu Aji,2,pupuk
CV DUTA LIMAS,CV DUTA LIMAS,2,pupuk-legacy
TRIDI AGENG GEMILANG,TRIDI AGENG GEMILANG,2,pupuk
HASYA JAYA SHAFADILA,PT. Hasya Jaya Shafadila,2,pupuk
PT. Hasya Jaya Shafadila,PT. Hasya Jaya Shafadila,2,pupuk
CV REZKI UTAMA MANDIRI,CV REZKI UTAMA MANDIRI,2,pupuk
PESANGGEM MITRA ABADI,CV. PESANGGEM MITRA ABADI,2,pupuk
INDONESIA GREEN INNOVATION,INDONESIA GREEN INNOVATION,2,pupuk
SETIA USAHA TANI MANDIRI,SETIA USAHA TANI MANDIRI,2,pupuk
AGRO LESTARI MAKMUR NUSANTARA,AGRO LESTARI MAKMUR NUSANTARA,2,pupuk
GOLDEN SUMMIT JAYA,GOLDEN SUMMIT JAYA,2,pupuk
MAHESA PANTURA GRESIK,MAHESA PANTURA GRESIK,2,pupuk
PT. AGRO NIAGA GLOBALINDO,PT. AGRO NIAGA GLOBALINDO,2,pupuk
BIOMINO INDONESIA PERSADA,BIOMINO INDONESIA PERSADA,2,pupuk
AWM ELITE INTERNATIONAL,AWM ELITE INTERNATIONAL,2,pupuk
PRIMA MULIA ABADI,PT. PRIMA MULIA ABADI,2,pupuk
WISH INDONESIA,WISH INDONESIA,2,pupuk
DIRA LIMINDO PUTRA,DIRA LIMINDO PUTRA,2,pupuk
JOS AGRO MANDIRI,JOS AGRO MANDIRI,2,pupuk
SUMBER REJEKI,CV. Sumber Rejeki,2,pupuk
AGRO BIO MAHLIGAI,CV. AGRO BIO MAHLIGAI,2,pupuk
CV. AGRO BIO MAHLIGAI,CV. AGRO BIO MAHLIGAI,2,pupuk-legacy
ANUGERAH DOLOMIT INDONESIA,ANUGERAH DOLOMIT INDONESIA,2,pupuk
SAMUDERA ATLANTIK JAYA ABADI,SAMUDERA ATLANTIK JAYA ABADI,2,pupuk
SUKSES ABADI TANI INDONESIA,SUKSES ABADI TANI INDONESIA,2,pupuk
MANUVERE EGLORY CHEMAGRI,MANUVERE EGLORY CHEMAGRI,2,pupuk
EKARAYA,EKARAYA,2,pupuk
FERTINDO AGRONUSA PERSADA,FERTINDO AGRONUSA PERSADA,2,pupuk
CV. Pilar Fasa Mandiri,CV. Pilar Fasa Mandiri,2,pupuk
PT. Bhadra Cemerlang,PT. Bhadra Cemerlang,2,pupuk-legacy
ESA DISTRIBUSI NUSANTARA,ESA DISTRIBUSI NUSANTARA,2,pupuk
JAVA KARLOS INDONESIA,JAVA KARLOS INDONESIA,2,pupuk
PT. Satya Agrindo Perkasa,PT. Satya Agrindo Perkasa,2,pupuk
PRIMA AGRO ORGANIC,PRIMA AGRO ORGANIC,2,pupuk
EKA TIMUR RAYA,EKA TIMUR RAYA,2,pupuk
PT.PRATAMA SUBUR AGRITAMA,PT.PRATAMA SUBUR AGRITAMA,2,pupuk
GRHA FERRY INDUSTRI,GRHA FERRY INDUSTRI,2,pupuk
SIDENRENG AGRO INNO TECH,SIDENRENG AGRO INNO TECH,2,pupuk
YIH SHENNINDO MAKMUR JAYA,YIH SHENNINDO MAKMUR JAYA,2,pupuk
CV Agro Niaga Sejati,CV Agro Niaga Sejati,2,pupuk-legacy
CV. Bumi Agro Indonesia,CV. Bumi Agro Indonesia,2,pupuk
AGRO TANI MAJU SEJAHTERA,PT. AGRO TANI MAJU SEJAHTERA,2,pupuk
CV. PUSAKA ALAM,CV. PUSAKA ALAM,2,pupuk+pupuk-legacy
BORNEO INTECH,BORNEO INTECH,2,pupuk
KHANSA CITRA BUANA,KHANSA CITRA BUANA,2,pupuk
AGRI MAKMUR MEGA PERKASA INDO,AGRI MAKMUR MEGA PERKASA INDO,2,pupuk
DHARMA GUNA,DHARMA GUNA,2,pupuk
GRESIK NUSANTARA FERTILIZER,PT. GRESIK NUSANTARA FERTILIZER,2,pupuk
PT SATYA PADMA AGRISOL,PT SATYA PADMA AGRISOL,2,pupuk
CV. Sinar Sejahtera,CV. Sinar Sejahtera,2,pupuk
PT.MITRA UTAMA MAKMUR,PT.MITRA UTAMA MAKMUR,2,pupuk
CV SURYA CITRA PERKASA,CV SURYA CITRA PERKASA,2,pupuk
WIBAWA MUKTI,WIBAWA MUKTI,2,pupuk
MITRA TANI GROUP INDONESIA,MITRA TANI GROUP INDONESIA,2,pupuk
MEGARHIZO EGA PERSADA,MEGARHIZO EGA PERSADA,2,pupuk
MEGAH AGRI MEDIA BAROKAH,MEGAH AGRI MEDIA BAROKAH,2,pupuk
CV. Bambu Emas,CV. Bambu Emas,2,pupuk
CV. PUPUK AGRI MANDIRI,CV. PUPUK AGRI MANDIRI,2,pupuk
BEKTI JOYO SAMPURNO,BEKTI JOYO SAMPURNO,2,pupuk
AGRO GEMILANG INDONESIA,AGRO GEMILANG INDONESIA,2,pupuk
MULTI AGRINDO NUSANTARA,MULTI AGRINDO NUSANTARA,2,pupuk
GUANO BERKAH SEJAHTERA,GUANO BERKAH SEJAHTERA,2,pupuk
MENTHOBI HIJAU LESTARI,MENTHOBI HIJAU LESTARI,2,pupuk
TECHNER INDO RAYA,TECHNER INDO RAYA,2,pupuk
HUMAN LIFE INDONESIA,HUMAN LIFE INDONESIA,2,pupuk
HIMALAYA AGRO INVESTAMA,HIMALAYA AGRO INVESTAMA,2,pupuk
NAKULA AGRI JAYA,NAKULA AGRI JAYA,2,pupuk
DEKA AGRO PRODUCT,CV. Deka Agro Product,2,pupuk
ANUGERAH DOLOMIT LESTARI,ANUGERAH DOLOMIT LESTARI,2,pupuk
MARZUQ,CV MARZUQ,2,pupuk
PT.BUMI PERKASA AGRINDO,PT.BUMI PERKASA AGRINDO,2,pupuk
GREENTRACK TECHNOLOGY INDONESIA,GREENTRACK TECHNOLOGY INDONESIA,2,pupuk
MERDEKA BAHARI INDONESIA,MERDEKA BAHARI INDONESIA,2,pupuk
INOVASI FERTILIZER GROWPLANT,INOVASI FERTILIZER GROWPLANT,2,pupuk
ANSELL AGRO INDONESIA,ANSELL AGRO INDONESIA,2,pupuk
AGAPE SINAR NUSANTARA,AGAPE SINAR NUSANTARA,2,pupuk
CV. BUMIKITA MAKMUR,CV. BUMIKITA MAKMUR,2,pupuk-legacy
TIGA DARA JAYA,TIGA DARA JAYA,2,pupuk
INTER ALL,INTER ALL,2,pupuk
PILAR LIMA,PILAR LIMA,2,pupuk
MAKRO CHEMINDO,PT. Makro Chemindo,2,pupuk
PT. Makro Chemindo,PT. Makro Chemindo,2,pupuk-legacy
RILIS,RILIS,2,pupuk
PT. MITRA CHEMICAL WISESA,PT. MITRA CHEMICAL WISESA,2,pupuk
PT. AGROABADI MAKMUR PERSADA,PT. AGROABADI MAKMUR PERSADA,2,pupuk-legacy
MAMORA MARTUA JAYA,MAMORA MARTUA JAYA,2,pupuk
"Tiara Kurnia, PT","Tiara Kurnia, PT",2,pupuk
TANATANI,TANATANI,2,pupuk
KANANITORA,KANANITORA,2,pupuk
PT.MYCO AGRO LESTARI,PT.MYCO AGRO LESTARI,2,pupuk
PT. BIOGREEN AGRO NUSA,PT. BIOGREEN AGRO NUSA,2,pupuk
PROSPER MEGA NUSANTARA,PROSPER MEGA NUSANTARA,2,pupuk
CV. Rahma Jaya,CV. Rahma Jaya,2,pupuk-legacy
CV. AGRO MITRA BERJAYA,CV. AGRO MITRA BERJAYA,2,pupuk
HABIBI PUTRA TANI,HABIBI PUTRA TANI,2,pupuk
PT. INDOGAL AGRO TRADING,PT. INDOGAL AGRO TRADING,2,pupuk
CV. BAROKAH ZA,CV. BAROKAH ZA,2,pupuk
PT. Catur HIdayah Lestari,PT. Catur HIdayah Lestari,2,pupuk
EMPAT LIMA NUSWANTORO,EMPAT LIMA NUSWANTORO,2,pupuk
DHARMA KARTAPURA,DHARMA KARTAPURA,2,pupuk
ALAM MANFAAT BERKAH,ALAM MANFAAT BERKAH,2,pupuk
PT. Sarana Agro Panata,PT. Sarana Agro Panata,2,pupuk
BINTANG MARGOMULYA ORGANIK,BINTANG MARGOMULYA ORGANIK,2,pupuk
PETROKIMIA KEBOMAS GRESIK,PETROKIMIA KEBOMAS GRESIK,2,pupuk
LINTANG BORNEO MANDIRI INDONESIA,LINTANG BORNEO MANDIRI INDONESIA,2,pupuk
KUTAI AGROLESTARI MAKMUR,KUTAI AGROLESTARI MAKMUR,2,pupuk
PUTRA KIMIA GRESIK,PUTRA KIMIA GRESIK,2,pupuk
PT. Bio Takemi Global,PT. Bio Takemi Global,2,pupuk
AGRO MARITIM NUSANTARA,AGRO MARITIM NUSANTARA,2,pupuk
CV. Jaya Makmur Sentausa,CV. Jaya Makmur Sentausa,2,pupuk-legacy
EKO SUNGKONO,EKO SUNGKONO,2,pupuk
CV ALAM MAKMUR TANI AGRO,CV ALAM MAKMUR TANI AGRO,2,pupuk
AGRONIKO NUSANTARA,AGRONIKO NUSANTARA,2,pupuk
PUTRA BARAGE RAYA,PUTRA BARAGE RAYA,2,pupuk
PT. BINTANG CHEMICAL ABADI,PT. BINTANG CHEMICAL ABADI,2,pupuk
JAKE AGRO JAYA,JAKE AGRO JAYA,2,pupuk
CV. CENTRA AGRINUSA,CV. CENTRA AGRINUSA,2,pupuk
BIO CYCLE INDO,BIO CYCLE INDO,2,pupuk
SUBUR MAKMUR ORGANIK,SUBUR MAKMUR ORGANIK,2,pupuk
PT Mycotech Agro Asia,PT Mycotech Agro Asia,2,pupuk
KKI NUSANTARA SUKSES,KKI NUSANTARA SUKSES,2,pupuk
AGRI JAYA MANGGALA,PT. Agri Jaya Manggala,2,pupuk
PT. TIMUR ALAM RAYA,PT. TIMUR ALAM RAYA,2,pupuk
CV. Rachma Farm Sejahtera,CV. Rachma Farm Sejahtera,2,pupuk
TRI MITRA AGRO UTAMA,TRI MITRA AGRO UTAMA,2,pupuk
MEREK INDAH LESTARI,MEREK INDAH LESTARI,2,pupuk
SEHAT CEMERLANG SEJAHTERA,SEHAT CEMERLANG SEJAHTERA,2,pupuk
CV Pandu Pratama Karya,CV Pandu Pratama Karya,2,pupuk
PRIMA AGRO LESTARI,PRIMA AGRO LESTARI,2,pupuk
BAKAPINDO,BAKAPINDO,2,pupuk
PT. SURYA PRATAMA ALAM,PT. SURYA PRATAMA ALAM,2,pupuk
SONGGOLANGIT PERSADA,SONGGOLANGIT PERSADA,2,pupuk
SARI MAHAPHALA INDONESIA,SARI MAHAPHALA INDONESIA,2,pupuk
INDOSOL MAKMUR,INDOSOL MAKMUR,2,pupuk
PT. Saribumi Dewatalestari,PT. Saribumi Dewatalestari,2,pupuk
SHINAMJAYA ABADI,SHINAMJAYA ABADI,2,pupuk
KRISNA CAKRA CYRILLA,KRISNA CAKRA CYRILLA,2,pupuk
AGROCHEM MEGA GLOBALINDO,AGROCHEM MEGA GLOBALINDO,2,pupuk
SATRIA JAYA,CV. Satria Jaya,2,pupuk
CV. Satria Jaya,CV. Satria Jaya,2,pupuk-legacy
NUSA BERKAT ALAM,PT. NUSA BERKAT ALAM,2,pupuk
KARUNIA ROTORINDO TANI,KARUNIA ROTORINDO TANI,2,pupuk
CV. Bulaksari Farm,CV. Bulaksari Farm,2,pupuk+pupuk-legacy
GEMA MITRA ANDALAN,GEMA MITRA ANDALAN,2,pupuk
HUSNA AGRO PERKASA,HUSNA AGRO PERKASA,2,pupuk
ANEKA NUTRISI GLOBAL INDONESIA,PT. Aneka Nutrisi Global Indonesia,2,pupuk
LOH JINAWI AKSHAYA,LOH JINAWI AKSHAYA,2,pupuk
PT ISARU TEKNOLOGI NUSANTARA,PT ISARU TEKNOLOGI NUSANTARA,2,pupuk
CV. BUMI AGRO MANDIRI,CV. BUMI AGRO MANDIRI,2,pupuk
META JAYA,META JAYA,2,pupuk
TRUBUS MITRA SWADAYA,PT. Trubus Mitra Swadaya,2,pupuk
SEMERU 23 GROUP,SEMERU 23 GROUP,2,pupuk
PT. Soko Tani Sejagad,PT. Soko Tani Sejagad,2,pupuk
PT. YUDHA PERDANA ANGESTI,PT. YUDHA PERDANA ANGESTI,2,pupuk-legacy
PT. AGROMAX ALAMI SUKSES,PT. AGROMAX ALAMI SUKSES,2,pupuk
SARANA UTAMA LESTARI ALAM,PT. Sarana Utama Lestari Alam,2,pupuk
PT. Sarana Utama Lestari Alam,PT. Sarana Utama Lestari Alam,2,pupuk-legacy
CV. Casa Farm Hidroponik,CV. Casa Farm Hidroponik,2,pupuk
AGRO BEN INDONESIA,AGRO BEN INDONESIA,2,pupuk
BUKIT RAYA,BUKIT RAYA,2,pupuk
MERPORIZAD BERKAH ABADI,MERPORIZAD BERKAH ABADI,2,pupuk
RESTU MANDIRI INDONESIA,RESTU MANDIRI INDONESIA,2,pupuk
KARUNIA PERMATA UTAMA,KARUNIA PERMATA UTAMA,2,pupuk
PT DIC Graphics,PT DIC Graphics,2,pupuk+pupuk-legacy
Koperasi Puspa Kencana,Koperasi Puspa Kencana,2,pupuk
HSP CITRA GLOBAL,HSP CITRA GLOBAL,2,pupuk
CV. PERSADA MAKMUR TANI SENTOSA,CV. PERSADA MAKMUR TANI SENTOSA,2,pupuk-legacy
PT. BUKIT PRIMA NIAGA,PT. BUKIT PRIMA NIAGA,2,pupuk-legacy
PT. Andalan Usaha Indonesia,PT. Andalan Usaha Indonesia,2,pupuk-legacy
PT. Dwi Mitra,PT. Dwi Mitra,2,pupuk-legacy
PT. Cahaya Inti Tunggal,PT. Cahaya Inti Tunggal,2,pupuk-legacy
CV PALUGADA SUKSES BERSAMA,CV PALUGADA SUKSES BERSAMA,2,pupuk-legacy
CV.Sekar Sari,CV.Sekar Sari,2,pupuk-legacy
C.V. Berkat Eya Pratama,C.V. Berkat Eya Pratama,2,pupuk-legacy
CV. Yoland Tani Indonesia,CV. Yoland Tani Indonesia,2,pupuk-legacy
CV AGRO JAYA OCTAVIANT,CV AGRO JAYA OCTAVIANT,2,pupuk-legacy
Koperasi Karyawan Puspa Kencana,Koperasi Karyawan Puspa Kencana,2,pupuk-legacy
PT. SUBUR INDAH SUKSES GEMILANG,PT. SUBUR INDAH SUKSES GEMILANG,2,pupuk-legacy
CV. Empat Serangkai,CV. Empat Serangkai,2,pupuk-legacy
PT Agri Maju Perkasa,PT Agri Maju Perkasa,2,pupuk-legacy
CV. Rejeki Lumintu Makmur,CV. Rejeki Lumintu Makmur,2,pupuk-legacy
PT. Tiara Kurnia,PT. Tiara Kurnia,2,pupuk-legacy
CV. Blessindo Maju Bersama,CV. Blessindo Maju Bersama,2,pupuk-legacy
PT. Alam Lestari Maju Indonesia,PT. Alam Lestari Maju Indonesia,2,pupuk-legacy
PT .PLANETBIRU INDONESIA,PT .PLANETBIRU INDONESIA,2,pupuk-legacy
PT PRIMASID ANDALAN UTAMA,PT PRIMASID ANDALAN UTAMA,2,pupuk-legacy
DELTAGRO MULIA SEJATI,PT. DELTAGRO MULIA SEJATI,1,pupuk
SYNGENTA INDONESIA,PT. SYNGENTA INDONESIA,1,pupuk
ROYAL AGRO INDONESIA,PT. ROYAL AGRO INDONESIA,1,pupuk
ASIA GALA KIMIA,PT. ASIA GALA KIMIA,1,pupuk
SUNJOY AGRO INDONESIA,PT. SUNJOY AGRO INDONESIA,1,pupuk
RAINBOW AGROSCIENCES,PT. RAINBOW AGROSCIENCES,1,pupuk
INDAGRO,PT. INDAGRO,1,pupuk
MITRA KREASIDHARMA,PT. MITRA KREASIDHARMA,1,pupuk
CV. TANI ABADI,CV. TANI ABADI,1,pestisida
PT. Kristalindo Karunia Internasional,PT. Kristalindo Karunia Internasional,1,pupuk-legacy
BERSAMA SATU TEGUH,PT. BERSAMA SATU TEGUH,1,pupuk
SANTANI AGRO MANDIRI,PT. SANTANI AGRO MANDIRI,1,pupuk
ARTHA BUANA MANDIRI,CV. ARTHA BUANA MANDIRI,1,pupuk
JIVA AGRICULTURE INDONESIA,PT. JIVA AGRICULTURE INDONESIA,1,pupuk
PT. NUTRI AGRO INDONESIA,PT. NUTRI AGRO INDONESIA,1,pestisida
REJEKI INDO AGROTEC,PT. REJEKI INDO AGROTEC,1,pupuk
CV INDO AGRO CHEMICAL,CV INDO AGRO CHEMICAL,1,pestisida
PT. BRENNTAG,PT. BRENNTAG,1,pestisida
PT. KAO INDONESIA DISTRIBUTION,PT. KAO INDONESIA DISTRIBUTION,1,pestisida
CV. ALAM NABATI ANACARDIUM,CV. ALAM NABATI ANACARDIUM,1,pestisida
BYTER AGRICULTURE INDONESIA,PT. BYTER AGRICULTURE INDONESIA,1,pupuk
AGROLAND INDO SYNERGY,PT. AGROLAND INDO SYNERGY,1,pupuk
PT. BAHANA HANNELA MASSIMA,PT. BAHANA HANNELA MASSIMA,1,pestisida
ETONG CHEMICAL INDONESIA,PT. ETONG CHEMICAL INDONESIA,1,pupuk
MAKMUR JAYA AGRO,PT. MAKMUR JAYA AGRO,1,pupuk
SUGI TEKNIK PANGAN,CV. SUGI TEKNIK PANGAN,1,pupuk
CV. INDO TANI,CV. INDO TANI,1,pestisida
PT. MITRA SUKSES AGRINDO,PT Mitra Sukses Agrindo,1,pestisida
PT Mitra Sukses Agrindo,PT Mitra Sukses Agrindo,1,pupuk-legacy
PT. PRIMA AGRO LANCAR,CV. PRIMA AGRO LANCAR,1,pestisida
CV. AMARTA BUANA SEJAHTERA,CV. AMARTA BUANA SEJAHTERA,1,pestisida
PT. PELITA AGUNG,PT. PELITA AGUNG,1,pestisida
PT. GALENIUM PHARMASIA LABORATORIES,PT. GALENIUM PHARMASIA LABORATORIES,1,pestisida
PT. HALIM SAKTI PRATAMA,PT. HALIM SAKTI PRATAMA,1,pestisida
ARYSTA LIFESCIENCE TIRTA,PT. ARYSTA LIFESCIENCE TIRTA,1,pupuk
PT. BINTANG ANUGERAH CAHAYA ABADI,PT. BINTANG ANUGERAH CAHAYA ABADI,1,pestisida
PARAMA AGROINDUSTRI DANAPATI,PT. Parama Agroindustri Danapati,1,pupuk
PT. SMARTZ AGRO LESTARI,PT. SMARTZ AGRO LESTARI,1,pestisida
SARAYA.LF.MANDIRI,SARAYA.LF.MANDIRI,1,pestisida
CV. INDAH TANI SEJAHTERA,CV. INDAH TANI SEJAHTERA,1,pestisida
PT. GOLDEN STEP INDONESIA,PT. GOLDEN STEP INDONESIA,1,pestisida
PT. Agrosid Manunggal Sentosa,PT. Agrosid Manunggal Sentosa,1,pupuk-legacy
RAWWA ROUNDTEC INDONESIA,PT. RAWWA ROUNDTEC INDONESIA,1,pupuk
PT. DEWARI AGRO SAKTI,PT. DEWARI AGRO SAKTI,1,pestisida
PT. SANTANI AGRO LESTARI,PT. SANTANI AGRO LESTARI,1,pestisida
PT. PUPUK KUJANG,PT Pupuk Kujang,1,pestisida
PT. DWI PRIMA REZEKY,PT. DWI PRIMA REZEKY,1,pestisida
PT. KINGLAB INDONESIA,PT. KINGLAB INDONESIA,1,pestisida
SUMITOMO INDONESIA,PT. SUMITOMO INDONESIA,1,pupuk
PT. DELITAL LEEFREN AGROINDUSTRI,PT. DELITAL LEEFREN AGROINDUSTRI,1,pestisida
PT. GOENA WAHANA AGRO NIAGA,PT. GOENA WAHANA AGRO NIAGA,1,pestisida
PT. ASTORIA PRIMA,PT. ASTORIA PRIMA,1,pestisida
PT. Joenoes Ikamulya,PT. Joenoes Ikamulya,1,pestisida
PT. MALINDO AGROTEK PERKASA,PT. MALINDO AGROTEK PERKASA,1,pestisida
ORCHID GLOBAL MAKMUR,PT. ORCHID GLOBAL MAKMUR,1,pupuk
PT. Hamka Multi Karya,PT. Hamka Multi Karya,1,pestisida
