principal,sektor,jml_produk_pupuk,jml_produk_pestisida,jml_produk_total,rincian_jenis_pestisida,nama_varian_lain
ADITYA MANDIRI UTAMA,Pupuk,2,0,2,,
AGAPE SINAR NUSANTARA,Pupuk,2,0,2,,
AGRI MAKMUR MEGA PERKASA INDO,Pupuk,2,0,2,,
AGRO BEN INDONESIA,Pupuk,2,0,2,,
AGRO GEMILANG INDONESIA,Pupuk,2,0,2,,
AGRO JAYA OKTAVIANT,Pupuk,2,0,2,,
AGRO LESTARI MAKMUR NUSANTARA,Pupuk,2,0,2,,
AGRO MARITIM NUSANTARA,Pupuk,2,0,2,,
AGROCHEM MEGA GLOBALINDO,Pupuk,2,0,2,,
AGRONIKO NUSANTARA,Pupuk,2,0,2,,
AGUNG PRATAMA INDONESIA,Pupuk,2,0,2,,
ALAM MANFAAT BERKAH,Pupuk,2,0,2,,
AMANAH JAYA TANI,Pupuk,2,0,2,,
ANSELL AGRO INDONESIA,Pupuk,2,0,2,,
ANUGERAH DOLOMIT INDONESIA,Pupuk,2,0,2,,
ANUGERAH DOLOMIT LESTARI,Pupuk,2,0,2,,
ANUGRAH CEMERLANG INDONESIA,Pupuk,2,0,2,,
AWM ELITE INTERNATIONAL,Pupuk,2,0,2,,
BAHAGIA ALAM SEJATI,Pupuk,2,0,2,,
BAKAPINDO,Pupuk,2,0,2,,
BASF DISTRIBUTION INDONESIA,Pupuk,2,0,2,,
BEKTI JOYO SAMPURNO,Pupuk,2,0,2,,
BENE PYTO TANI JAYA,Pupuk,2,0,2,,
BERJAYA INTI PERKASA,Pupuk,2,0,2,,
BINTANG MARGOMULYA ORGANIK,Pupuk,2,0,2,,
BIO AGRO REVOLUTIONARY UTILITY,Pupuk,2,0,2,,
BIO CYCLE INDO,Pupuk,2,0,2,,
BIO NUSANTARA ALAMI,Pupuk,2,0,2,,
BIOMINO INDONESIA PERSADA,Pupuk,2,0,2,,
BIOTECH FERTILIZER INDONESIA,Pupuk,2,0,2,,
BORNEO INTECH,Pupuk,2,0,2,,
BUKIT RAYA,Pupuk,2,0,2,,
BUMI PARIGI,Pupuk,2,0,2,,
BUMI SUBUR KHATULISTIWA,Pupuk,2,0,2,,
C.V. Berkat Eya Pratama,Pupuk,2,0,2,,
CIBADAK AGRI,Pupuk,2,0,2,,
CV AGRO JAYA OCTAVIANT,Pupuk,2,0,2,,
CV ALAM MAKMUR TANI AGRO,Pupuk,2,0,2,,
CV PALUGADA SUKSES BERSAMA,Pupuk,2,0,2,,
CV Pandu Pratama Karya,Pupuk,2,0,2,,
CV REZKI UTAMA MANDIRI,Pupuk,2,0,2,,
CV SURYA CITRA PERKASA,Pupuk,2,0,2,,
CV Trubus Mas Lestari,Pupuk,2,0,2,,TRUBUS MAS LESTARI
CV. AGRO MANDIRI SEJAHTERA,Pestisida,0,2,2,Insektisida:1; Fungisida:1,
CV. AGRO MITRA BERJAYA,Pupuk,2,0,2,,
CV. ANGKASA DIGITAL NIAGA,Pestisida,0,2,2,Rodentisida:2,
CV. APDIL APDILAH SUPER BUAH,Pupuk,2,0,2,,APDIL APDILAH SUPER BUAH
CV. Arta Putri,Pupuk,2,0,2,,ARTA PUTRI
CV. BANGKIT JAYA,Pestisida,0,2,2,Insektisida:2,
CV. BAROKAH ZA,Pupuk,2,0,2,,
CV. BINTANG TANI SEJAHTERA,Pestisida,0,2,2,Herbisida:2,
CV. BRISH WATE,Pupuk,2,0,2,,
CV. BUMI AGRO MANDIRI,Pupuk,2,0,2,,
CV. Bambu Emas,Pupuk,2,0,2,,
CV. Bintang Berlian,Pupuk,2,0,2,,BINTANG BERLIAN
CV. Blessindo Maju Bersama,Pupuk,2,0,2,,
CV. Bulaksari Farm,Pupuk,2,0,2,,
CV. Bumi Agro Indonesia,Pupuk,2,0,2,,
CV. Bunga Agro Lestari,Pupuk,2,0,2,,BUNGA AGRO LESTARI
CV. CENTRA AGRINUSA,Pupuk,2,0,2,,
CV. Casa Farm Hidroponik,Pupuk,2,0,2,,
CV. Christdo Titian Jaya,Pupuk,2,0,2,,CHRISTDO TITIAN JAYA
CV. DELTA FORTUNA,Pupuk,2,0,2,,DELTA FORTUNA
CV. DITAMA RAYA,Pupuk+Pestisida,1,1,2,Zat Pengatur Tumbuh Tanaman:1,
CV. Dewi,Pupuk,2,0,2,,DEWI
CV. EUREEKA INDONESIA,Pupuk+Pestisida,1,1,2,Insektisida:1,EUREEKA INDONESIA
CV. Empat Serangkai,Pupuk,2,0,2,,
CV. Gunung Dono Putra,Pupuk,2,0,2,,GUNUNG DONO PUTRA
CV. H.C.S. POWERINDO,Pupuk+Pestisida,1,1,2,Insektisida:1,H.C.S. POWERINDO
CV. Hattara Citra Argo,Pupuk,2,0,2,,HATTARA CITRA ARGO
CV. Intan Permata Dunia,Pupuk,2,0,2,,
CV. JAVA INDAH,Pupuk,2,0,2,,JAVA INDAH
CV. MANUNGGAL ABADI SENTOSA,Pupuk,2,0,2,,CV MANUNGGAL ABADI SENTOSA
CV. MASTERGREEN AGROCHEMICAL INDONESIA,Pestisida,0,2,2,Insektisida:1; Zat Pengatur Tumbuh Tanaman:1,
CV. MULTIGRO MAKMUR ABADI,Pestisida,0,2,2,Herbisida:2,
CV. NAZA AGRO'S,Pupuk+Pestisida,1,1,2,Fungisida:1,NAZA AGRO'S
CV. Organic Farming Indonesia,Pupuk,2,0,2,,ORGANIC FARMING INDONESIA
CV. PARI MAS,Pupuk,2,0,2,,
CV. PERSADA MAKMUR TANI SENTOSA,Pupuk,2,0,2,,
CV. PUPUK AGRI MANDIRI,Pupuk,2,0,2,,
CV. PUSAKA ALAM,Pupuk,2,0,2,,
CV. Pilar Fasa Mandiri,Pupuk,2,0,2,,
CV. Rachma Farm Sejahtera,Pupuk,2,0,2,,
CV. Randu Aji,Pupuk,2,0,2,,
CV. Rejeki Lumintu Makmur,Pupuk,2,0,2,,
CV. SABAR BERSAUDARA,Pupuk,2,0,2,,
CV. SAKASAKI,Pestisida,0,2,2,Fungisida:1; Insektisida:1,
CV. SAMI JAYA AGRO,Pupuk,2,0,2,,
CV. SUBURI PUTRA MANDIRI,Pupuk,2,0,2,,SUBURI PUTRA MANDIRI
CV. SUMBER MULYO SEJAHTERA,Pupuk,2,0,2,,
CV. SURYA AGRO PERKASA,Pestisida,0,2,2,Herbisida:2,
CV. Sejahtera Abadi,Pupuk,2,0,2,,SEJAHTERA ABADI
CV. Sinar Sejahtera,Pupuk,2,0,2,,
CV. TANI LESTARI,Pestisida,0,2,2,Herbisida:2,
CV. Telsap Utama,Pupuk,2,0,2,,TELSAP UTAMA
CV. Yoland Tani Indonesia,Pupuk,2,0,2,,
CV.AGROTANI,Pupuk,2,0,2,,AGROTANI
CV.PETRO INTI PERKASA,Pupuk,2,0,2,,
CV.Sekar Sari,Pupuk,2,0,2,,
DASTRA KARYA SEMESTA,Pupuk,2,0,2,,
DHARMA GUNA,Pupuk,2,0,2,,
DHARMA KARTAPURA,Pupuk,2,0,2,,
DIAMOND INTEREST INTERNATIONAL,Pupuk,2,0,2,,
DIRA LIMINDO PUTRA,Pupuk,2,0,2,,
DWI KENCANA ABADI,Pupuk,2,0,2,,
EKA TIMUR RAYA,Pupuk,2,0,2,,
EKARAYA,Pupuk,2,0,2,,
EKO SUNGKONO,Pupuk,2,0,2,,
ELEVASI AGRI INDONESIA,Pupuk,2,0,2,,
EMPAT LIMA NUSWANTORO,Pupuk,2,0,2,,
ESA DISTRIBUSI NUSANTARA,Pupuk,2,0,2,,
FERTINDO AGRONUSA PERSADA,Pupuk,2,0,2,,
GADASAKTI AGRITEK PRATAMA,Pupuk,2,0,2,,
GAUDY BARCA PUTRA,Pupuk,2,0,2,,
GEMA MITRA ANDALAN,Pupuk,2,0,2,,
GEMOLONG SUCI,Pupuk,2,0,2,,
GLOBALINDO INTI PERSADA,Pupuk,2,0,2,,
GOLDEN SUMMIT JAYA,Pupuk,2,0,2,,
GRAHA BIOFARM SOLUSI,Pupuk,2,0,2,,
GREENTRACK TECHNOLOGY INDONESIA,Pupuk,2,0,2,,
GRHA FERRY INDUSTRI,Pupuk,2,0,2,,
GUANO BERKAH SEJAHTERA,Pupuk,2,0,2,,
HABIBI PUTRA TANI,Pupuk,2,0,2,,
HIMALAYA AGRO INVESTAMA,Pupuk,2,0,2,,
HSP CITRA GLOBAL,Pupuk,2,0,2,,
HUMAN LIFE INDONESIA,Pupuk,2,0,2,,
HUSNA AGRO PERKASA,Pupuk,2,0,2,,
INDONESIA GREEN INNOVATION,Pupuk,2,0,2,,
INDOSOL MAKMUR,Pupuk,2,0,2,,
INOVASI FERTILIZER GROWPLANT,Pupuk,2,0,2,,
INTER ALL,Pupuk,2,0,2,,
JAKE AGRO JAYA,Pupuk,2,0,2,,
JAVA KARLOS INDONESIA,Pupuk,2,0,2,,
JOS AGRO MANDIRI,Pupuk,2,0,2,,
KANANITORA,Pupuk,2,0,2,,
KARFOS,Pupuk,2,0,2,,
KARUNIA PERMATA UTAMA,Pupuk,2,0,2,,
KARUNIA ROTORINDO TANI,Pupuk,2,0,2,,
KHANSA CITRA BUANA,Pupuk,2,0,2,,
KHARISMA MUTIARA AGRO,Pupuk,2,0,2,,
KIRANI AGRINUSANTARA,Pupuk,2,0,2,,
KKI NUSANTARA SUKSES,Pupuk,2,0,2,,
KRISNA CAKRA CYRILLA,Pupuk,2,0,2,,
KURNIA AGRO,Pupuk,2,0,2,,
KUTAI AGROLESTARI MAKMUR,Pupuk,2,0,2,,
Koperasi Karyawan Puspa Kencana,Pupuk,2,0,2,,
Koperasi Puspa Kencana,Pupuk,2,0,2,,
LINTANG BORNEO MANDIRI INDONESIA,Pupuk,2,0,2,,
LOH JINAWI AKSHAYA,Pupuk,2,0,2,,
MAHESA PANTURA GRESIK,Pupuk,2,0,2,,
MAHITALA MIRA INDONESIA,Pupuk,2,0,2,,
MAMORA MARTUA JAYA,Pupuk,2,0,2,,
MANIS SPORTIF,Pupuk,2,0,2,,
MANUVERE EGLORY CHEMAGRI,Pupuk,2,0,2,,
MEDIA BUANA PERSADA,Pupuk,2,0,2,,
MEGAH AGRI MEDIA BAROKAH,Pupuk,2,0,2,,
MEGARHIZO EGA PERSADA,Pupuk,2,0,2,,
MENTHOBI HIJAU LESTARI,Pupuk,2,0,2,,
MERDEKA BAHARI INDONESIA,Pupuk,2,0,2,,
MEREK INDAH LESTARI,Pupuk,2,0,2,,
MERPORIZAD BERKAH ABADI,Pupuk,2,0,2,,
MESUNJA PRIMA TECH,Pupuk,2,0,2,,
META JAYA,Pupuk,2,0,2,,
MITRA TANI GROUP INDONESIA,Pupuk,2,0,2,,
MULTI AGRINDO NUSANTARA,Pupuk,2,0,2,,
MUSTIKA AGRO TANI,Pupuk,2,0,2,,
NAKULA AGRI JAYA,Pupuk,2,0,2,,
NUSANTARA SEJAHTERA MEDICA,Pupuk,2,0,2,,
PANDAWA AGRI INDONESIA,Pupuk,2,0,2,,
PATIH GAJAHMADA,Pupuk+Pestisida,1,1,2,Fungisida:1,
PD. GARUDA,Pestisida,0,2,2,Moluskisida:2,
PENTA AGROCHEM MULIA,Pupuk,2,0,2,,
PETROKIMIA KEBOMAS GRESIK,Pupuk,2,0,2,,
PILAR LIMA,Pupuk,2,0,2,,
PRIMA AGRO LESTARI,Pupuk,2,0,2,,
PRIMA AGRO ORGANIC,Pupuk,2,0,2,,
PROFARM FERTILINDO,Pupuk,2,0,2,,
PROSPER MEGA NUSANTARA,Pupuk,2,0,2,,
PT .PLANETBIRU INDONESIA,Pupuk,2,0,2,,
PT Agri Maju Perkasa,Pupuk,2,0,2,,
PT Buana Hijau Pratama,Pupuk,2,0,2,,BUANA HIJAU PRATAMA
PT Bukit Mas Murti Persada,Pupuk,2,0,2,,BUKIT MAS MURTI PERSADA
PT DIC Graphics,Pupuk,2,0,2,,
PT ISARU TEKNOLOGI NUSANTARA,Pupuk,2,0,2,,
PT LION WINGS,Pestisida,0,2,2,Repelen:2,
PT Mycotech Agro Asia,Pupuk,2,0,2,,
PT PRIMASID ANDALAN UTAMA,Pupuk,2,0,2,,
PT PUPUK KELAPA SAWIT JAYA,Pupuk,2,0,2,,PUPUK KELAPA SAWIT JAYA
PT SASA INTI,Pupuk,2,0,2,,SASA INTI
PT SATYA PADMA AGRISOL,Pupuk,2,0,2,,
PT Tunas Makmur Jaya Abadi,Pupuk,2,0,2,,TUNAS MAKMUR JAYA ABADI
PT. ADAMAS ASABHUMI,Pupuk,2,0,2,,ADAMAS ASABHUMI
PT. AGRO NIAGA GLOBALINDO,Pupuk,2,0,2,,
PT. AGRO SENTOSA INDAH KARUNIA,Pestisida,0,2,2,Herbisida:2,
PT. AGROCHEM JAYA,Pestisida,0,2,2,Insektisida:1; Fungisida:1,
PT. AGROMAX ALAMI SUKSES,Pupuk,2,0,2,,
PT. ANUGRAH SENTANA AGRO,Pestisida,0,2,2,Zat Pengatur Tumbuh Tanaman:2,
PT. ANUGRAHA ALAM SENTOSA,Pupuk,2,0,2,,ANUGRAHA ALAM SENTOSA
PT. ARTHASIDDHI SUKSES ANUGERAH,Pupuk,2,0,2,,ARTHASIDDHI SUKSES ANUGERAH
PT. Alam Lestari Maju Indonesia,Pupuk,2,0,2,,
PT. Andalan Usaha Indonesia,Pupuk,2,0,2,,
PT. BINTANG CAHAYA AGRO PLANET,Pestisida,0,2,2,Herbisida:2,
PT. BINTANG CHEMICAL ABADI,Pupuk,2,0,2,,
PT. BIO AGRI LINK,Pupuk+Pestisida,1,1,2,Insektisida:1,BIO AGRI LINK
PT. BIOGREEN AGRO NUSA,Pupuk,2,0,2,,
PT. BUKIT PRIMA NIAGA,Pupuk,2,0,2,,
PT. Bahagia Jaya Sinergy,Pupuk,2,0,2,,BAHAGIA JAYA SINERGY
PT. Balohan Jaya Utama,Pupuk,2,0,2,,
PT. Bio Takemi Global,Pupuk,2,0,2,,
PT. CATUR KARTIKA JAYA,Pupuk+Pestisida,1,1,2,Pestisida Pengendalian Vektor Penyakit Pada Manusia:1,CATUR KARTIKA JAYA
PT. CHEMIFIN JAYA UTAMA,Pestisida,0,2,2,Pestisida lain-lain:2,
PT. Cahaya Inti Tunggal,Pupuk,2,0,2,,
PT. Catur HIdayah Lestari,Pupuk,2,0,2,,
PT. DAHLIAH DUTA UTAMA,Pupuk,2,0,2,,DAHLIAH DUTA UTAMA
PT. DAYA MERRY PERSADA,Pupuk+Pestisida,1,1,2,Herbisida:1,DAYA MERRY PERSADA
PT. DAYA MUDA AGUNG,Pestisida,0,2,2,Insektisida:1; Pestisida Pengendalian Vektor Penyakit Pada Manusia:1,
PT. DOVER CHEMICAL,Pestisida,0,2,2,Fungisida:2,
PT. Dwi Mitra,Pupuk,2,0,2,,
PT. ENVITEC MULTI INDONESIA,Pupuk,2,0,2,,ENVITEC MULTI INDONESIA
PT. ESSENCE AGRO CHEMICAL,Pestisida,0,2,2,Insektisida:1; Fungisida:1,
PT. FABINDO SEJAHTERA,Pestisida,0,2,2,Repelen:1; Pestisida Rumah Tangga:1,
PT. FAJAR NASIONAL CIPTA,Pestisida,0,2,2,Insektisida:2,
PT. FLORA FAUNA AGRO,Pestisida,0,2,2,Herbisida:2,
PT. FLORA FAUNA MANGGALA,Pestisida,0,2,2,Herbisida:2,
PT. FORMULA DISTRIBUSI KIMIA,Pupuk,2,0,2,,FORMULA DISTRIBUSI KIMIA
PT. GEKA MITRA NIAGA,Pestisida,0,2,2,Fungisida:1; Herbisida:1,
PT. GIGA PUTRA TANI,Pestisida,0,2,2,Pestisida Pengendalian Vektor Penyakit Pada Manusia:2,
PT. GRAHA AGRO MAKMUR,Pestisida,0,2,2,Herbisida:2,
PT. GREEN ORGANIC DAILY,Pestisida,0,2,2,Pestisida Rumah Tangga:2,
PT. INDOGAL AGRO TRADING,Pupuk,2,0,2,,
PT. INTISUBUR KIMINDO RAYA,Pestisida,0,2,2,Herbisida:2,
PT. INTITANI AGROKIMINDO,Pestisida,0,2,2,Herbisida:2,
PT. Inovasi Natural Bio Organik,Pupuk,2,0,2,,
PT. Intidaya Agrolestari,Pupuk,2,0,2,,INTIDAYA AGROLESTARI
PT. KARYA ALAM SUKSES,Pupuk,2,0,2,,KARYA ALAM SUKSES
PT. KENCANA AGRO GOLDENSIDA,Pestisida,0,2,2,Insektisida:2,
PT. KK Indonesia,Pupuk,2,0,2,,KK INDONESIA
PT. LABEZAR UTAMA INDONESIA,Pupuk+Pestisida,1,1,2,Insektisida:1,LABEZAR UTAMA INDONESIA
PT. LOTUS GLOBALINDO SENTOSA,Pestisida,0,2,2,Bahan pengawet kayu:2,
PT. MAKUTA AGRO SEJATI,Pestisida,0,2,2,Zat Pengatur Tumbuh Tanaman:2,
PT. MASTRA INDOKORPORA,Pestisida,0,2,2,Herbisida:2,
PT. MENARA BERLIAN,Pestisida,0,2,2,Zat Pengatur Tumbuh Tanaman:2,
PT. MITRA CHEMICAL WISESA,Pupuk,2,0,2,,
PT. Menara Dwikarya Prima,Pupuk,2,0,2,,
PT. Mitra Gresik Indonesia,Pupuk,2,0,2,,MITRA GRESIK INDONESIA
PT. NOPOSION AGROCHEMICALS INDONESIA,Pestisida,0,2,2,Moluskisida:1; Herbisida:1,
PT. NUANSA INDORAYA PERKASA,Pupuk,2,0,2,,NUANSA INDORAYA PERKASA
PT. NUSANTARA AGRO FARMA,Pupuk,2,0,2,,NUSANTARA AGRO FARMA
PT. OGINESIA MULTI TANI,Pestisida,0,2,2,Herbisida:1; Insektisida:1,
PT. PANCA AGRO NIAGA LESTARI,Pestisida,0,2,2,Atraktan / Feromon:1; Herbisida:1,
PT. PERTIWI INTERTRADE,Pestisida,0,2,2,Fungisida:2,
PT. PRIMASID ANDALANUTAMA,Pupuk+Pestisida,1,1,2,Zat Pengatur Tumbuh Tanaman:1,PRIMASID ANDALANUTAMA
PT. PT BESTAGRO INDO SUKSES,Pestisida,0,2,2,Rodentisida:1; Insektisida:1,
PT. PT. Anugerah Sarana Hayati,Pupuk+Pestisida,1,1,2,Atraktan / Feromon:1,PT. Anugerah Sarana Hayati
PT. Pakar Pupuk Nusantara,Pupuk,2,0,2,,
PT. Persada Pupuk Indonesia,Pupuk,2,0,2,,PT PERSADA PUPUK INDONESIA
PT. QL Agrofood,Pupuk,2,0,2,,QL AGROFOOD
PT. REJOSO MANIS INDO,Pupuk,2,0,2,,
PT. SANITAS,Pestisida,0,2,2,Zat Pengatur Tumbuh Tanaman:1; Insektisida:1,
PT. SANOVA,Pestisida,0,2,2,Fungisida:1; Herbisida:1,
PT. SEMESTA HARAPAN INDONESIA,Pestisida,0,2,2,Herbisida:2,
PT. SINAR MAS AGRO RESOURCES AND TECHNOLOGY,Pupuk+Pestisida,1,1,2,Atraktan / Feromon:1,SINAR MAS AGRO RESOURCES AND TECHNOLOGY
PT. SINAR PERSADA JAYA,Pupuk,2,0,2,,
PT. SUBUR INDAH SUKSES GEMILANG,Pupuk,2,0,2,,
PT. SURYA PRATAMA ALAM,Pupuk,2,0,2,,
PT. Sarana Agro Panata,Pupuk,2,0,2,,
PT. Saribumi Dewatalestari,Pupuk,2,0,2,,
PT. Satya Agrindo Perkasa,Pupuk,2,0,2,,
PT. Sitosu Agro Cemerlang,Pupuk,2,0,2,,SITOSU AGRO CEMERLANG
PT. Soko Tani Sejagad,Pupuk,2,0,2,,
PT. Sri Dipo Nuswantoro,Pupuk,2,0,2,,SRI DIPO NUSWANTORO
PT. TIMUR ALAM RAYA,Pupuk,2,0,2,,
PT. TRI AYUMON TERPADU,Pestisida,0,2,2,Fumigan:2,
PT. TRIKA SAKA JAYA,Pestisida,0,2,2,Bahan pengawet kayu:2,
PT. TURRIMA AGRO MASS BORNEO,Pestisida,0,2,2,Herbisida:2,
PT. Tiara Kurnia,Pupuk,2,0,2,,
PT. Tri Mukti Nusantara Indonesia,Pupuk,2,0,2,,
PT. V MAX ASIA TANI,Pestisida,0,2,2,Herbisida:2,
PT. VERONA MULTIKIMIA ABADI,Pupuk,2,0,2,,
PT. WIHADIL,Pestisida,0,2,2,Herbisida:2,
PT. YASIDA MAKMUR ABADI,Pestisida,0,2,2,Herbisida:1; Insektisida:1,
PT.Alas Metuah Perdana,Pupuk,2,0,2,,
PT.BUMI PERKASA AGRINDO,Pupuk,2,0,2,,
PT.MANDIRI DASAR UTAMA,Pupuk,2,0,2,,MANDIRI DASAR UTAMA
PT.MITRA UTAMA MAKMUR,Pupuk,2,0,2,,
PT.MYCO AGRO LESTARI,Pupuk,2,0,2,,
PT.PRAMUDITA DARYA PARMA,Pupuk,2,0,2,,PRAMUDITA DARYA PARMA
PT.PRATAMA SUBUR AGRITAMA,Pupuk,2,0,2,,
PT.SUBUR ALAM SEJAHTERA,Pupuk,2,0,2,,
PT.Vietindo Agro Lestari,Pupuk,2,0,2,,VIETINDO AGRO LESTARI
PUNDI NUSANTARA RAYA,Pupuk,2,0,2,,
PUTRA BARAGE RAYA,Pupuk,2,0,2,,
PUTRA KIMIA GRESIK,Pupuk,2,0,2,,
PUTRA NUSA,Pupuk,2,0,2,,
RAYON UTAMA KHATULISTIWA,Pupuk,2,0,2,,
RESTU MANDIRI INDONESIA,Pupuk,2,0,2,,
REZEKI UTAMA JAYA,Pupuk,2,0,2,,
RILIS,Pupuk,2,0,2,,
SAGARA PRIMA PERKASA,Pupuk,2,0,2,,
SAMUDERA ATLANTIK JAYA ABADI,Pupuk,2,0,2,,
SARI MAHAPHALA INDONESIA,Pupuk,2,0,2,,
SAWIT CENTER INDONESIA,Pupuk,2,0,2,,
SEHAT CEMERLANG SEJAHTERA,Pupuk,2,0,2,,
SELLA SANGIANG ASRI,Pupuk,2,0,2,,
SEMERU 23 GROUP,Pupuk,2,0,2,,
SETIA USAHA TANI MANDIRI,Pupuk,2,0,2,,
SHINAMJAYA ABADI,Pupuk,2,0,2,,
SIDENRENG AGRO INNO TECH,Pupuk,2,0,2,,
SONGGOLANGIT PERSADA,Pupuk,2,0,2,,
SUAKABUMI,Pupuk,2,0,2,,
SUBUR MAKMUR ORGANIK,Pupuk,2,0,2,,
SUKSES ABADI TANI INDONESIA,Pupuk,2,0,2,,
SUMATERA MINERAL SEJAHTERA,Pupuk,2,0,2,,
SUMBER AGUNG PUTRA JAYA,Pupuk,2,0,2,,
SURYA DUTA GREENINDO,Pupuk,2,0,2,,
TANATANI,Pupuk,2,0,2,,
TECHNER INDO RAYA,Pupuk,2,0,2,,
TIGA DARA JAYA,Pupuk,2,0,2,,
TRI MITRA AGRO UTAMA,Pupuk,2,0,2,,
TRIDI AGENG GEMILANG,Pupuk,2,0,2,,
TUNAS JAVA MANDIRI,Pupuk,2,0,2,,
"Tiara Kurnia, PT",Pupuk,2,0,2,,
WIBAWA MUKTI,Pupuk,2,0,2,,
WINDU KENCANA MULYA,Pupuk,2,0,2,,
WIRA TANI MAKMUR,Pupuk,2,0,2,,
WISH INDONESIA,Pupuk,2,0,2,,
YIH SHENNINDO MAKMUR JAYA,Pupuk,2,0,2,,
ABU NAWAS MEU ADAB,Pupuk,1,0,1,,
ACE BIO CARE,Pupuk,1,0,1,,
ADHI MANGGALA,Pupuk,1,0,1,,
ADHIESTA NUGRAHA,Pupuk,1,0,1,,
AGAR SARI JAYA,Pupuk,1,0,1,,
AGRANAS KARYA MANDIRI,Pupuk,1,0,1,,
AGRARIA SENTOSA NUSANTARA,Pupuk,1,0,1,,
AGRI NUSA TANI,Pupuk,1,0,1,,
AGRIMAS CITRA MANDIRI,Pupuk,1,0,1,,
AGRIVEST ALAM ASIA,Pupuk,1,0,1,,
AGRO ANDALAS JAYA,Pupuk,1,0,1,,
AGRO BERKAH MANDIRI JAYA,Pupuk,1,0,1,,
AGRO CULTURE,Pupuk,1,0,1,,
AGRO GALBA RABUKA,Pupuk,1,0,1,,
AGRO INDO MANDIRI,Pupuk,1,0,1,,
AGRO INVESTAMA LESTARI,Pupuk,1,0,1,,
AGRO LESTARINDO,Pupuk,1,0,1,,
AGRO MAKMUR BERSAMA,Pupuk,1,0,1,,
AGRO MUJIZAT INTEGRASI NUSANTARA,Pupuk,1,0,1,,
AGRO MUSTIKA ABADI,Pupuk,1,0,1,,
AGRO RIZVIK PRADANA,Pupuk,1,0,1,,
AGRO TANI PERTIWI,Pupuk,1,0,1,,
AGRO UNGGUL,Pupuk,1,0,1,,
AGROBION SEJAHTERA,Pupuk,1,0,1,,
AGROJAYA LESTARI,Pupuk,1,0,1,,
AGROSINDO UTAMA,Pupuk,1,0,1,,
AGROSMART,Pupuk,1,0,1,,
AGROTIS GAIA INDONESIA,Pupuk,1,0,1,,
AJE PRATAMA GEMILANG,Pupuk,1,0,1,,
AKHTARINDO CHEMICAL SPECIALIST,Pupuk,1,0,1,,
AL HADID DUA PULUH,Pupuk,1,0,1,,
ALAM KIMIA BLITZ PERKASA,Pupuk,1,0,1,,
ALAM PERKASA JAYA,Pupuk,1,0,1,,
ALAM SEMESTA TEKHNOVASI,Pupuk,1,0,1,,
ALAMI ORION AGROTAMA,Pupuk,1,0,1,,
ALAMO GREENLIFE INTERNATIONAL,Pupuk,1,0,1,,
ALGATROPIA INDONESIA RAYA,Pupuk,1,0,1,,
ALOVE BALI IND,Pupuk,1,0,1,,
AMINDOWAY JAYA,Pupuk,1,0,1,,
ANAGATA AGRO ABADI,Pupuk,1,0,1,,
ANAYA GLOBAL INDONESIA,Pupuk,1,0,1,,
ANDALAS DOLOMIT SEJAHTERA,Pupuk,1,0,1,,
ANEKA FLORA INDONESIA,Pupuk,1,0,1,,
ANGSA MAS JAYA,Pupuk,1,0,1,,
ANISA AGRO LESTARI,Pupuk,1,0,1,,
ANTARES MULTI ENERGI,Pupuk,1,0,1,,
ANTASENA TAMBANG MAKMUR,Pupuk,1,0,1,,
ANUGRAH LESTARI INDONESIA,Pupuk,1,0,1,,
ANUGRAH TUNAS MANDIRI,Pupuk,1,0,1,,
ARFADA TIGAPUTRA BUDIWIBOWO,Pupuk,1,0,1,,
ARGA TANI MANDIRI,Pupuk,1,0,1,,
ARGO WIRA BUANA,Pupuk,1,0,1,,
ARIF FIZAH FERTILIZER,Pupuk,1,0,1,,
ARINAKI MULIA BERSAMA,Pupuk,1,0,1,,
ARJUNA GRESIK BUMI PERKASA,Pupuk,1,0,1,,
ARMAFAN BAKTI SESAMA,Pupuk,1,0,1,,
AROMA,Pestisida,0,1,1,Fungisida:1,
ARPINDO PERKASA,Pupuk,1,0,1,,
ARTHA MUARA FERTILIZER,Pupuk,1,0,1,,
ARTHA TANI UNGGUL,Pupuk,1,0,1,,
ARWANA TANI MAKMUR,Pupuk,1,0,1,,
ASA MANDIRI SEJAHTERA,Pupuk,1,0,1,,
ASIA PACIFIC MARKETING INTERNATIONAL,Pupuk,1,0,1,,
ASIA PACIFIC RAYON,Pupuk,1,0,1,,
ASPA SEMBILAN TUJUH FARMER INDUSTRY,Pupuk,1,0,1,,
ASRI JAYA RAYA,Pupuk,1,0,1,,
ASTINA MEGAH ABADI,Pupuk,1,0,1,,
AUMA MAJU JAYA,Pupuk,1,0,1,,
AURORA SABANGSATIA,Pupuk,1,0,1,,
AZKA MANDIRI,Pupuk,1,0,1,,
BADAN USAHA MILIK PETANI (BUMP) PT. PENGAYOM TANI SEJAGAD,Pupuk,1,0,1,,
BANGBARA SADULUR MAKMUR,Pupuk,1,0,1,,
BANGKIT SOLUSI AGRINDO,Pupuk,1,0,1,,
BARATAYUDA AGRO TANI,Pupuk,1,0,1,,
BARDLIN PRAWARA LOKA,Pupuk,1,0,1,,
BAROKAH ABADI TANI,Pupuk,1,0,1,,
BAROKAH TANI JAYA BERSAMA,Pupuk,1,0,1,,
BASIMBAH TANI SYAHDILATA,Pupuk,1,0,1,,
BATARA SUBUR TANI,Pupuk,1,0,1,,
