merk_dagang,nomor_pendaftaran,pemegang_pendaftaran,jenis_pupuk,bentuk_formula,tipe_permohonan,tgl_terbit,tgl_berakhir,jumlah_perubahan,product_id,perusahaan_id
SAFA,01.01.2026.230,SAFA AGROTEK INDONESIA,Pupuk Hara Mikro Majemuk,Butiran (Granular),Pendaftaran Baru,2026-03-16,2031-03-16,0,ed98b827-05ab-4937-ac00-1d4d8a6e3c1c,88a64e70-d2f5-4738-9ccd-151a0b968e40
FOLIUM,01.01.2024.1283,JAVAMAS AGROPHOS,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Ulang Genap,2024-11-20,2029-11-20,0,edbaaf72-a9ac-4e2b-91ca-5704470a33d2,d11b4e0a-abe0-4596-b690-29afc25e93c7
Tricho-Cino,03.03.2026.26,DELIMA MANDALA SURYA,Hayati Majemuk,Tepung (Powder),Pendaftaran Baru,2026-01-06,2031-01-06,0,edbca2f5-6716-4018-af41-3cd55c343f64,8dd0c404-0fa3-4530-935b-07f8ab94dec7
IMMUNATE,01.02.2026.483,PRIMA AGRO NETWORK,,Cair (Liquid),Pendaftaran Baru,2026-06-09,2031-06-09,0,edbcde75-2e73-4c42-a47f-e08af6472e5f,512a2320-88ce-4f04-bcfc-e785acdfacfa
Rindang Alam,04.03.2025.489,PUTRA ANANDIRI,Dolomit,Tepung (Powder),Pendaftaran Baru,2025-09-22,2030-09-22,0,edc49721-4ca1-4755-9e10-4367c450ba7d,f177c4c5-fa18-42c2-824f-b8b705668911
GEMA FLORA ,01.02.2021.852,CV. PARI MAS,"Pupuk Hara Makro Majemuk
",Cair (Liquid),Pendaftaran Baru,2021-09-03,2026-09-03,0,edcc7c80-a768-4791-b2c8-1dba611c3cb5,649fb282-e328-4b73-b04c-323037c8f1f5
FERTINDO,01.01.2026.113,ANUGERAH PUPUK LESTARI,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Ulang Ganjil,2026-02-05,2031-02-05,0,edd024eb-649c-417f-b685-1ddc07bfdf27,a800e216-70e6-46da-bfd0-ba425ecc775e
KENJI,04.02.2022.1029,MITRA AGRONIAGA NUSANTARA,Senyawa Humat,Cair (Liquid),Pendaftaran Baru,2022-10-07,2027-10-07,0,edd3337c-5efe-4f21-b5c3-0b9c31896db5,f829d86a-d92e-4927-a948-0f4a2cb5c239
TURRIMA,01.01.2026.308,TRUBUS PRIMA,Pupuk Fosfat Alam Untuk Pertanian,Butiran (Granular),Pendaftaran Ulang Ganjil,2026-02-27,2031-02-27,0,eded4c18-303b-4320-b116-71182da5f6f9,6a2a94f0-6257-4c97-ba2a-2b2c8e0a73d3
NUTRIBERNAS,02.02.2026.86,TION AGRO NUSANTARA,Pupuk Organik,Cair (Liquid),Pendaftaran Baru,2026-02-05,2031-02-05,0,edff14ea-37ca-442b-8d90-91d476c7cb18,94f1fc1b-e2a7-472b-9b2b-79c0b6402037
KURNIAGANIK,02.01.2025.150,"Tiara Kurnia, PT",Pupuk Organik,Butiran (Granular),Pendaftaran Ulang Ganjil,2025-03-21,2030-03-21,0,ee0d1e04-5040-4d00-ad3b-4ac47f065ab2,a9189892-2773-4d08-bb46-777a4e5b001b
SUPRAMAX,04.01.2024.17,ARTHA TANI UNGGUL,Dolomit,Butiran (Granular),Pendaftaran Baru,2023-10-17,2028-10-17,0,ee120b02-4519-4db2-880e-07b8ac224372,585c3a1e-58ce-4109-9172-838dfd59276b
HUMIZIO,04.01.2022.955,POESRI RAYA,Kaptan,Butiran (Granular),Pendaftaran Ulang Ganjil,2022-09-13,2027-09-13,0,ee149aeb-b1b8-46d9-914f-0e92ecddddfd,b79955bf-bd12-4b04-95dd-42e3379d5bf3
FELO,02.02.2025.66,MAJU MAKMUR UTOMO,Pupuk Organik,Cair (Liquid),Pendaftaran Ulang Ganjil,2024-12-04,2029-12-04,0,ee2f693f-a611-4387-8af6-146268af9866,8ecd40c8-d272-453f-9337-1958de3d86f7
PURNAMA BIO,04.02.2024.420,SINAR SURYA,Senyawa Humat,Cair (Liquid),Pendaftaran Baru,2024-07-09,2029-07-09,0,ee31e294-1667-4c8c-a94e-5e91e93f0b6e,8f6675ef-1896-4988-92a1-adee99369b1b
YaraVita TRI-PHOLATE,01.03.2024.1154,YARA INDONESIA,,Tepung (Powder),Pendaftaran Ulang Ganjil,2024-07-11,2029-07-11,0,ee4987bd-9435-48b7-9ff4-c0b403202e15,72858262-579f-4e19-adb4-b0c0da229c71
CANKALI BUTIR,01.01.2023.826,SANTANI SEJAHTERA,"Pupuk Hara Makro Majemuk
",Butiran (Granular),Pendaftaran Ulang Ganjil,2023-02-15,2028-02-15,0,ee4f0dcd-7be4-4a20-aece-6394b0593de5,32a43c35-1ca5-4049-9b9a-d322ab71b496
MG PETROMAG PLUS,01.01.2023.2126,PT. Balohan Jaya Utama,,Butiran (Granular),Pendaftaran Baru,2023-05-12,2028-05-12,0,ee56a5bb-b420-4ac0-b82e-9051555d5426,816f4a95-b1a6-4c7d-8700-7c3ffac954db
Randex,02.02.2023.1005,INDO ACIDATAMA,Pupuk Organik,Cair (Liquid),Pendaftaran Ulang Ganjil,2023-10-27,2028-10-27,0,ee5c0b92-0b17-498e-a70b-2bdcb996162c,cb888ba5-4be8-4687-bb57-dc016697f2bd
FOSCANIKA,04.01.2024.439,CIPTA MAKMUR PERTIWI,Dolomit,Butiran (Granular),Pendaftaran Ulang Ganjil,2024-08-07,2029-08-07,0,ee5efcbf-3e35-4722-877b-16e727eaf617,3f95834b-f146-496b-b46a-f6bf85ce6e69
SanBlend,01.01.2026.34,AGRI TANIMAS SELARAS,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Baru,2025-12-19,2030-12-19,0,ee6673ed-8f14-4f8d-abcc-7fcb9b654339,e031df17-742c-4663-be7f-8fb34a6b30ea
MESTIKA,01.01.2025.246,SURYA ARTHA SENTOSA,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Baru,2025-03-10,2030-03-10,0,ee682738-37dc-4fe0-8dad-de2bb59bf732,e8472138-89a5-429b-a452-f8ecca1a75ae
SATO-KALI+B,01.01.2026.7,BEHN MEYER AGRICARE,,Butiran (Granular),Pendaftaran Ulang Ganjil,2025-12-11,2030-12-11,0,ee814654-986b-4fa3-a42b-6df30159d6c4,3d48529b-97aa-48d6-b6ad-cbfa089183bc
Gramofert,02.01.2022.809,PT. SINAR MAKMUR ORGANIK,Pupuk Organik,Butiran (Granular),Pendaftaran Baru,2022-08-19,2027-08-19,0,ee8ac93a-5d85-4250-bd96-5d1cce959052,76a128d1-a212-4e41-baf7-31f01dfe97ed
Powersoil,04.03.2024.147,MITRA MERDEKA TANI,Senyawa Humat,Tepung (Powder),Pendaftaran Baru,2024-04-17,2029-04-17,0,ee9f16b9-27cb-406d-9cdf-3bb469f18c9c,8157b1d5-6fed-4c73-a76c-dbb4c383d3dd
PUSRI,01.01.2024.141,PUPUK SRIWIDJAJA PALEMBANG,,Butiran (Granular),Pendaftaran Ulang Ganjil,2024-01-25,2029-01-25,0,eea0f257-1ae6-4206-822e-16656f5b2fc3,63194c4a-6957-41a9-8665-339daecfcbe5
TANIKAYA,01.01.2026.117,TANIKAYA MULTI AGRO,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Baru,2026-02-11,2031-02-11,0,eea7c2a3-a3b2-4707-be52-f2a7fdf2fd01,d40af862-906d-4db8-b985-4234206f36e5
NUSANTARA,01.03.2022.1278,PT. NUSANTARA AGRO TAMA,Pupuk Kalium Klorida (KCl),Tepung (Powder),Pendaftaran Baru,2022-08-25,2027-08-25,0,eeb45644-9c65-4014-bbff-b233ed3f2b74,7eab91ea-7b8b-4fee-8542-d3bbd0834109
BLAUKORN,01.01.2020.550,BEHN MEYER AGRICARE,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Ulang Ganjil,2020-04-24,2025-04-24,0,eeb70b44-071c-48b7-93d4-9527cccd0097,3d48529b-97aa-48d6-b6ad-cbfa089183bc
SUPERB,04.03.2021.441,NEO SINAR MEDAN,Dolomit,Tepung (Powder),Pendaftaran Baru,2021-06-23,2026-06-23,0,eed320d2-4659-475a-ac48-415d2efe5c45,0bb01721-32d4-4dd2-bab1-9d4e8824fdc6
VITALONGAN PLUS,01.08.2023.1282,SAPROTAN UTAMA,,Bentuk Lainnya,Pendaftaran Baru,2023-03-31,2028-03-31,0,eeddc3dd-36a5-431c-a380-3f083779c15f,32a5fc08-615e-4849-9010-dfc08eaec4e8
Casa Nutri,01.08.2022.594,CV. Casa Farm Hidroponik,,Bentuk Lainnya,Pendaftaran Baru,2022-02-25,2027-02-25,0,eee9a475-395c-4746-9752-06084e2c005c,810e4393-a1b0-4c0c-bacb-acb419d7e0e0
AMONG TANI,01.01.2024.53,SARI KRESNA KIMIA,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Baru,2023-12-28,2028-12-28,0,eeec8a2d-b246-411e-97f6-6e095515346f,8ba060a7-9fce-4493-a5c1-6f4bec0de492
GANOFEND,03.03.2021.599,PT.CENTRAL ALAM RESOURCES LESTARI,Hayati Tunggal,Tepung (Powder),Pendaftaran Baru,2021-12-10,2026-12-10,0,eeeeec63-b82f-4ff5-8db3-805fe5ca8f86,fa03f817-bf93-44b3-a33d-4c4f9bfa5d0c
DJITOEMAS Kunci Subur Panen berlimpah,01.02.2025.459,ADAMAS MAKMUR SEJAHTERA,,Cair (Liquid),Pendaftaran Baru,2025-05-09,2030-05-09,0,ef01944b-d01d-4f80-b62c-383a42fb8ed0,83f374e6-fe77-43f9-b175-4ebb768a3c52
COIN,01.01.2026.85,SINAR GENERAL INDUSTRIES,Pupuk Hara Mikro Tunggal,Butiran (Granular),Pendaftaran Ulang Ganjil,2025-12-30,2030-12-30,0,ef0aec62-4414-42de-950d-3369182d8e2f,becab482-ea9d-4106-9b22-7f4eb146c57c
BOOS KCL,01.02.2023.2127,CIPTA GUNA MUKTI,,Cair (Liquid),Pendaftaran Baru,2023-09-07,2028-09-07,0,ef218ad4-9483-4b2c-9912-50bcfa4b0031,75e2d37e-a150-4b77-8657-4bda3b52a172
GREENSUPE,01.03.2026.266,DITYA CHEMINDO,Pupuk Hara Mikro Majemuk,Tepung (Powder),Pendaftaran Baru,2026-04-06,2031-04-06,0,ef39a140-ffd8-4f60-b6a5-9bf81b85d767,f7090f1a-ddb7-4167-99ba-bdd0c02d5985
PALMBEST,01.08.2024.863,SETIA AGUNG SINERGI,,Bentuk Lainnya,Pendaftaran Baru,2024-07-29,2029-07-29,0,ef4bca0d-6902-4b28-9bc3-6542622f69af,b55b55b0-a031-4e74-9ffa-714c8df8f1a1
ATHAgrow,01.01.2026.582,ANJARI ATHA TANAYA,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Baru,2026-08-08,2031-08-08,0,ef662c28-4a3a-44cb-b8bf-72eac0d69da6,4af1042b-a0d0-4eaf-80e3-bf52ea294f11
SP BANTENG,01.01.2021.854,PT. Hasya Jaya Shafadila,,Butiran (Granular),Pendaftaran Baru,2021-09-03,2026-09-03,1,ef6d8177-cf7d-44ba-a7c6-10eb23d1a3cb,dd9e5077-5c8a-4ba3-adf3-a3a7ca3d4c5d
FT,01.01.2020.589,PT. Asia Pupuk Guna Lestari,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Ulang Ganjil,2020-06-26,2025-06-26,0,ef70dff2-7ce2-4e99-8f70-e129d7b08423,37c98db4-a78c-45e7-9bc0-8099103a695f
VITA FLORA,01.02.2020.718,MULTI SARANA INDOTANI,,Cair (Liquid),Pendaftaran Ulang Ganjil,2020-12-23,2025-12-23,0,ef7136ee-87cd-47c1-b8a3-1bfd786a5cc9,17c107d0-3d9b-4d1e-8ab0-cef63ae94f9f
BELLARUSIA,01.01.2025.767,MULTI NIAGA NUSANTARA INDONESIA,Pupuk Triple Super Fosfat (TSP) {3Ca(H2PO4)2},Butiran (Granular),Pendaftaran Baru,2025-09-29,2030-09-29,0,ef714918-b48e-4747-a9ee-460982a433e5,9ce30327-5c3d-47c8-ae9d-6e46907f55fc
LUNNA,01.02.2024.629,LABA INDOAGRO NUSANTARA,,Cair (Liquid),Pendaftaran Baru,2024-05-20,2029-05-20,0,ef727a32-0286-48aa-8d5d-728b8d260bf1,b9d2e184-1a85-4c16-ac6d-cc7ecdd65b73
coda,01.02.2023.1458,ELIT SOLUSI NIAGA,"Pupuk Hara Makro Majemuk
",Cair (Liquid),Pendaftaran Baru,2023-06-20,2028-06-20,0,ef7e48bb-4bbe-4757-9fd6-186703f34c0f,313bdd9a-ac6b-4d96-8381-f0da65374803
AKP,01.03.2022.1369,ASIA KIMINDO PRIMA,Pupuk Fosfat Alam Untuk Pertanian,Tepung (Powder),Pendaftaran Baru,2022-09-19,2027-09-19,0,ef90536b-a8c2-4663-b651-eede64fb2860,9eaec305-e3d0-4240-bf36-2d39a0140b2d
SATO-KALI SPECIAL OP+B,01.01.2021.615,BEHN MEYER AGRICARE,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Ulang Genap,2021-04-07,2026-04-07,0,ef9397fa-8711-4df1-9e22-206e038039a6,3d48529b-97aa-48d6-b6ad-cbfa089183bc
HSK-KALI,01.01.2021.765,PT. HANAMPI SEJAHTERA KAHURIPAN,Pupuk Kalium Klorida (KCl),Butiran (Granular),Pendaftaran Ulang Ganjil,2021-07-07,2026-07-07,0,ef9a9c6f-0714-4cab-a40e-36cb06c4a237,ab602e40-08fa-483a-a5f6-66810d0530e3
Agroniko,02.02.2026.317,AGRONIKO NUSANTARA,Pupuk Organik,Cair (Liquid),Pendaftaran Baru,2026-07-17,2031-07-17,0,efb5aab3-76ca-465b-b5b1-74ba94955a71,12058059-bb95-49d0-ba94-cfcc8a9284e9
Master Plus,01.03.2023.2255,CV. Pilar Fasa Mandiri,,Tepung (Powder),Pendaftaran Baru,2023-10-03,2028-10-03,0,efbd859d-e633-49b8-9cb8-7cf5e3f1f46c,ff09cfa0-3bd3-43cd-a08d-0b4e8a2e683b
PAK TANI,01.08.2023.747,SAPROTAN UTAMA,Pupuk Kalium Klorida (KCl),Bentuk Lainnya,Pendaftaran Baru,2023-02-26,2028-02-26,0,efc8ff4e-8c89-4b9e-b00d-63da4b25162e,32a5fc08-615e-4849-9010-dfc08eaec4e8
GREEN DIAMOND,04.01.2026.128,CV. INTI TANI MAKMUR,Pembenah Tanah Dolomit,Butiran (Granular),Pendaftaran Ulang Ganjil,2026-03-07,2031-03-07,0,efd659df-0d9c-47c7-9cca-7229ab5b20da,322a518e-24dc-4985-a1fe-3b40c997ca84
JM,01.01.2025.186,WIKA JAYA MANDIRI,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Baru,2025-02-19,2030-02-19,0,efdc75fa-251f-4860-ad1d-9e0e9c0a239e,8ad492b9-0bf4-451b-ab59-b505ae9eb123
Bananas,01.01.2022.1461,MAKMUR JAYA ABADI,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Ulang Ganjil,2022-10-04,2027-10-04,0,efdd0d02-de52-444c-abb6-b276534ef381,3518ffed-6ef8-4b82-b630-b59270aca7fd
Bio Terra Preta Fertilizer,01.01.2026.305,SAKURA FISHERIES,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Baru,2026-04-17,2031-04-17,0,eff6fd5b-b076-4c80-bf15-0baaec678c63,031ba2e3-10e1-42cc-834a-06b79d9360ee
PUPINDO,01.01.2025.160,DUPAN ANUGERAH LESTARI,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Baru,2025-01-31,2030-01-31,0,effaf2f3-7a0d-4764-900e-c9c074507d08,8e9c7bdb-074f-49e2-8e4b-1ca4e945368c
BELLARUSIA,02.01.2021.465,MULTI NIAGA NUSANTARA INDONESIA,Pupuk Organik,Butiran (Granular),Pendaftaran Ulang Ganjil,2021-07-07,2026-07-07,0,effb79cb-2699-4058-8727-50211802d9a3,9ce30327-5c3d-47c8-ae9d-6e46907f55fc
POC Harinjing,03.02.2021.327,CV Trubus Mas Lestari,Hayati Majemuk,Cair (Liquid),Pendaftaran Baru,2021-02-24,2026-02-24,0,f0148a32-ea38-44e3-8e21-79aea9d0bff8,7fa60b32-6cd8-4cd0-8594-a585aa95b159
SAPTA BIO,03.01.2022.771,PETROSIDA GRESIK,Hayati Majemuk,Butiran (Granular),Pendaftaran Baru,2022-08-09,2027-08-09,0,f0194e1e-507d-4a64-a2ac-01f50d572228,34351c87-ca0f-4674-a8ea-71289155b047
MAMPAN ٩٩,01.04.2023.1587,ALIF RAYA,Pupuk Hara Makro Majemuk,Tablet,Pendaftaran Ulang Ganjil,2023-06-05,2028-06-05,0,f0262373-fc36-4e45-a75d-053afa2dfb14,9d6581a4-22a4-4ece-b9ef-4c616a3d2e04
G14,02.02.2020.367,AGRO BEN INDONESIA,Pupuk Organik,Cair (Liquid),Pendaftaran Baru,2020-09-14,2025-09-14,0,f0291624-b8c8-49c4-9d38-de00f1ef5137,111d1a8a-17ed-46a2-82e3-334553b9d9b3
PANEN RAYA,04.03.2022.427,CIPTA MAKMUR PERTIWI,Dolomit,Tepung (Powder),Pendaftaran Baru,2022-04-04,2027-04-04,0,f02acafe-0146-4839-8595-151ecf775e78,3f95834b-f146-496b-b46a-f6bf85ce6e69
BIO ADKOM,03.08.2025.185,MERPORIZAD BERKAH ABADI,Hayati Majemuk,Bentuk Lainnya,Pendaftaran Baru,2025-04-21,2030-04-21,0,f0329c56-3304-499e-9052-899ef43226a9,7e6c9ca1-ed10-46d0-8382-e8a901dd571b
LIMOSIN,01.03.2025.333,JAKE AGRO JAYA,,Tepung (Powder),Pendaftaran Baru,2025-03-10,2030-03-10,0,f034a0b7-0fa0-473c-8a47-5f1bcfb340b2,25c533df-68f8-4f57-86a9-7cf8ca489cf3
Sadewa,02.02.2021.440,SERUNIANDAL CITRA MANDIRI,Pupuk Organik,Cair (Liquid),Pendaftaran Baru,2021-06-23,2026-06-23,0,f0427fa9-15af-47e5-bdef-636c4492d090,7ecf80d5-86f8-407b-9f81-f19efe4cba67
SPEEDGRO,02.02.2024.482,MAJU MAKMUR UTOMO,Pupuk Organik,Cair (Liquid),Pendaftaran Ulang Ganjil,2024-08-07,2029-08-07,0,f052c021-7c2e-479c-8cfe-73916da64e7b,8ecd40c8-d272-453f-9337-1958de3d86f7
A-MICRO TURBO,01.03.2026.255,ADVANSIA INDOTANI,Pupuk Hara Mikro Majemuk,Tepung (Powder),Pendaftaran Baru,2026-02-27,2031-02-27,1,f05785fe-720a-4b7b-9439-dcc3eaa7ec8e,93a6e539-e66a-4cc2-8335-43c3a42cfeb6
Ferticomp,01.01.2025.900,NUSA PALAPA GEMILANG,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Baru,2025-10-24,2030-10-24,0,f058b855-9ce0-43ac-b288-4a235f80929a,410b43f6-6853-4a96-aae8-150df846a16e
Levoamin,02.02.2024.314,DMG PHARMA LABORATORIES,Pupuk Organik,Cair (Liquid),Pendaftaran Baru,2024-06-05,2029-06-05,0,f05ffd64-3009-4f92-8803-366c6067ae19,cdfe1794-190a-4318-9657-6be59d780932
FERTILA,01.08.2020.682,SAPROTAN UTAMA,Pupuk Hara Makro Majemuk,Bentuk Lainnya,Pendaftaran Baru,2020-11-20,2025-11-20,1,f062c025-8a5d-47a0-95da-85ba47b10b92,32a5fc08-615e-4849-9010-dfc08eaec4e8
BELLARUSIA,01.01.2024.19,MULTI NIAGA NUSANTARA INDONESIA,Super Fosfat (SP-36) {Ca(H2PO4),Butiran (Granular),Pendaftaran Baru,2024-01-09,2029-01-09,0,f0649f1b-b811-4305-9dd5-cbe199f6bfe1,9ce30327-5c3d-47c8-ae9d-6e46907f55fc
CALNISTAR,01.01.2025.626,TAPAL KOEDA INDONESIA,,Butiran (Granular),Pendaftaran Baru,2025-06-26,2030-06-26,0,f08dced6-c8bf-42d0-9fa2-b4d759dc840c,b6102e33-7ddf-4b73-b429-9946f1b70ca8
hmSP-36 CITRAGROW,04.01.2025.391,HSP CITRA GLOBAL,Dolomit,Butiran (Granular),Pendaftaran Baru,2025-08-12,2030-08-12,0,f09497fa-5c17-42eb-aee7-353bccb58ddd,e124466a-d3f5-4582-93d6-a8e23d58ade7
FERTILA,01.01.2021.810,SAPROTAN UTAMA,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Ulang Ganjil,2021-07-28,2026-07-28,1,f0991ac3-7900-4f0a-bc49-09e849a169b6,32a5fc08-615e-4849-9010-dfc08eaec4e8
NUSANTARA AGRO TAMA,01.03.2025.358,PT. NUSANTARA AGRO TAMA,,Tepung (Powder),Pendaftaran Baru,2025-04-24,2030-04-24,0,f0ad563d-41a9-4a07-8536-94fd655862ae,7eab91ea-7b8b-4fee-8542-d3bbd0834109
COBAPUKANOR,01.06.2021.853,SMARTSOFT DIGITAL TEKNOLOGI,Pupuk Hara Makro Majemuk,Batang (Stick),Pendaftaran Baru,2021-09-03,2026-09-03,0,f0c6c42c-e945-4da9-9c3e-13fe0bb19293,5f5a7363-a8d7-47a8-bf95-63f50f7e89c5
TGIF,02.02.2026.146,AGRO MARITIM NUSANTARA,Pupuk Organik,Cair (Liquid),Pendaftaran Baru,2026-03-09,2031-03-09,0,f0cc6145-f292-4de5-8682-1aa86c3fdc80,9ab377c6-20df-4e63-a80a-df8f8b8b9e1f
Starmix,01.01.2022.1497,AGROTAMA TUNAS SARANA,,Butiran (Granular),Pendaftaran Baru,2022-10-16,2027-10-16,0,f0dcc790-a423-41fd-b64d-9e4dacaba825,83c743cb-4ec1-4b82-ae85-3a1f26750e30
TANI UNGGUL,01.01.2025.9,AGRI MANDIRI SEJAHTERA,,Butiran (Granular),Pendaftaran Baru,2024-12-03,2029-12-03,0,f0f30b35-55bb-4145-bfa6-726c9c6e6b55,df8f5028-387b-44d8-84a8-fcd78d3e87ca
ENVIRO,01.01.2023.2361,SAYAP EMAS CITRA PERSADA,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Baru,2023-11-27,2028-11-27,0,f0f5397c-f53b-4af3-acbf-e08016a82dcb,7609b21d-dd91-4249-aa26-98fad1b442b3
LIMAS,02.03.2026.21,DUTA LIMAS,Pupuk Organik,Tepung (Powder),Pendaftaran Baru,2025-12-17,2030-12-17,0,f0fb60b4-f732-484b-ac30-d62f72e3ef26,9d85881e-b694-45b2-90b5-15e0ead85d73
GNF Mutiara,04.01.2022.963,GRESIK NUSANTARA FERTILIZER,Dolomit,Butiran (Granular),Pendaftaran Baru,2022-09-16,2027-09-16,0,f0fdb62a-0e2b-4c8d-880e-70d0a4506894,00126726-1186-4a26-8412-c58cac186960
BARCAL,04.03.2023.901,KIMIA KARYANUSA CARAKA,Kaptan,Tepung (Powder),Pendaftaran Baru,2023-02-13,2028-02-13,0,f11db939-e8b4-4338-acd3-cb91bc98be08,def8ec62-ff82-4214-bb3d-18bdb6b47b70
ENKU,01.01.2026.55,BUMI SUBUR SENTOSA,Pupuk Amonium Sulfat (ZA) {NH4)2SO4},Butiran (Granular),Pendaftaran Ulang Ganjil,2024-06-26,2029-06-26,0,f1337030-b503-4129-b57d-b029390c6e83,fd3da71c-fff1-43c9-ab94-351f58353970
PALMO,01.08.2023.640,SARASWANTI ANUGERAH MAKMUR,Pupuk Hara Makro Majemuk,Bentuk Lainnya,Pendaftaran Ulang Ganjil,2023-01-30,2028-01-30,1,f13612ba-f8a7-438f-a042-b9007b9dca73,967cd363-b7d3-4db1-8f41-9cf78bbf91b2
MYESHA HARA,01.01.2023.2128,NICO MANDIRI SEJAHTERA,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Baru,2023-06-14,2028-06-14,0,f13f4a2c-a577-433f-be04-244dc6131ab7,9ec8544c-ff61-4214-ba4b-51d4e1ae36d1
PHONSKA PUPUK INDONESIA HOLDING COMPANY,01.01.2023.1196,Perusahaan Perseroan (Persero) PT. Pupuk Indonesia,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Ulang Genap,2023-04-18,2028-04-18,0,f14101a9-1c12-4d03-93d9-681c7cd9ef15,4a4f695d-430d-417f-83d1-4895100ae731
BIO POT,02.03.2021.560,PT. Agritek Tani Indonesia,Pupuk Organik,Tepung (Powder),Pendaftaran Ulang Ganjil,2021-10-21,2026-10-21,0,f14390d3-a162-4dd6-aeb1-2204173eb532,99ff28d1-9738-44b9-b9d2-d2e1e7f9ec57
NutriTop,01.03.2020.631,PT.MITRA UTAMA MAKMUR,,Tepung (Powder),Pendaftaran Baru,2020-08-24,2025-08-24,0,f149c7e4-2e87-4133-ad89-b3c6d591c21e,9a2858cc-f074-40ff-a758-837efec0b7fb
Gunung Intan,04.03.2022.360,PT. WAHANA MAKMUR BERSAMA,Dolomit,Tepung (Powder),Pendaftaran Ulang Genap,2022-02-12,2027-02-12,0,f1a28a2e-eadd-46b9-8078-aa5db37de4e1,4b8af1d9-5fdc-4390-bedf-fc09121e9bbf
Nutremag,01.01.2022.999,PUPUK SRIWIDJAJA PALEMBANG,,Butiran (Granular),Pendaftaran Ulang Ganjil,2022-04-27,2027-04-27,0,f1b351e6-67ff-4a7a-8307-c77b01dde526,63194c4a-6957-41a9-8665-339daecfcbe5
CAP DAUN,01.01.2022.1447,AGRO TRADISI,Pupuk Kalium Klorida (KCl),Butiran (Granular),Pendaftaran Ulang Ganjil,2022-09-26,2027-09-26,0,f1cc819e-fbdc-4edd-bce4-6d864b839a0c,0c0eb372-bad4-47dc-b7e1-4fb2e186274c
Double XtraPhos (DXP),01.01.2026.583,SANTANI AGRO LESTARI,Pupuk Super Phosphate Tunggal {Ca(H2PO4)2},Butiran (Granular),Pendaftaran Ulang Ganjil,2026-07-28,2031-07-28,0,f1d6c280-6b34-4799-b071-8513e5d6f811,0cffd1ce-eed4-4401-9f60-598310da10f3
PALMO,01.08.2022.1198,SARASWANTI ANUGERAH MAKMUR,Pupuk Hara Makro Majemuk,Bentuk Lainnya,Pendaftaran Ulang Ganjil,2022-08-19,2027-08-19,1,f1de189d-e004-4235-87e0-baa06beca6e3,967cd363-b7d3-4db1-8f41-9cf78bbf91b2
HOLANDBLUE,01.01.2026.250,RAJA GROUP INDONESIA,"Pupuk Hara Makro Majemuk
",Butiran (Granular),Pendaftaran Ulang Ganjil,2026-03-26,2031-03-26,0,f1e4a329-6243-456c-9c2b-91423107d149,5712eb69-03e4-4e93-9a88-bae5658d92ee
TANITA,02.02.2021.319,TUNAS HARMONI ABADI,Pupuk Organik,Cair (Liquid),Pendaftaran Baru,2021-02-15,2026-02-15,0,f1f2a2f3-cabe-44d8-bb48-e7061badecd9,09893806-c9cb-4cbb-9dec-5a045cfb7c1d
MAMPAN K+,01.01.2024.133,ALIF RAYA,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Baru,2024-01-08,2029-01-08,0,f1f35c4c-a6ff-4c4b-8257-a407dc711172,9d6581a4-22a4-4ece-b9ef-4c616a3d2e04
IKIGAE 165,04.03.2025.47,PT Alam Makmur Anuri,Dolomit,Tepung (Powder),Pendaftaran Baru,2025-02-01,2030-02-01,0,f1fb943e-67b8-4f29-a76e-613f168ab38c,636753b2-71ac-4855-b0d2-102f7042226f
SOLVIT,02.08.2025.123,ENVITEC MULTI INDONESIA,Pupuk Organik,Bentuk Lainnya,Pendaftaran Ulang Ganjil,2025-03-10,2030-03-10,0,f20f9bcb-e5b3-4e89-9316-21905dec2e36,37c0e638-dece-4361-be1c-8e9e97e32f88
HUMISOL,04.02.2021.503,EXINDO RAHARJA PRATAMA,Senyawa Humat,Cair (Liquid),Pendaftaran Baru,2021-08-21,2026-08-21,0,f210c259-18d8-442f-a7f5-dbfa5fae8308,718bf208-220d-484d-9f92-10b6d1d1ae48
