merk_dagang,nomor_pendaftaran,pemegang_pendaftaran,jenis_formula,bentuk_formula,warna_pupuk,jenis_permohonan,tanggal_terbit,tanggal_berakhir,id_perusahaan
Daun Sawit,,PT. Multi Mas Chemindo,NPK Padat (SNI),Butiran,Merah Kecoklatan,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,fbdb0e81-027b-4762-b83e-25caf0314a73
Daun Sawit,,PT. Multi Mas Chemindo,NPK Padat (SNI),Butiran,Merah Muda,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,fbdb0e81-027b-4762-b83e-25caf0314a73
Daun Sawit,,PT. Multi Mas Chemindo,NPK Padat (SNI),Butiran,Biru,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,fbdb0e81-027b-4762-b83e-25caf0314a73
NPK PIM,01.01.2019.323,PT Pupuk Iskandar Muda,NPK Padat (SNI),Butiran,Hijau,An-organik - Pendaftaran Baru (2018),2019,2024,44888217f0464d617d930bb0abffc3b12168
TAMENG PLUS,02.03.2020.077,PT. Sarana Utama Lestari Alam,organik,Tepung,Coklat Kehitaman,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2019,2024,eeb3f6a8-e9d2-4799-8b2b-015054952725
PUPINDO,,PT. Dupan Anugerah Lestari,NPK Padat (SNI),Butiran,Abu-abu,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,8e9c7bdb-074f-49e2-8e4b-1ca4e945368c
Grow More,01.03.2019.417,cv.nusatani,NPK Padat (SNI),Tepung,Biru,An-organik - Pendaftaran Baru (2018),2019,2024,cb5313e685f339f266d87be0a8c7b2702109
SAFA,,PT SAFA AGROTEK INDONESIA,Mikro Majemuk,Butiran,Abu Abu,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,88a64e70-d2f5-4738-9ccd-151a0b968e40
SAFA,,PT SAFA AGROTEK INDONESIA,Mikro Majemuk,Butiran,Abu Abu,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,88a64e70-d2f5-4738-9ccd-151a0b968e40
SAFA,,PT SAFA AGROTEK INDONESIA,Mikro Majemuk,Butiran,Abu Abu,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,88a64e70-d2f5-4738-9ccd-151a0b968e40
SEPRINT,01.02.2019.337,CV.BUNGA TANI,"Nitrogen dan Kalium (N,K)",Cair,Biru,An-organik - Pendaftaran Baru (2018),2019,2024,3659c904-6826-4706-b1dc-ce1fa6f97f13
NPK PIM,01.01.2019.346,PT Pupuk Iskandar Muda,NPK Padat (SNI),Butiran,Hijau,An-organik - Pendaftaran Baru (2018),2019,2024,44888217f0464d617d930bb0abffc3b12168
ANTERO,01.03.2019.345,PT. BEHN MEYER AGRICARE,Silika padat,Tepung,Coklat Kemerahan,An-organik - Pendaftaran Baru (2018),2019,2024,3d48529b-97aa-48d6-b6ad-cbfa089183bc
SRPONSKAH,01.01.2019.393,CV. Sumber Rejeki,NPK Padat (SNI),Butiran,Merah;  Biru,An-organik - Pendaftaran Baru (2018),2019,2024,6e4f6563-c843-4327-a5cd-77004331079d
BM AZOMITE,01.03.2019.351,PT. BEHN MEYER AGRICARE,Silika padat,Tepung,Coklat Kemerahan,An-organik - Pendaftaran Baru (2018),2019,2024,3d48529b-97aa-48d6-b6ad-cbfa089183bc
KALIZER,01.02.2019.364,CV.Mitra Tani Abadi,KALIUM,Cair,Merah pekat,An-organik - Pendaftaran Baru (2018),2019,2024,f48ec535-0ddc-4b6a-aa14-0f035e5b9a5f
CALYX,01.03.2019.350,PT. BEHN MEYER AGRICARE,Silika padat,Tepung,Coklat Kemerahan,An-organik - Pendaftaran Baru (2018),2019,2024,3d48529b-97aa-48d6-b6ad-cbfa089183bc
GDP,,CV. Gunung Dono Putra,Pembenah Tanah Dolomit,Tepung,Abu-abu,Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Ganjil,2019,2024,5c8c29a86251cdbdb3761b073ffa459e4176
PETELIS,01.03.2019.349,PT. BEHN MEYER AGRICARE,Silika padat,Tepung,Coklat Kemerahan,An-organik - Pendaftaran Baru (2018),2019,2024,3d48529b-97aa-48d6-b6ad-cbfa089183bc
FERTILA,,CV. SAPROTAN UTAMA,NPK Padat (SNI),Butiran,Putih Krem,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,32a5fc08-615e-4849-9010-dfc08eaec4e8
Hi Gro Bio,01.03.2020.076,PT AGRI HIKAY INDONESIA,NK,Butiran,"Putih Kemerahan , Coklat Kemerahan",An-organik - Pendaftaran Baru (2018),2019,2024,75658255-78a9-4b9c-8b03-d0058ad4f61c
Lintang Songo,,PT. PRIMA MULIA ABADI,an-organik,PADAT BRIKET,NATURAL,An-organik - Pendaftaran Ulang Ganjil,2019,2024,ad885eca-4bb8-4ac5-80bf-e8f6e5c141cd
NITROPHOSKA,,PT. SANTANI SEJAHTERA,an-organik,Butiran,Merah maron,An-organik - Pendaftaran Ulang Ganjil,2019,2024,32a43c35-1ca5-4049-9b9a-d322ab71b496
JERANTI,01.01.2020.091,PT Pupuk Kujang,NPK Padat (SNI),Butiran,Putih Keabu-abuan,An-organik - Pendaftaran Baru (2018),2019,2024,1a377f72-93aa-4c27-bee7-b414b234e1a0
ProAm,02.02.2020.068,CV. CONS PRIMA SENTOSA,organik,Cair,Coklat Bening,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2019,2024,5c8c29a86251cdbdb3761b073ffa459e4872
BUAMAX,,PT. HANAMPI SEJAHTERA KAHURIPAN,NPK Padat (SNI),Butiran,"Abu-Abu, Coklat, Hijau, Hitam, Biru, Putih",An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,ab602e40-08fa-483a-a5f6-66810d0530e3
Mahkota,,PT. SENTANA ADIDAYA PRATAMA,Poly 4,Serbuk,Putih Keabu-abuan,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,36c5c4f2-e215-4d04-9948-8926fb16c0a5
AKP,,PT. ASIA KIMINDO PRIMA,Ammonium chlorida,Padat Butiran / Tepung,Putih,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,8215e259-e648-4363-a6e2-d376c19cf345
LAO YING,01.01.2019.362,PT. MEST INDONESIY,NPK Padat (SNI),Kristal / Butiran,Hijau,An-organik - Pendaftaran Baru (2018),2019,2024,bb03ab12-99e8-46cb-91a4-f237f3ce0ffd
LAO YING,01.01.2019.361,PT. MEST INDONESIY,NPK Padat (SNI),Butiran,Orange,An-organik - Pendaftaran Baru (2018),2019,2024,bb03ab12-99e8-46cb-91a4-f237f3ce0ffd
LAO YING,01.01.2019.360,PT. MEST INDONESIY,NPK Padat (SNI),Butiran,Biru,An-organik - Pendaftaran Baru (2018),2019,2024,bb03ab12-99e8-46cb-91a4-f237f3ce0ffd
LAO YING,01.01.2019.359,PT. MEST INDONESIY,NPK Padat (SNI),Butiran,Hijau,An-organik - Pendaftaran Baru (2018),2019,2024,bb03ab12-99e8-46cb-91a4-f237f3ce0ffd
BELLRUSS,,PT. MULTI NIAGA NUSANTARA INDONESIA,Kalium Klorida (KCL) (SNI),Tepung,Merah,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,2004b629430939f680b316dd09563d4d2182
SAPI LIAR NPK 15-15-15,,PT. Centra Agro Pratama,NPK Padat (SNI),Butiran,Merah,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,27cfeb4c6002d05cdab676e5d69c7aaa2410
LAO YING,,PT. MEST INDONESIY,Magnesium Sulphate,Padat Tepung,Putih Keabuan,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,bb03ab12-99e8-46cb-91a4-f237f3ce0ffd
AGN LTE,03.01.2020.030,PT. INDOBAY BIO,hayati,Butiran,HITAM,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2019,2024,419b995f4e3f38fbeed3b59024d514d36971
MULYA,01.01.2019.357,PT. Setia Bersama,NPK Padat (SNI),Butiran,Biru dan Merah ,An-organik - Pendaftaran Baru (2018),2019,2024,9ed5673d-0e54-4116-8568-9395ad7c1d96
Nutree-UP,,PT. Alam Lestari Maju Indonesia,NPK Cair,Cair,Hijau kebiruan,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,78d3425127b884db94af363e9881326a1580
LAO YING,,PT. MEST INDONESIY,NPK Padat (SNI),Padat Butiran,"Kebiru-biruan, Pink",An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,bb03ab12-99e8-46cb-91a4-f237f3ce0ffd
dsc,04.02.2020.080,PT TRIASINDO ROYAL AGRO,pembenah tanah,Cair,Hitam,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2019,2024,c751ad39-a79c-41a5-ad05-7c531dd5e168
MerokeMOP,,PT.MEROKE TETAP JAYA,Kalium Klorida (KCL) (SNI),Butiran,Merah Muda,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,a5a2f54e-db06-45ca-acd3-bf7db4701956
MULYA,01.01.2019.356,PT. Setia Bersama,NPK Padat (SNI),Butiran,Merah dan Biru ,An-organik - Pendaftaran Baru (2018),2019,2024,9ed5673d-0e54-4116-8568-9395ad7c1d96
BAHARI,,CV. Jaya Tani,NPK Padat (SNI),Butiran,Merah,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,032ec707fb856da16d592b81bfb82c3b8011
PUSRI HYDRO,,PT PUPUK SRIWIDJAJA PALEMBANG,NPK Padat (SNI),Butiran,"Merah, Coklat Kekuningan, Putih",An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,0c496ac58b4898b510132b58728761672643
Agro Activa Compounds,01.01.2019.371,PT. AGRO TRADISI,NPK Padat (SNI),Butiran,Coklat,An-organik - Pendaftaran Baru (2018),2019,2024,0c0eb372-bad4-47dc-b7e1-4fb2e186274c
Korn-Kali+B,01.01.2018.126,PT.MEROKE TETAP JAYA,Makro Mikro Majemuk,Butiran,Abu-abu kehitaman,An-organik - Pendaftaran Baru (2018),2019,2024,a5a2f54e-db06-45ca-acd3-bf7db4701956
MerokeCALNIT,01.01.2018.033,PT.MEROKE TETAP JAYA,Calsium nitrat,Butiran,Putih,An-organik - Pendaftaran Baru (2018),2019,2024,a5a2f54e-db06-45ca-acd3-bf7db4701956
Prima Exs,01.03.2020.144,PT FAJAR BUANA CHEMICAL,Mikro,Tepung,Putih,An-organik - Pendaftaran Baru (2018),2019,2024,4b6134c3-a080-43e8-9bf4-5069a6484c31
Mahkota,01.01.2019.365,PT. WILMAR CHEMICAL INDONESIA,NPK Padat (SNI),Butiran,Biru,An-organik - Pendaftaran Baru (2018),2019,2024,f46679f0-5a47-4d85-97e4-cd22abc7bb79
POHON SERAI,,UD. Makmur Jaya,Hara Makro Sekunder MgO (Magnesium),Tepung,Abu-abu,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,65ac4d7ac5228ad185570fe2d39424639408
PUSRI,,PT PUPUK SRIWIDJAJA PALEMBANG,NPK Padat (SNI),Butiran,"Coklat, Coklat Kemerahan, Biru, Abu-Abu, Hitam",An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,0c496ac58b4898b510132b58728761672643
PUSRI,,PT PUPUK SRIWIDJAJA PALEMBANG,NPK Padat (SNI),Butiran,"Coklat, Coklat Kemerahan, Biru, Abu-Abu, Hitam",An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,0c496ac58b4898b510132b58728761672643
URIUM,01.02.2019.373,CV.BUNGA TANI,Nitrogen dan kalium,Cair,Biru,An-organik - Pendaftaran Baru (2018),2019,2024,3659c904-6826-4706-b1dc-ce1fa6f97f13
Ferti Best,01.01.2020.001,PT. Agro Berjaya Nusantara,NPK Padat (SNI),Butiran,"Coklat, Merah",An-organik - Pendaftaran Baru (2018),2019,2024,02affaf0-6a1d-44d6-86cb-fca5d343fbe5
AMARI,,PT. Agrotama Tunas Sarana,an-organik,Cair,Coklat,An-organik - Pendaftaran Ulang Ganjil,2019,2024,83c743cb-4ec1-4b82-ae85-3a1f26750e30
PRIMATAN,,UD. PRIMAGRO,"Pupuk Mikro Majemuk (Zn, B dan Mn)",Tepung,Coklat kehitaman ,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,baac0661-9be3-424a-bc02-ddb660bcb827
Daun Sawit,01.03.2019.378,PT. Multi Mas Chemindo,Ammonium chlorida,Tepung,Putih,An-organik - Pendaftaran Baru (2018),2019,2024,fbdb0e81-027b-4762-b83e-25caf0314a73
PUPINDO,01.01.2019.377,PT. Dupan Anugerah Lestari,NPK Padat (SNI),Butiran,Abu-abu,An-organik - Pendaftaran Baru (2018),2019,2024,8e9c7bdb-074f-49e2-8e4b-1ca4e945368c
KANO,01.08.2019.386,PT. YUDHA PERDANA ANGESTI,Potassium Nitrat,Kristal,Putih,An-organik - Pendaftaran Baru (2018),2019,2024,6230daae-19b3-4c48-8711-b9bd22a34495
PAMORGANIK MAS,03.02.2020.052,CV.UTAMA KARYA TANI,hayati,Cair,Coklat Kehitaman ,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2019,2024,50b852eb-8b33-4976-94f7-89275c5375a2
FERTILA,01.01.2019.383,CV. SAPROTAN UTAMA,NPK Padat (SNI),Butiran,Merah,An-organik - Pendaftaran Baru (2018),2019,2024,32a5fc08-615e-4849-9010-dfc08eaec4e8
MENTARI,,PT. Permata Agro Persada,Ammonium chlorida,Tepung,off-white,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,d6995698-8fd6-4d4e-81b6-f09a2d303f26
S-VIT,01.02.2020.005,CV.TABITA JAYA,An-Organik Cair NK Min 8%,Cair,Cyan,An-organik - Pendaftaran Baru (2018),2019,2024,c0929fba-de40-4dfa-8026-68efe4531836
Mahkota,01.01.2017.377,PT. WILMAR CHEMICAL INDONESIA,Amonium Sulfat (ZA) (SNI) ,Butiran,Putih,An-organik - Pendaftaran Baru (2018),2019,2024,f46679f0-5a47-4d85-97e4-cd22abc7bb79
AKASIA,,PT.Antariksa Nusantara Indonesia Group,NK,Tepung,"Merah, Coklat Natural, Putih",An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,9d630f68-47d6-427a-8b5a-b10ec7054bc6
Hi Gro Bio,01.01.2019.384,PT AGRI HIKAY INDONESIA,NP,Butiran,Putih Kemerahan,An-organik - Pendaftaran Baru (2018),2019,2024,75658255-78a9-4b9c-8b03-d0058ad4f61c
GRANDPHOSMAG,,PT. Agro Tani Marisi,an-organik,Butiran,Abu-abu Kehitaman,An-organik - Pendaftaran Ulang Ganjil,2019,2024,0c496ac58b4898b510132b58728761676928
ARJUNA,,PT. Hextar Fertilizer Indonesia,NPK Padat (SNI),Butiran,Hijau Tua,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,c8a04f82-4325-438e-b9a9-fbd339f00068
Agro Activa Compounds,01.01.2019.386,PT. AGRO TRADISI,NPK Padat (SNI),Butiran,Coklat,An-organik - Pendaftaran Baru (2018),2019,2024,0c0eb372-bad4-47dc-b7e1-4fb2e186274c
CAP DAUN,01.03.2020.102,PT. AGRO TRADISI,Rock Phosphate,Tepung,Kuning Muda,An-organik - Pendaftaran Baru (2018),2020,2025,0c0eb372-bad4-47dc-b7e1-4fb2e186274c
CAP DAUN,01.03.2020.102,PT. AGRO TRADISI,Rock Phosphate,Tepung,Kuning Muda,An-organik - Pendaftaran Baru (2018),2020,2025,0c0eb372-bad4-47dc-b7e1-4fb2e186274c
CAP DAUN,,PT. AGRO TRADISI,Fosfat Alam untuk Pertanian (SNI),Tepung,Kuning Muda,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,0c0eb372-bad4-47dc-b7e1-4fb2e186274c
NOS CROP,,CV. TUNAS HARAPAN,an-organik,,,An-organik - Pengalihan Nomor Pendaftaran,2019,2024,095f02d0-d0a5-4237-b12d-1bef01d3ae0f
NEO KRISTALON,,CV. SAPROTAN UTAMA,an-organik,Tepung,Kuning,An-organik - Pendaftaran Ulang Ganjil,2020,2025,32a5fc08-615e-4849-9010-dfc08eaec4e8
CAP DAUN,,PT. AGRO TRADISI,an-organik,Tepung,Putih Kemerahan,An-organik - Pendaftaran Ulang Ganjil,2019,2024,0c0eb372-bad4-47dc-b7e1-4fb2e186274c
DGW,01.01.2017.310,PT. Hextar Fertilizer Indonesia,NPK Padat (SNI),Butiran,Biru muda,An-organik - Pendaftaran Baru (2018),2019,2024,c8a04f82-4325-438e-b9a9-fbd339f00068
DGW,01.01.2016.248,PT. Hextar Fertilizer Indonesia,NPK Padat (SNI),Butiran,"Blend Putih, Hitam, Kuning",An-organik - Pendaftaran Baru (2018),2019,2024,c8a04f82-4325-438e-b9a9-fbd339f00068
BELLRUSS,,PT. MULTI NIAGA NUSANTARA INDONESIA,Fosfat Alam untuk Pertanian (SNI),Tepung,"Coklat, Coklat Muda, Coklat Tua",An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,2004b629430939f680b316dd09563d4d2182
123 GANIC,,PT. Dwi Mitra,hayati,Cair,Coklat Kehitaman,Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Ganjil,2019,2024,48c09dbc-ae69-445d-971d-339f56c2dc2c
Suburkali BUTIR,01.01.2016.106,PT.MEROKE TETAP JAYA,Makro Campuran,Butiran,Putih Abu-abu,An-organik - Pendaftaran Baru (2018),2019,2024,a5a2f54e-db06-45ca-acd3-bf7db4701956
dsc,04.03.2020.081,PT TRIASINDO ROYAL AGRO,pembenah tanah,Tepung,Hitam,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2019,2024,c751ad39-a79c-41a5-ad05-7c531dd5e168
MENTARI,01.01.2019.416,PT. Permata Agro Persada,Potashplus,Butiran,Putih Kemerahan,An-organik - Pendaftaran Baru (2018),2019,2024,d6995698-8fd6-4d4e-81b6-f09a2d303f26
MEKARINDO,01.01.2019.398,PT. Cipta Makmur Pertiwi,NPK Padat (SNI),Butiran,"Merah, Biru",An-organik - Pendaftaran Baru (2018),2019,2024,3f95834b-f146-496b-b46a-f6bf85ce6e69
SoluMAG,01.03.2018.045,PT.MEROKE TETAP JAYA,Kieserite,Tepung,Krem,An-organik - Pendaftaran Baru (2018),2019,2024,a5a2f54e-db06-45ca-acd3-bf7db4701956
PULLET,01.01.2019.423,PT. Polowijo Gosari,NPK Padat (SNI),Butiran,Abu-Abu Kehitaman,An-organik - Pendaftaran Baru (2018),2019,2024,a2f15a6c-10a0-4312-90e4-fc3075df8621
AKP,,PT. ASIA KIMINDO PRIMA,Kalium Klorida (KCL) (SNI),Padat Butiran / Tepung,"Putih, Merah",An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,8215e259-e648-4363-a6e2-d376c19cf345
Grow More,01.01.2019.406,cv.nusatani,NPK Padat (SNI),Butiran,Biru,An-organik - Pendaftaran Baru (2018),2019,2024,cb5313e685f339f266d87be0a8c7b2702109
CAP DAUN,01.08.2019.422,PT. AGRO TRADISI,Amonium Sulfat (ZA) (SNI) ,KRISTAL,Putih,An-organik - Pendaftaran Baru (2018),2019,2024,0c0eb372-bad4-47dc-b7e1-4fb2e186274c
SS (AMMOPHOS) LUKISAN BURUNG,01.01.2018.424,PT.MEROKE TETAP JAYA,Nitrogen Phosphate,Butiran,Putih ,An-organik - Pendaftaran Baru (2018),2019,2024,a5a2f54e-db06-45ca-acd3-bf7db4701956
KURNIAGANIK,,PT. Tiara Kurnia,organik,Tepung,Coklat Kehitaman,Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Ganjil,2019,2024,3e2f43c408ff7cb7d2d6ec3c1188558f1735
Mahkota,,PT. SENTANA ADIDAYA PRATAMA,an-organik,Butiran,Hitam,An-organik - Pendaftaran Ulang Ganjil,2020,2025,36c5c4f2-e215-4d04-9948-8926fb16c0a5
Grow More,01.01.2019.405,cv.nusatani,NPK Padat (SNI),Butiran,Biru,An-organik - Pendaftaran Baru (2018),2019,2024,cb5313e685f339f266d87be0a8c7b2702109
KINCIR,01.02.2019.404,CV. Jaya Makmur Sentausa,NPK Cair,Cair,Merah Muda,An-organik - Pendaftaran Baru (2018),2019,2024,3e2f43c408ff7cb7d2d6ec3c1188558f6409
BOONTONIK,,CV. Nusa Nur Agro,an-organik,Cair,Hijau,An-organik - Pendaftaran Ulang Ganjil,2019,2024,d62bc1906cf27adf879f2983115b782c2679
LAO YING,,PT. MEST INDONESIY,Kalium Klorida (KCL) (SNI),Tepung,"Putih Keabuan, Merah",An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,bb03ab12-99e8-46cb-91a4-f237f3ce0ffd
Grow More,01.03.2019.424,cv.nusatani,NPK Padat (SNI),Tepung,Biru,An-organik - Pendaftaran Baru (2018),2019,2024,cb5313e685f339f266d87be0a8c7b2702109
Grow More,01.03.2019.418,cv.nusatani,NPK Padat (SNI),Tepung,Biru,An-organik - Pendaftaran Baru (2018),2019,2024,cb5313e685f339f266d87be0a8c7b2702109
NITROPHOSKA,,PT. SANTANI SEJAHTERA,an-organik,Butiran,Putih,An-organik - Pendaftaran Ulang Ganjil,2019,2024,32a43c35-1ca5-4049-9b9a-d322ab71b496
GROFAST,01.03.2019.420,PT. Hextar Fertilizer Indonesia,NPK Padat (SNI),Tepung kristal,Hijau Muda,An-organik - Pendaftaran Baru (2018),2019,2024,c8a04f82-4325-438e-b9a9-fbd339f00068
 GROFAST,01.03.2019.421,PT. Hextar Fertilizer Indonesia,NPK Padat (SNI),Tepung kristal,Hijau,An-organik - Pendaftaran Baru (2018),2019,2024,c8a04f82-4325-438e-b9a9-fbd339f00068
Agro Activa Compounds,01.01.2019.419,PT. AGRO TRADISI,NPK Padat (SNI),Butiran,Coklat,An-organik - Pendaftaran Baru (2018),2019,2024,0c0eb372-bad4-47dc-b7e1-4fb2e186274c
Quantum Growth ,,PT .PLANETBIRU INDONESIA,hayati,Cair,Ungu Dan Hitam ,Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Ganjil,2019,2024,c91e37a0-6571-4325-9cb0-b786e4c3fb78
Quantum Growth,,PT .PLANETBIRU INDONESIA,hayati,Cair,Ungu Dan Hitam,Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Ganjil,2019,2024,c91e37a0-6571-4325-9cb0-b786e4c3fb78
BIO BEST,03.01.2020.072,CV. Christdo Titian Jaya,hayati,Butiran,Biru,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2019,2024,b47320701e7a92974ef86577f01842d58179
MerokeZA,01.03.2018.133,PT.MEROKE TETAP JAYA,Amonium Sulfat (ZA) (SNI) ,Tepung,Putih,An-organik - Pendaftaran Baru (2018),2020,2025,a5a2f54e-db06-45ca-acd3-bf7db4701956
GROFAST,01.03.2020.074,PT. Hextar Fertilizer Indonesia,NPK Padat (SNI),Serbuk,Biru Muda,An-organik - Pendaftaran Baru (2018),2020,2025,c8a04f82-4325-438e-b9a9-fbd339f00068
KANCIL EMAS,01.01.2020.066,PT. SANLEX MALINDO,NPK Padat (SNI),Butiran,Coklat,An-organik - Pendaftaran Baru (2018),2019,2024,46eccec8-2718-4ecf-82b0-d69f6c5a43e9
RioGen,,CV. Multi Guna,hayati,Cair,Coklat Kehitaman,Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Ganjil,2020,2025,b47320701e7a92974ef86577f01842d54058
Ferti Best,01.01.2020.032,PT. Agro Berjaya Nusantara,NPK Padat (SNI),Butiran,"Coklat, Merah",An-organik - Pendaftaran Baru (2018),2019,2024,02affaf0-6a1d-44d6-86cb-fca5d343fbe5
BIG MOST,,CV. Nusa Nur Agro,an-organik,Tepung,Putih Keunguan,An-organik - Pendaftaran Ulang Ganjil,2019,2024,d62bc1906cf27adf879f2983115b782c2679
CIPMAPE,,PT. Cipta Makmur Pertiwi,Fosfat Alam untuk Pertanian (SNI),Butiran,"Abu-abu , Hitam , Merah , Kecoklatan",An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,3f95834b-f146-496b-b46a-f6bf85ce6e69
BURUNG KENARI,,CV. Fian Agro Industri,organik,,,Organik/Hayati/Pembenah Tanah - Pengalihan Nomor Pendaftaran,2019,2024,b47320701e7a92974ef86577f01842d55618
FERTILA,,CV. SAPROTAN UTAMA,an-organik,Kristal,Putih,An-organik - Pendaftaran Ulang Ganjil,2019,2024,32a5fc08-615e-4849-9010-dfc08eaec4e8
MAGNUM PAK TANI,,CV. SAPROTAN UTAMA,an-organik,Butiran,Hijau,An-organik - Pendaftaran Ulang Ganjil,2019,2024,32a5fc08-615e-4849-9010-dfc08eaec4e8
LAO YING,,PT. MEST INDONESIY,an-organik,Padat Butiran,"Coklat, Kuning",An-organik - Pendaftaran Ulang Ganjil,2019,2024,bb03ab12-99e8-46cb-91a4-f237f3ce0ffd
BELLRUSS,04.01.2020.078,PT. MULTI NIAGA NUSANTARA INDONESIA,Pembenah Tanah Dolomit,Butiran,"Merah, Abu-abu, Biru",Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2019,2024,2004b629430939f680b316dd09563d4d2182
LAO YING,,PT. MEST INDONESIY,Fosfat Alam untuk Pertanian (SNI),Padat / Tepung,Putih Keabuan,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,bb03ab12-99e8-46cb-91a4-f237f3ce0ffd
GAL-Xe ONE,01.01.2020.025,PT. AGROABADI MAKMUR PERSADA,NPK Padat (SNI),Padat Butiran,Coklat Keemasan,An-organik - Pendaftaran Baru (2018),2019,2024,a9b9428b-fb3a-4199-833e-5ab002a1be79
KANCIL EMAS,01.01.2020.024,PT. SANLEX MALINDO,NPK Padat (SNI),Butiran,Pink,An-organik - Pendaftaran Baru (2018),2019,2024,46eccec8-2718-4ecf-82b0-d69f6c5a43e9
ABABIL,01.01.2020.062,PT. Agro Nusantara Indonesia,NPK Padat (SNI),Butiran,"Pink/Merah Muda, Coklat Kemerahan",An-organik - Pendaftaran Baru (2018),2020,2025,bb37937f-0268-4c86-bfae-a7e67378958a
MerokeMKP,01.03.2018.366,PT.MEROKE TETAP JAYA,Makro Majemuk PK,Tepung,Putih,An-organik - Pendaftaran Baru (2018),2020,2025,a5a2f54e-db06-45ca-acd3-bf7db4701956
MerokeFITOFLEX,01.03.2018.252,PT.MEROKE TETAP JAYA,Mikro Majemuk,Tepung,Hijau,An-organik - Pendaftaran Baru (2018),2020,2025,a5a2f54e-db06-45ca-acd3-bf7db4701956
zamrud VC,01.01.2020.017,CV. Varia Chemika,NPK Padat (SNI),Butiran,Merah ; Biru,An-organik - Pendaftaran Baru (2018),2020,2025,da47b98e-6770-49fb-b35d-bacab553369c
