pemegang_pendaftaran,jumlah_produk,sumber
PONDOK PESANTREN ASSALAFIE,1,SIMPEL
CENTRAL INDO PRIMA GROUP,1,SIMPEL
MULIA AGRO HAYATI,1,SIMPEL
CV. AGRO MITRA SEJAHTERA,1,SIMPEL
HAYATI FORTUNA INDONESIA,1,SIMPEL
PUPUK SUBURKAN NEGERI,1,SIMPEL
CV SUNDAG AGRO FERTILIZER,1,SIMPEL
KSM SEHAT SEJAHTERA,1,SIMPEL
MUTIARA MAS,1,SIMPEL
DWI AGRO MANUNGGAL,1,SIMPEL
WAHANA ORGANIK MULIAJAYA,1,SIMPEL
ORSINIL INDO MITRA PATEN,1,SIMPEL
JAVA AGRO SEMESTA,1,SIMPEL
BIOPOR SINERGY NUSANTARA,1,SIMPEL
UDKHABI BUN NAJAR,1,SIMPEL
KOPERASI JASA PUSLIT KELAPA SAWIT,1,SIMPEL
KURNIA AGRO LESTARI,1,SIMPEL
RASYA RIZKI PRATAMA PHD,1,SIMPEL
RAMIN MINERAL JAYA,1,SIMPEL
ACE BIO CARE,1,SIMPEL
SALIMAS CITRA KENCANA,1,SIMPEL
PT. BAHAGIA JAYA INDO,1,SIMPEL
ROYAL AGRO INDONESIA,1,SIMPEL
PT. Sinar Deli Mandiri,1,SIMPEL
PT Buana Hijau Pratama,1,SIMPEL
JAGAD SUMBER MAKMUR,1,SIMPEL
GERDU GENENG SIDAYU,1,SIMPEL
POWER NIAGA SUKSES,1,SIMPEL
MITRA TANI SEMESTA,1,SIMPEL
PT. SEMERU JAYA GEMILANG,1,SIMPEL
CV. Semangat Baru Agro,1,SIMPEL
SINAR AGRO MULTIHARA,1,SIMPEL
SANTANI AGRO MANDIRI,1,SIMPEL
MIKHA TANINDO MAKMUR,1,SIMPEL
PUPUK KARYA POLOWIJO,1,SIMPEL
BERKAT HIJAU SUBUR MELIMPAH,1,SIMPEL
SANYO TRADING INDONESIA,1,SIMPEL
MAKMUR AGRISARANA,1,SIMPEL
AGRO ANDALAS JAYA,1,SIMPEL
PT BERKAH MANDIRI SEJATI,1,SIMPEL
SUBU GREEN INDONESIA,1,SIMPEL
PT CHEIL JEDANG INDONESIA,1,LEGACY
CV. MANDIRI PANGAN SEJAHTERA,1,LEGACY
CV.TRI MULTI DAYA.,1,LEGACY
PT. Kristalindo Karunia Internasional,1,LEGACY
PT. AGRO BIO KEMINDO,1,LEGACY
PT PALMARIN AGRO INDONESIA,1,LEGACY
PT. ADAMAS ASABHUMI,1,LEGACY
CV. Deka Agro Product,1,LEGACY
PT Kertopaten Agro Sejahtera,1,LEGACY
PT BIOZYM PRATAMA,1,LEGACY
PT. Mega Tri Utama,1,LEGACY
PT. Agro Max Asia,1,LEGACY
PT. Agri Jaya Manggala,1,LEGACY
PT. Sri Dipo Nuswantoro,1,LEGACY
PT BIO PLANMATE INDONESIA,1,LEGACY
CV. BOMA SAKTI TANI,1,LEGACY
PT. Multidaya Putra Sejahtera,1,LEGACY
CV. AGRO BISNIS INDONESIA,1,LEGACY
PT Ambagiri Nusantara,1,LEGACY
PT. DRAGON PUPUK INDONESIA,1,LEGACY
PT Bukit Mas Murti Persada,1,LEGACY
PT.Sumberaya Kendimasindo,1,LEGACY
CV. Sinar Agung,1,LEGACY
PT. ARTHA MAKMUR ABADI,1,LEGACY
PT. MITOKU SUKSES MAKMUR,1,LEGACY
PT. QL Agrofood,1,LEGACY
PT Bursatani Global Niaga,1,LEGACY
CV. Subur Makmur Sejahtera,1,LEGACY
PT Lautan Luas Tbk,1,LEGACY
CV. Dewi,1,LEGACY
PT Prosper Biotech Indonesia,1,LEGACY
PT. Biotrack Technology Indonesia,1,LEGACY
CV JAYA SRI BERSAMA,1,LEGACY
PT PRIMA AGRO MANDIRI,1,LEGACY
PT DOBEL F JAYA,1,LEGACY
PT.PRAMUDITA DARYA PARMA,1,LEGACY
CV. HERBASARI,1,LEGACY
PT. Agrofarm Nusa Raya,1,LEGACY
PT.WONDERINDO PHARMATAMA,1,LEGACY
CV. Tani Hijau LestariI,1,LEGACY
PT. AGRO TANI MAJU SEJAHTERA,1,LEGACY
PT. NUSA PALAPA GEMILANG,1,LEGACY
PT.NOVELVAR,1,LEGACY
CV. Rahayu,1,LEGACY
CV. Organic Farming Indonesia,1,LEGACY
PT. Kamar Maeso Harapan,1,LEGACY
PT NUTRIMAS AGRO INDONESIA,1,LEGACY
CV. SURYA TANI TIMUR SANTOSA,1,LEGACY
CV. JAVA INDAH,1,LEGACY
PT PUPUK KELAPA SAWIT JAYA,1,LEGACY
PT Tunas Makmur Jaya Abadi,1,LEGACY
CV MANUNGGAL ABADI SENTOSA,1,LEGACY
UD. Primaagro,1,LEGACY
CV. Bakti Alam Nusantara,1,LEGACY
PT.PROPADU KONAIR TARAHUBUN,1,LEGACY
PT. Intidaya Agrolestari,1,LEGACY
CV. Agro Santanindo,1,LEGACY
Ud.sarana tani utama,1,LEGACY
PT Arindo Utama Perkasa,1,LEGACY
CV. Tresno Bumi Lestari,1,LEGACY
CV. Sejahtera Abadi,1,LEGACY
CV. Mega Organofertlizer,1,LEGACY
PT GREEN PLANET INDONESIA,1,LEGACY
PT SASA INTI,1,LEGACY
PT. JNS Sejahtera Bersama,1,LEGACY
CV MULTIAGRO SARANA CEMERLANG,1,LEGACY
CV. SASANDO,1,LEGACY
PT Mitra Sukses Agrindo,1,LEGACY
PT.Vietindo Agro Lestari,1,LEGACY
PT. DAMAI AGRO MANDIRI,1,LEGACY
PT. Agrosid Manunggal Sentosa,1,LEGACY
PT. ENDRA TANI MAKMUR,1,LEGACY
CV. TRUBUS PRIMA,1,LEGACY
CV. Arta Putri,1,LEGACY
CV. Tunggal Tri Panca,1,LEGACY
CV SUKA AYU BIONITRAT,1,LEGACY
CV. Jago Jasa,1,LEGACY
PT. Harvest Ariake Indonesia,1,LEGACY
PT PUPUK NUTRIFIT INDONESIA,1,LEGACY
PT. ORCHID GLOBAL MAKMUR,1,LEGACY
PT. SARI KRESNA KIMIA,1,LEGACY
U.D Daun Mas,1,LEGACY
PT. Selaras Alam Sejahtera,1,LEGACY
PT.Silva Tropika Kultura,1,LEGACY
PT. Trubus Mitra Swadaya,1,LEGACY
PT. Bahagia Jaya Sinergy,1,LEGACY
PT. PERKEBUNAN NUSANTARA XI,1,LEGACY
PT.BUMI TANI INDONESIA SEJAHTERA,1,LEGACY
PT Dwitama Agro Makmur,1,LEGACY
CV. BUMI NUSANTARA,1,LEGACY
PT.Surya Agung Unggul,1,LEGACY
PT. UMG INDONESIA,1,LEGACY
PT. NUSA BERKAT ALAM,1,LEGACY
PT. ENVITEC MULTI INDONESIA,1,LEGACY
CV. CIPTO LANGGENG,1,LEGACY
CV. PESANGGEM MITRA ABADI,1,LEGACY
CV MEGAH JAYA SEVENTIES,1,LEGACY
PT ELKABE BIOTEK INDONESIA,1,LEGACY
CV. Mutiara Agro Persada,1,LEGACY
CV. DELTA FORTUNA,1,LEGACY
PT. Mitra Gresik Indonesia,1,LEGACY
PT. Aneka Nutrisi Global Indonesia,1,LEGACY
PT Dunia Kimia Jaya,1,LEGACY
PT. Persada Pupuk Indonesia,1,LEGACY
CV MARZUQ,1,LEGACY
PT.Greenland Agrotech Industries,1,LEGACY
PT CROP CHECK INDONESIA,1,LEGACY
PT. Artha Prima Humatindo,1,LEGACY
PT. SAFE CHEMICAL INDONESIA,1,LEGACY
CV. Agro Lestari,1,LEGACY
CV. PANTRAS AGROLESTRI,1,LEGACY
KOPERASI KARYAWAN RISPA MEDAN,1,LEGACY
CV. Duta Oreza Indonesia,1,LEGACY
PT. GALATTA LESTARINDO,1,LEGACY
PT. AGRO PARKIM INDONESIA,1,LEGACY
CV. Agro Sumber Subur,1,LEGACY
CV. Telsap Utama,1,LEGACY
PT. INDUSTRI JAMU DAN FARMASI SIDO MUNCUL,1,LEGACY
CV RAJAWALI USAHA NABATI,1,LEGACY
CV. TERUS JAYA PUTRA,1,LEGACY
CV. NOVIE AGRO INDUSTRI,1,LEGACY
PT. Biosindo Mitra Jaya,1,LEGACY
PT. INDORAYA MITRA PERSADA SERATUS ENAM PULUH DELAPAN,1,LEGACY
CV. SUBURI PUTRA MANDIRI,1,LEGACY
CV. MAKMUR SEMBADA,1,LEGACY
CV Karsa Jaya,1,LEGACY
CV.AGROTANI,1,LEGACY
PT. Shiraishi Calcium Indonesia,1,LEGACY
CV. Citra Berlian,1,LEGACY
CV. PATIH GAJAH MADA,1,LEGACY
CV. Gunung Dono Putra,1,LEGACY
CV. CONS PRIMA SENTOSA,1,LEGACY
PT. INDOBAY BIO,1,LEGACY
PT. Agro Tani Marisi,1,LEGACY
CV. TUNAS HARAPAN,1,LEGACY
CV. Christdo Titian Jaya,1,LEGACY
CV. Multi Guna,1,LEGACY
CV. Fian Agro Industri,1,LEGACY
CV. DANA INDO AGRI,1,LEGACY
