pemohon,jenis_badan,jumlah_varietas,jumlah_ejaan_digabung,komoditas_utama,komoditas_semua,tahun_pertama,tahun_terakhir,jenis_perizinan_terbanyak
"Hasnam, Siwi Sumarini, Emy Sulistyowati, IGAA Indrayani,Titiek Yulianti dan Rusim Mardjono",perorangan/lainnya,4,2,Tanaman Perkebunan,Tanaman Perkebunan,1990,1993,Pelepasan Varietas Tanaman
"Gunawan Sukarso, Soedjono Darmodjo, Soejoto Sastrowijoyo, Mirzawan P.D.N, Soeprajitno Lamadji, dan Eka Sugiyarna",perorangan/lainnya,4,2,Tanaman Perkebunan,Tanaman Perkebunan,1991,1991,Pelepasan Varietas Tanaman
"Gunawan Sukarso, Soedjono Darmodjo, Soejoto Sastrowijoyo, Mirzawan P.D.N, Soeprajitno Lamadji, Soeprijanto, Eka Sugiyarna, Hermono Budisantoso",perorangan/lainnya,4,1,Tanaman Perkebunan,Tanaman Perkebunan,1990,1990,Pelepasan Varietas Tanaman
Universitas Wahid Hasyim,Perguruan tinggi,3,1,Tanaman Pangan,Tanaman Pangan,2026,2026,Pendaftaran Varietas Hasil Pemuliaan
Pemerintah Daerah Kabupaten Barito Kuala,Pemerintah,3,1,Tanaman Pangan,Tanaman Pangan,2026,2026,Pendaftaran Varietas Lokal
ANUGERAH AGRO LESTARI,perorangan/lainnya,3,1,Tanaman Pangan,Tanaman Pangan,2026,2026,Persetujuan Penamaan Varietas Tanaman (Introduksi)
Pemda Kabupaten Pandeglang,Pemerintah,3,1,Tanaman Pangan,Tanaman Pangan,2026,2026,Pendaftaran Varietas Lokal
PT BENIH MERDEKA TANI ,PT,3,2,Hortikultura,Hortikultura;Tanaman Sayuran,2024,2026,Pendaftaran Varietas Hasil Pemuliaan
USAHA DAGANG (UD),perorangan/lainnya,3,1,Hortikultura,Hortikultura,2026,2026,Pendaftaran Varietas Hasil Pemuliaan
PT Semangat Bersama Entrepreneurship,PT,3,2,Tanaman Pangan,Tanaman Pangan,2020,2026,Perlindungan Varietas Tanaman
PT Cipta Makmur Pertiwi,PT,3,1,Tanaman Pangan,Tanaman Pangan,2021,2025,Perlindungan Varietas Tanaman
"Pusat Bioteknologi, LPPM, IPB",Perguruan tinggi,3,1,Tanaman Sayuran,Tanaman Sayuran,2023,2025,Perlindungan Varietas Tanaman
CV Crindo Satria Agro,CV,3,1,Tanaman Pangan,Tanaman Pangan,2023,2025,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Tanjung Jabung Timur,Pemerintah,3,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Pangan;Tanaman Perkebunan,2020,2025,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Wonogiri,Pemerintah,3,1,Tanaman Pangan,Tanaman Pangan,2024,2024,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Muara Enim,Pemerintah,3,1,Tanaman Pangan,Tanaman Pangan;Tanaman Buah,2007,2024,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Minahasa,Pemerintah,3,1,Tanaman Sayuran,Tanaman Sayuran,2024,2024,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Tuban,Pemerintah,3,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Pangan;Tanaman Buah,2006,2024,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Kepulauan Selayar,Pemerintah,3,1,Tanaman Perkebunan,Tanaman Perkebunan;Tanaman Buah,2017,2024,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Kutai Timur,Pemerintah,3,1,Tanaman Buah,Tanaman Buah;Tanaman Perkebunan,2011,2024,Pendaftaran Varietas Tanaman
PT Jafran Indonesia,PT,3,1,Tanaman Pangan,Tanaman Pangan,2024,2024,Pelepasan Varietas Tanaman
"Fakultas Pertanian, Universitas Hasanuddin, BPSI Serealia, dan BSIP",Perguruan tinggi,3,1,Tanaman Pangan,Tanaman Pangan,2024,2024,Pelepasan Varietas Tanaman
"Dinas Pangan Tanaman Pangan Hortikultura dan Peternakan Kabupaten Indragiri Hilir, Balai Penerapan Standardisasi Instrumen Pertanian Riau dan Badan Riset dan Inovasi Nasional",Pemerintah,3,1,Tanaman Pangan,Tanaman Pangan,2024,2024,Pelepasan Varietas Tanaman
PT Indoseed Agri Makmur,PT,3,1,Tanaman Sayuran,Tanaman Sayuran,2024,2024,Pelepasan Varietas Tanaman
Dinas Pertanian dan Perkebunan Kabupaten Kediri,Pemerintah,3,1,Tanaman Buah,Tanaman Buah,2018,2024,Pelepasan Varietas Tanaman
Dinas Tanaman Pangan dan Hortikultura Kabupaten Kerinci,Pemerintah,3,1,Tanaman Sayuran,Tanaman Sayuran,2021,2024,Pelepasan Varietas Tanaman
Agricultural Research and Development limited Liability Company,perorangan/lainnya,3,1,Tanaman Buah,Tanaman Buah,2022,2023,Perlindungan Varietas Tanaman
Universitas Muhammadiyah Purwokerto,Perguruan tinggi,3,1,Tanaman Perkebunan,Tanaman Perkebunan,2022,2023,Pendaftaran Varietas Tanaman
Pemerintah Provinsi Kepulauan Bangka Belitung,Pemerintah,3,1,Tanaman Buah,Tanaman Buah;Tanaman Perkebunan,2019,2023,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Cilacap,Pemerintah,3,1,Tanaman Buah,Tanaman Buah,2021,2023,Pendaftaran Varietas Tanaman
PT Maxxi Agri Indonesia,PT,3,1,Tanaman Pangan,Tanaman Pangan,2023,2023,Pelepasan Varietas Tanaman
PT Dewa Danu Group,PT,3,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Buah,2023,2023,Pelepasan Varietas Tanaman
"Pusat Riset Konservasi Tumbuhan dan Kebun Raya, BRIN",Lembaga riset,3,1,Tanaman Flori,Tanaman Flori,2021,2022,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Belitung Timur,Pemerintah,3,1,Tanaman Perkebunan,Tanaman Perkebunan,2021,2022,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Kotawaringin Barat,Pemerintah,3,1,Tanaman Buah,Tanaman Buah;Tanaman Pangan,2013,2022,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Parigi Moutong,Pemerintah,3,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Pangan,2021,2022,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Tapanuli Tengah,Pemerintah,3,1,Tanaman Buah,Tanaman Buah,2022,2022,Pendaftaran Varietas Tanaman
UD Saraswati,UD,3,1,Tanaman Sayuran,Tanaman Sayuran,2021,2022,Pelepasan Varietas Tanaman
CV Benih Sayur Mandiri,CV,3,1,Tanaman Sayuran,Tanaman Sayuran,2022,2022,Pelepasan Varietas Tanaman
"Pusat Penelitian Sumberdaya Hayati dan Bioteknologi, IPB",Lembaga riset,3,1,Tanaman Sayuran,Tanaman Sayuran,2018,2021,Perlindungan Varietas Tanaman
Pemerintah Kabupaten Mamuju,Pemerintah,3,1,Tanaman Buah,Tanaman Buah;Tanaman Perkebunan,2018,2021,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Lampung Selatan,Pemerintah,3,1,Tanaman Buah,Tanaman Buah;Tanaman Perkebunan,2013,2021,Pendaftaran Varietas Tanaman
BB Padi dan Konsorsium ,Pemerintah,3,1,Tanaman Pangan,Tanaman Pangan,2021,2021,Pelepasan Varietas Tanaman
PT Zaini Makmur Sentosa,PT,3,1,Tanaman Pangan,Tanaman Pangan,2021,2021,Pelepasan Varietas Tanaman
PT Tunas Widji Inti Nayottama,PT,3,1,Tanaman Pangan,Tanaman Pangan,2021,2021,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Timor Tengah Utara,Pemerintah,3,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Pangan,2020,2020,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Manggarai,Pemerintah,3,1,Tanaman Buah,Tanaman Buah;Tanaman Pangan,2019,2020,Pendaftaran Varietas Tanaman
Pemerintah Kota Bogor,Pemerintah,3,1,Tanaman Buah,Tanaman Buah;Tanaman Biofarmaka,2020,2020,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Bulukumba,Pemerintah,3,1,Tanaman Pangan,Tanaman Pangan,2017,2020,Pendaftaran Varietas Tanaman
PT Nusantara  Pertanian Indonesia,PT,3,1,Tanaman Pangan,Tanaman Pangan,2020,2020,Pelepasan Varietas Tanaman
Seed Asia Co. Ltd,perorangan/lainnya,3,1,Tanaman Pangan,Tanaman Pangan,2019,2019,Perlindungan Varietas Tanaman
Koperasi Agrobisnis Taruma Nusantara,Koperasi,3,1,Tanaman Perkebunan,Tanaman Perkebunan,2019,2019,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Sumbawa Barat,Pemerintah,3,1,Tanaman Buah,Tanaman Buah;Tanaman Pangan,2008,2019,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Nagekeo,Pemerintah,3,1,Tanaman Pangan,Tanaman Pangan;Tanaman Perkebunan,2016,2019,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Mandailing Natal,Pemerintah,3,1,Tanaman Pangan,Tanaman Pangan;Tanaman Buah,2012,2019,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Halmahera Tengah,Pemerintah,3,1,Tanaman Pangan,Tanaman Pangan;Tanaman Perkebunan,2017,2019,Pendaftaran Varietas Tanaman
"BB Biogen, Balitbangtan",Pemerintah,3,1,Tanaman Pangan,Tanaman Pangan,2019,2019,Pelepasan Varietas Tanaman
PT Perkebunan Nusantara X dan Balai Besar Perbenihan dan Proteksi Tanaman Perkebunan Surabaya,PT,3,1,Tanaman Perkebunan,Tanaman Perkebunan,2019,2019,Pelepasan Varietas Tanaman
PT Agro Lumintu Sejahtera,PT,3,1,Tanaman Sayuran,Tanaman Sayuran,2019,2019,Pelepasan Varietas Tanaman
"Pusat Penelitian Gula, PTPN X",Lembaga riset,3,1,Tanaman Perkebunan,Tanaman Perkebunan,2018,2018,Pendaftaran Varietas Tanaman
"Pusat Penelitian Biologi, LIPI",Lembaga riset,3,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Buah,2012,2018,Pendaftaran Varietas Tanaman
Dinas Pertanian Kabupaten Bandung,Pemerintah,3,1,Tanaman Perkebunan,Tanaman Perkebunan,2018,2018,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Boalemo,Pemerintah,3,1,Tanaman Pangan,Tanaman Pangan,2018,2018,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Ogan Ilir,Pemerintah,3,1,Tanaman Buah,Tanaman Buah,2007,2018,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Karimun,Pemerintah,3,1,Tanaman Buah,Tanaman Buah,2018,2018,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Simalungun,Pemerintah,3,1,Tanaman Buah,Tanaman Buah,2012,2018,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Tasikmalaya,Pemerintah,3,1,Tanaman Buah,Tanaman Buah,2008,2018,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Ogan Komering Ulu,Pemerintah,3,1,Tanaman Buah,Tanaman Buah;Tanaman Pangan,2012,2018,Pendaftaran Varietas Tanaman
"Balai Besar Penelitian Tanaman Padi, dan Dinas Tanaman Pangan dan  Hortikultura Prov. Jabar",Pemerintah,3,1,Tanaman Pangan,Tanaman Pangan,2018,2018,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Landak,Pemerintah,3,1,Tanaman Pangan,Tanaman Pangan,2017,2017,Pendaftaran Varietas Tanaman
"Pemerintah Kabupaten Pelalawan, BPTP Riau",Pemerintah,3,1,Tanaman Pangan,Tanaman Pangan,2017,2017,Pelepasan Varietas Tanaman
Balai Penelitian Tanaman Pemanis dan Serat dan Pemerintah Kabupaten Temanggung,Pemerintah,3,1,Tanaman Perkebunan,Tanaman Perkebunan,2017,2017,Pelepasan Varietas Tanaman
LPPM IPB,Perguruan tinggi,3,1,Tanaman Sayuran,Tanaman Sayuran,2016,2016,Pendaftaran Varietas Tanaman
Dinas Pertanian Kabupaten Tasikmalaya,Pemerintah,3,1,Tanaman Buah,Tanaman Buah,2007,2016,Pelepasan Varietas Tanaman
PT PG Gorontalo,PT,3,1,Tanaman Perkebunan,Tanaman Perkebunan,2015,2015,Pelepasan Varietas Tanaman
Pemerintah Provinsi Sulawesi Tengah,Pemerintah,3,2,Tanaman Sayuran,Tanaman Sayuran;Tanaman Pangan;Tanaman Perkebunan,1984,2015,Pendaftaran Varietas Tanaman
Nuziveedu Seed Limited dan PT Agro Lumintu Sejahtera,perorangan/lainnya,3,1,Tanaman Pangan,Tanaman Pangan,2015,2015,Pelepasan Varietas Tanaman
BB. Penelitian Tanaman Padi,Pemerintah,3,1,Tanaman Pangan,Tanaman Pangan,2013,2014,Perlindungan Varietas Tanaman
Dr. Aser Yalindua,perorangan/lainnya,3,1,Tanaman Pangan,Tanaman Pangan,2014,2014,Pendaftaran Varietas Tanaman
"Balitsereal, Badan Litbang Kementan dan konsorsium Gandum Nasional",Pemerintah,3,1,Tanaman Pangan,Tanaman Pangan,2014,2014,Pelepasan Varietas Tanaman
"Balitkabi, dan Balitbangtan",Pemerintah,3,1,Tanaman Pangan,Tanaman Pangan,2014,2014,Pelepasan Varietas Tanaman
PTAgri Makmur Pertiwi,perorangan/lainnya,3,1,Tanaman Sayuran,Tanaman Sayuran,2013,2013,Perlindungan Varietas Tanaman
PTSocfin Indonesia ,perorangan/lainnya,3,1,Tanaman Perkebunan,Tanaman Perkebunan,2004,2013,Pelepasan Varietas Tanaman
"Konsorsium Penelitian Padi Nasional dan BB Padi, Badanlitbang",Pemerintah,3,1,Tanaman Pangan,Tanaman Pangan,2013,2013,Pelepasan Varietas Tanaman
"Dinas Tanaman Pangan dan Hortikultura, Kabupaten Gunungkidul",Pemerintah,3,1,Tanaman Buah,Tanaman Buah,2007,2013,Pelepasan Varietas Tanaman
"BB Padi dan Pemerintah Kabupaten Bantul, DIY",Pemerintah,3,1,Tanaman Pangan,Tanaman Pangan,2012,2012,Pelepasan Varietas Tanaman
PT Nusantara Surya Benih dan PT Pertani,PT,3,1,Tanaman Pangan,Tanaman Pangan,2012,2012,Pelepasan Varietas Tanaman
Pemerintah prov. Sulawesi selatan,Pemerintah,3,1,Tanaman Perkebunan,Tanaman Perkebunan,2008,2012,Pelepasan Varietas Tanaman
PT Multiagro Pangan Lestari,PT,3,1,Tanaman Pangan,Tanaman Pangan,2012,2012,Pelepasan Varietas Tanaman
BPTP Jatim,Pemerintah,3,1,Tanaman Pangan,Tanaman Pangan,2011,2011,Pendaftaran Varietas Tanaman
BB Padi dan Diperta Jatim,Pemerintah,3,1,Tanaman Pangan,Tanaman Pangan,2011,2011,Pelepasan Varietas Tanaman
"BB Padi dan 
PT Saprotan Benih Utama",Pemerintah,3,1,Tanaman Pangan,Tanaman Pangan,2011,2011,Pelepasan Varietas Tanaman
PT Longpng High-Tech Indonesia ,PT,3,1,Tanaman Pangan,Tanaman Pangan,2011,2011,Pelepasan Varietas Tanaman
BB Padi dan Diperta TP Provinsi Jawa Barat,Pemerintah,3,1,Tanaman Pangan,Tanaman Pangan,2011,2011,Pelepasan Varietas Tanaman
Balai Penelitian Tanaman Serealia dan PT Tossa Agro,Pemerintah,3,1,Tanaman Pangan,Tanaman Pangan,2010,2010,Pelepasan Varietas Tanaman
"Pemerintah Kabupaten Pati, Jawa tengah",Pemerintah,3,1,Tanaman Perkebunan,Tanaman Perkebunan,2010,2010,Pelepasan Varietas Tanaman
"Pemerintah Provinsi Gorontalo, BBPPTP Surabaya dan P3GI Pasuruan",Pemerintah,3,1,Tanaman Perkebunan,Tanaman Perkebunan,2007,2010,Pelepasan Varietas Tanaman
Antonius Sutanto,perorangan/lainnya,3,1,Tanaman Flori,Tanaman Flori,2009,2009,Pendaftaran Varietas Tanaman
Dhaanya Seeds Private Limited,perorangan/lainnya,3,1,Tanaman Pangan,Tanaman Pangan,2009,2009,Pelepasan Varietas Tanaman
"BPTP Jatim, Diperta Kab. Sumenep",Pemerintah,3,1,Tanaman Pangan,Tanaman Pangan,2009,2009,Pelepasan Varietas Tanaman
PT SHS dan Balai Besar Padi Sukamandi,PT,3,1,Tanaman Pangan,Tanaman Pangan,2009,2009,Pelepasan Varietas Tanaman
BB. Penelitian Tan Padi Loka Penelitian Tanaman Tugro Lanrang dan BPTP Sulawesi Selatan,Pemerintah,3,1,Tanaman Pangan,Tanaman Pangan,2009,2009,Pelepasan Varietas Tanaman
"Dinas Tanaman Pangan, Hortikultura dan Peternakan Provinsi Jambi",Pemerintah,3,1,Tanaman Buah,Tanaman Buah,2007,2009,Pelepasan Varietas Tanaman
Dinas Pertanian PTH dan UPSB TPH Kalimantan Barat,Pemerintah,3,1,Tanaman Buah,Tanaman Buah,2009,2009,Pelepasan Varietas Tanaman
PT Mitra Kreasidharma dan Shriram Bioseed Inc,PT,3,1,Tanaman Pangan,Tanaman Pangan,2008,2008,Pelepasan Varietas Tanaman
PT CITRA NUSANTARA MANDIRI,PT,3,1,Tanaman Pangan,Tanaman Pangan,2006,2007,Pelepasan Varietas Tanaman
"Emy Sulistyowati, Basrul Gandong dan Donatus",perorangan/lainnya,3,1,Tanaman Perkebunan,Tanaman Perkebunan,2007,2007,Pelepasan Varietas Tanaman
"PTTania Selatan, Sumatera Selatan ",perorangan/lainnya,3,1,Tanaman Perkebunan,Tanaman Perkebunan,2005,2005,Pelepasan Varietas Tanaman
Balittas & PT Philip Morris Indonesia ,Pemerintah,3,1,Tanaman Perkebunan,Tanaman Perkebunan,2004,2004,Pelepasan Varietas Tanaman
Balitas Malang & PT Sadhana Arifnusa,Pemerintah,3,1,Tanaman Perkebunan,Tanaman Perkebunan,2004,2004,Pelepasan Varietas Tanaman
"Mirzawan P.D.N, Soedjono Darmodjo, Soejoto Sastrowijoyo, Gunawan Sukarso, Soeprajitno Lamadji, dan Eka Sugiyarna",perorangan/lainnya,3,2,Tanaman Perkebunan,Tanaman Perkebunan,1991,1991,Pelepasan Varietas Tanaman
"Soejoto Sastrowijoyo, Gunawan Sukarso, Mirzawan P.D.N, Soeprajitno Lamadji",perorangan/lainnya,3,1,Tanaman Perkebunan,Tanaman Perkebunan,1985,1985,Pelepasan Varietas Tanaman
PT Kentang Hollando Sejahtera,PT,2,2,Hortikultura,Hortikultura;Tanaman Sayuran,2022,2026,Persetujuan Penamaan Varietas Tanaman (Introduksi)
Pemerinta Daerah Kabupaten Hulu Sungai Utara,Pemerintah,2,1,Hortikultura,Hortikultura,2026,2026,Pendaftaran Varietas Lokal
Pemerintah Daerah Kabupaten Jayapura,Pemerintah,2,1,Tanaman Pangan,Tanaman Pangan,2026,2026,Pendaftaran Varietas Lokal
PUSAT KAJIAN HORTIKULTURA TROPIKA,perorangan/lainnya,2,1,Hortikultura,Hortikultura,2026,2026,Pendaftaran Varietas Hasil Pemuliaan
Pemerintah Daerah Kabupaten Enrekang,Pemerintah,2,1,Tanaman Pangan,Tanaman Pangan,2026,2026,Pendaftaran Varietas Lokal
Pemerintah Daerah Kabupaten Pacitan,Pemerintah,2,1,Tanaman Pangan,Tanaman Pangan,2026,2026,Pendaftaran Varietas Lokal
UD INTAN SI,UD,2,1,Hortikultura,Hortikultura,2026,2026,Pendaftaran Varietas Hasil Pemuliaan
Pemerintah Daerah Kabupaten Magetan,Pemerintah,2,1,Hortikultura,Hortikultura,2026,2026,Pendaftaran Varietas Lokal
PEMERINTAH DAERAH KABUPATEN KUNINGAN,Pemerintah,2,1,Perkebunan,Perkebunan,2026,2026,Pendaftaran Varietas Lokal
BENIH BINTANG MULIA,perorangan/lainnya,2,1,Hortikultura,Hortikultura,2026,2026,Pendaftaran Varietas Hasil Pemuliaan
Pemerintah Daerah Kabupaten Humbang Hasundutan,Pemerintah,2,1,Perkebunan,Perkebunan;Hortikultura,2026,2026,Pendaftaran Varietas Lokal
Dinas Perkebunan dan Peternakan Kabupaten Lampung Barat,Pemerintah,2,1,Perkebunan,Perkebunan,2026,2026,Pendaftaran Varietas Lokal
Pemerintah Daerah Kabupaten Temanggung,Pemerintah,2,1,Perkebunan,Perkebunan,2026,2026,Pendaftaran Varietas Hasil Pemuliaan
PT Riset Perkebunan Nusantara-Pusat Penelitian Kelapa Sawit (PPKS) ,PT,2,1,Tanaman Perkebunan,Tanaman Perkebunan,,,Pelepasan Varietas Tanaman
"1. Badan Perakitan dan ModernisasiPertanian (BRMP) 2. Pemerintah Kabupaten Situbondo, Provinsi Jawa Timur",Pemerintah,2,1,Tanaman Pangan,Tanaman Pangan,2025,2025,Perlindungan Varietas Tanaman
CV Reinnon Agro Karya,CV,2,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Buah,2025,2025,Pelepasan Varietas Tanaman
PT Timur Benih Indonesia,PT,2,1,Tanaman Buah,Tanaman Buah,2025,2025,Pelepasan Varietas Tanaman
PT Benih Putra Nusantara,PT,2,1,Tanaman Pangan,Tanaman Pangan,2025,2025,Pelepasan Varietas Tanaman
PT Tunas A.P,PT,2,1,Tanaman Sayuran,Tanaman Sayuran,2025,2025,Pelepasan Varietas Tanaman
PT Gula Putih Mataram,PT,2,1,Tanaman Perkebunan,Tanaman Perkebunan,2025,2025,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Seruyan,Pemerintah,2,1,Tanaman Pangan,Tanaman Pangan,2025,2025,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Madiun,Pemerintah,2,1,Tanaman Buah,Tanaman Buah;Tanaman Pangan,2020,2025,Pendaftaran Varietas Tanaman
PT Socfin Indonesia,PT,2,1,Tanaman Perkebunan,Tanaman Perkebunan,2025,2025,Pendaftaran Varietas Tanaman
"Pemerintah Kabupaten Jayapura, Prov. Papua",Pemerintah,2,1,Tanaman Perkebunan,Tanaman Perkebunan,2025,2025,Pelepasan Varietas Tanaman
Dinas Tanaman Pangan Hortikultura dan Peternakan Kabupaten Muara Enim dan BRIN,Pemerintah,2,1,Tanaman Pangan,Tanaman Pangan,2025,2025,Pelepasan Varietas Tanaman
PT Well Indonesia Duta Agriculture,PT,2,1,Tanaman Pangan,Tanaman Pangan,2025,2025,Pelepasan Varietas Tanaman
Dinas Ketahanan Pangan dan Pertanian Kabupaten Lumajang dan BRIN.,Pemerintah,2,1,Tanaman Pangan,Tanaman Pangan,2025,2025,Pelepasan Varietas Tanaman
Dinas Ketahanan Pangan dan Pertanian Kab. Bandung Barat,Pemerintah,2,1,Tanaman Buah,Tanaman Buah,2022,2025,Pelepasan Varietas Tanaman
"Dr. Kartika Ning Tyas, M.Si.",perorangan/lainnya,2,1,Tanaman Flori,Tanaman Flori,2022,2024,Pendaftaran Varietas Tanaman
BISIP dan Kab Situbondo,perorangan/lainnya,2,1,Tanaman Pangan,Tanaman Pangan,2024,2024,Pendaftaran Varietas Tanaman
UPN Veteran Yogyakarta,perorangan/lainnya,2,1,Tanaman Buah,Tanaman Buah,2024,2024,Pendaftaran Varietas Tanaman
CV Awino Pratama,CV,2,1,Tanaman Pangan,Tanaman Pangan,2024,2024,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Temanggung & Balai Pengujian Standar Instrumen Tanaman Pemanis & Serat,Pemerintah,2,1,Tanaman Perkebunan,Tanaman Perkebunan,2024,2024,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Labuhanbatu,Pemerintah,2,1,Tanaman Perkebunan,Tanaman Perkebunan,2023,2024,Pelepasan Varietas Tanaman
"Dinas Pertanian Tanaman Pangan dan Hortikultura Kabupaten Kampar, Balai Penerapan Standardisasi Instrumen Pertanian Riau, dan Badan Riset dan Inovasi Nasional.",Pemerintah,2,1,Tanaman Pangan,Tanaman Pangan,2024,2024,Pelepasan Varietas Tanaman
"Fakultas Pertanian, Universitas Muslim Indonesia",Perguruan tinggi,2,1,Tanaman Pangan,Tanaman Pangan,2024,2024,Pelepasan Varietas Tanaman
PT Mitra Dhika Perkasa,PT,2,1,Tanaman Pangan,Tanaman Pangan,2024,2024,Pelepasan Varietas Tanaman
"Pusat Riset Tanaman Perkebunan (PRP) - Organisasi Riset Pertanian dan Pangan (ORPP), BRIN",Lembaga riset,2,1,Tanaman Perkebunan,Tanaman Perkebunan,2024,2024,Pelepasan Varietas Tanaman
PT Tri Berkat Agro,PT,2,1,Tanaman Sayuran,Tanaman Sayuran,2023,2024,Pelepasan Varietas Tanaman
CV Jagad Lintang Samudra,CV,2,1,Tanaman Sayuran,Tanaman Sayuran,2024,2024,Pelepasan Varietas Tanaman
Dinas Pertanian dan Perkebunan Kabupaten Pandeglan,Pemerintah,2,1,Tanaman Buah,Tanaman Buah,2014,2024,Pelepasan Varietas Tanaman
CV Bali Gemitir Group,CV,2,1,Tanaman Flori,Tanaman Flori,2024,2024,Pelepasan Varietas Tanaman
Dinas Pertanian Kabupaten Banyumas,Pemerintah,2,1,Tanaman Buah,Tanaman Buah,2015,2024,Pelepasan Varietas Tanaman
Dinas Pertanian TPH Kabupaten Tapin,Pemerintah,2,1,Tanaman Obat,Tanaman Obat;Tanaman Sayuran,2016,2024,Pelepasan Varietas Tanaman
Mountain Blue Orchards Pty Ltd,perorangan/lainnya,2,1,Tanaman Buah,Tanaman Buah,2023,2023,Perlindungan Varietas Tanaman
Pemerintah Kabupaten Sijunjung/BATAN,Pemerintah,2,1,Tanaman Pangan,Tanaman Pangan,2023,2023,Perlindungan Varietas Tanaman
Hokuto Corporation,perorangan/lainnya,2,1,Tanaman Sayuran,Tanaman Sayuran,2021,2023,Perlindungan Varietas Tanaman
Pemerintah Kota Yogyakarta,Pemerintah,2,1,Tanaman Buah,Tanaman Buah,2023,2023,Pendaftaran Varietas Tanaman
Pemerintah Kota Malang,Pemerintah,2,1,Tanaman Flori,Tanaman Flori,2023,2023,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Dharmasraya,Pemerintah,2,1,Tanaman Buah,Tanaman Buah,2014,2023,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Langkat,Pemerintah,2,1,Tanaman Perkebunan,Tanaman Perkebunan,2022,2023,Pelepasan Varietas Tanaman
BB padi dan Pemerintah Kabupaten Situbondo Jatim,Pemerintah,2,1,Tanaman Pangan,Tanaman Pangan,2023,2023,Pelepasan Varietas Tanaman
PT Clarexindo Makmur Sejahtera,PT,2,1,Tanaman Sayuran,Tanaman Sayuran,2017,2023,Pelepasan Varietas Tanaman
Dinas Pertanian Kab. MalukuTengah/Pemerintah Kabupaten Maluku Tengah,Pemerintah,2,1,Tanaman Buah,Tanaman Buah,2009,2023,Pelepasan Varietas Tanaman
Dinas Pertanian Kabupaten Sukabumi,Pemerintah,2,1,Tanaman Flori,Tanaman Flori;Tanaman Buah,2009,2023,Pelepasan Varietas Tanaman
Dinas Ketahanan Pangan dan Pertanian Kabupaten Kubu Raya,Pemerintah,2,1,Tanaman Obat,Tanaman Obat;Tanaman Buah,2009,2023,Pelepasan Varietas Tanaman
MASIA CISCAR S.A.,perorangan/lainnya,2,1,Tanaman Buah,Tanaman Buah,2022,2022,Perlindungan Varietas Tanaman
The Board of Trustees of the University of Arkansas,perorangan/lainnya,2,1,Tanaman Buah,Tanaman Buah,2022,2022,Perlindungan Varietas Tanaman
"OR BATAN, BRIN",Lembaga riset,2,1,Tanaman Pangan,Tanaman Pangan,2022,2022,Pendaftaran Varietas Tanaman
IPR BV,perorangan/lainnya,2,1,Tanaman Sayuran,Tanaman Sayuran,2021,2022,Perlindungan Varietas Tanaman
Bioseed Holdings Pte.Ltd,perorangan/lainnya,2,1,Tanaman Pangan,Tanaman Pangan,2022,2022,Perlindungan Varietas Tanaman
Pemerintah Kabupaten Klaten dan BRIN,Pemerintah,2,1,Tanaman Pangan,Tanaman Pangan,2022,2022,Perlindungan Varietas Tanaman
