nama_varietas,komoditas,jenis_tanaman,pemohon,pemohon_kanonik,asal,tahun,jenis_perizinan,no_sk,tgl_sk
Gentong,Tanaman Sayuran,Melinjo,,,,1992,Pelepasan Varietas Tanaman,645/Kpts/TP.240/11/1992,
Ketan,Tanaman Sayuran,Melinjo,,,,1992,Pelepasan Varietas Tanaman,644/Kpts/TP.240/11/1992,
Mulieng Padee,Tanaman Sayuran,Melinjo,,,,1992,Pelepasan Varietas Tanaman,576/Kpts/TP.240/11/1992,
Mulieng Gajah,Tanaman Sayuran,Melinjo,,,,1992,Pelepasan Varietas Tanaman,575/Kpts/TP.240/11/1992,
Wolanggi,Tanaman Buah,Langsat,,,,1992,Pelepasan Varietas Tanaman,651/Kpts/TP.240/11/1992,
Tembaga,Tanaman Buah,Durian,,,,1992,Pelepasan Varietas Tanaman,649/Kpts/TP.240/II/1992,
Tamalatea,Tanaman Buah,Durian,,,,1992,Pelepasan Varietas Tanaman,648/Kpts/TP.240/II/1992,
Sawerigading,Tanaman Buah,Durian,,,,1992,Pelepasan Varietas Tanaman,646/Kpts/TP.240/II/1992,
Lalong,Tanaman Buah,Durian,,,,1992,Pelepasan Varietas Tanaman,647/Kpts/TP.240/II/1992,
KT -5,Tanaman Sayuran,Kacang Tunggak,,,,1992,Pelepasan Varietas Tanaman,626/Kpts/TP.240/11/1992,
KT -4,Tanaman Sayuran,Kacang Tunggak,,,,1992,Pelepasan Varietas Tanaman,625/Kpts/TP.240/11/1992,
Sangkur,Tanaman Pangan,Sorgum,Balai Penelitian Jagung dan Serealia Lain,Balai Penelitian Jagung dan Serealia Lain,Introduksi,1991,Pelepasan Varietas Tanaman, ,
Mandau,Tanaman Pangan,Sorgum,Balai Penelitian Jagung dan Serealia Lain,Balai Penelitian Jagung dan Serealia Lain,Introduksi,1991,Pelepasan Varietas Tanaman, ,
Kalasan,Tanaman Pangan,Ubi Jalar,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Introduksi,1991,Pelepasan Varietas Tanaman, ,
Jayawijaya,Tanaman Pangan,Kedelai,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,,1991,Pelepasan Varietas Tanaman,,
Tengger,Tanaman Pangan,Kedelai,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Dalam Negeri,1991,Pelepasan Varietas Tanaman,,
Lawu,Tanaman Pangan,Kedelai,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,,1991,Pelepasan Varietas Tanaman,,
Biawak,Tanaman Pangan,Kacang Tanah,PAIR - BATAN,PAIR - BATAN,Introduksi,1991,Pelepasan Varietas Tanaman,,
Komodo,Tanaman Pangan,Kacang Tanah,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Introduksi,1991,Pelepasan Varietas Tanaman,,
Mahesa,Tanaman Pangan,Kacang Tanah,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,,1991,Pelepasan Varietas Tanaman,,
Merpati,Tanaman Pangan,Kacang Hijau,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,,1991,Pelepasan Varietas Tanaman,,
Camar,Tanaman Pangan,Kacang Hijau,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,,1991,Pelepasan Varietas Tanaman,,
Bayu,Tanaman Pangan,Jagung,Balai Penelitian Jagung dan Serealia Lain,Balai Penelitian Jagung dan Serealia Lain,Lokal,1991,Pelepasan Varietas Tanaman, ,
IR-74,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1991,Pelepasan Varietas Tanaman, ,
Cenranae,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1991,Pelepasan Varietas Tanaman, ,
Danau Tempe,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1991,Pelepasan Varietas Tanaman, ,
Seililin,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1991,Pelepasan Varietas Tanaman, ,
Lematang,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1991,Pelepasan Varietas Tanaman, ,
Lariang,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1991,Pelepasan Varietas Tanaman, ,
Atomita-4,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1991,Pelepasan Varietas Tanaman, ,
Barumun,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1991,Pelepasan Varietas Tanaman, ,
PS 81-283,Tanaman Perkebunan,Tebu,"Soejoto Sastrowijoyo, Soedjono Darmodjo, Gunawan Sukarso, Eka Sugiyarna, Mirzawan P.D.N,  Soeprajitno Lamadji.","Soejoto Sastrowijoyo, Soedjono Darmodjo, Gunawan Sukarso, Eka Sugiyarna, Mirzawan P.D.N,  Soeprajitno Lamadji.",Dalam Negeri,1991,Pelepasan Varietas Tanaman,777/Kpts/TP.240/11/91,
PS 82-4640,Tanaman Perkebunan,Tebu,"Eka Sugiyarna, Soedjono Darmodjo, Soejoto Sastrowijoyo, Gunawan Sukarso, Mirzawan P.D.N,  Soeprajitno Lamadji.","Eka Sugiyarna, Soedjono Darmodjo, Soejoto Sastrowijoyo, Gunawan Sukarso, Mirzawan P.D.N,  Soeprajitno Lamadji.",Dalam Negeri,1991,Pelepasan Varietas Tanaman,775/Kpts/TP.240/11/91,
PS 82-3208,Tanaman Perkebunan,Tebu,"Mirzawan P.D.N, Soedjono Darmodjo,  Soejoto Sastrowijoyo, Gunawan Sukarso,Soeprajitno Lamadji dan Eka Sugiyarna. ","Mirzawan P.D.N, Soedjono Darmodjo, Soejoto Sastrowijoyo, Gunawan Sukarso, Soeprajitno Lamadji, dan Eka Sugiyarna",Dalam Negeri,1991,Pelepasan Varietas Tanaman,774/Kpts/TP.240/11/91,
PS 82-3133,Tanaman Perkebunan,Tebu,"Mirzawan P.D.N, Soedjono Darmodjo,  Soejoto Sastrowijoyo, Gunawan Sukarso,Soeprajitno Lamadji dan Eka Sugiyarna. ","Mirzawan P.D.N, Soedjono Darmodjo, Soejoto Sastrowijoyo, Gunawan Sukarso, Soeprajitno Lamadji, dan Eka Sugiyarna",Dalam Negeri,1991,Pelepasan Varietas Tanaman,773/Kpts/TP.240/11/91,
PS 82-2670,Tanaman Perkebunan,Tebu,"Gunawan Sukarso, Soedjono Darmodjo, Soejoto Sastrowijoyo, Mirzawan P.D.N, Soeprajitno Lamadji dan Eka Sugiyarna. ","Gunawan Sukarso, Soedjono Darmodjo, Soejoto Sastrowijoyo, Mirzawan P.D.N, Soeprajitno Lamadji, dan Eka Sugiyarna",Dalam Negeri,1991,Pelepasan Varietas Tanaman,772/Kpts/TP.240/11/91,
PS 82-2591,Tanaman Perkebunan,Tebu,"Gunawan Sukarso, Soedjono Darmodjo, Soejoto Sastrowijoyo, Mirzawan P.D.N, Soeprajitno Lamadji dan Eka Sugiyarna. ","Gunawan Sukarso, Soedjono Darmodjo, Soejoto Sastrowijoyo, Mirzawan P.D.N, Soeprajitno Lamadji, dan Eka Sugiyarna",Dalam Negeri,1991,Pelepasan Varietas Tanaman,771/Kpts/TP.240/11/91,
PS 82-831,Tanaman Perkebunan,Tebu,"Soejoto Sastrowijoyo, Soedjono Darmodjo,  Mirzawan P.D.N, Soeprajitno Lamadji dan Eka Sugiyarna. ","Soejoto Sastrowijoyo, Soedjono Darmodjo,  Mirzawan P.D.N, Soeprajitno Lamadji dan Eka Sugiyarna. ",Dalam Negeri,1991,Pelepasan Varietas Tanaman,770/Kpts/TP.240/11/91,
PS 82-424,Tanaman Perkebunan,Tebu,"Soejoto Sastrowijoyo, Soedjono Darmodjo, Gunawan Sukarso,  Mirzawan P.D.N, Soeprajitno Lamadji dan Eka Sugiyarna. ","Soejoto Sastrowijoyo, Soedjono Darmodjo, Gunawan Sukarso, Mirzawan P.D.N, Soeprajitno Lamadji, dan Eka Sugiyarna",Dalam Negeri,1991,Pelepasan Varietas Tanaman,769/Kpts/TP.240/11/91,
PS 81-5132,Tanaman Perkebunan,Tebu,"Eka Sugiyarna, Soedjono Darmodjo, Soejoto Sastrowijoyo, Mirzawan P.D.N,  Gunawan Sukarso, Soeprajitno Lamadji. ","Eka Sugiyarna, Soedjono Darmodjo, Soejoto Sastrowijoyo, Mirzawan P.D.N,  Gunawan Sukarso, Soeprajitno Lamadji. ",Dalam Negeri,1991,Pelepasan Varietas Tanaman,767/Kpts/TP.240/11/91,
PS 81-1321,Tanaman Perkebunan,Tebu,"Mirzawan P.D.N, Soedjono Darmodjo, Soejoto Sastrowijoyo, Gunawan Sukarso, Soeprajitno Lamadji, dan Eka Sugiyarna","Mirzawan P.D.N, Soedjono Darmodjo, Soejoto Sastrowijoyo, Gunawan Sukarso, Soeprajitno Lamadji, dan Eka Sugiyarna",Dalam Negeri,1991,Pelepasan Varietas Tanaman,766/Kpts/TP.240/11/91,
PS 81-655,Tanaman Perkebunan,Tebu,"Gunawan Sukarso, Soedjono Darmodjo, Soejoto Sastrowijoyo, Mirzawan P.D.N, Soeprajitno Lamadji, dan Eka Sugiyarna","Gunawan Sukarso, Soedjono Darmodjo, Soejoto Sastrowijoyo, Mirzawan P.D.N, Soeprajitno Lamadji, dan Eka Sugiyarna",Dalam Negeri,1991,Pelepasan Varietas Tanaman,765/Kpts/TP.240/11/91,
PS 81-640,Tanaman Perkebunan,Tebu,"Gunawan Sukarso, Soedjono Darmodjo, Soejoto Sastrowijoyo, Mirzawan P.D.N, Soeprajitno Lamadji, dan Eka Sugiyarna","Gunawan Sukarso, Soedjono Darmodjo, Soejoto Sastrowijoyo, Mirzawan P.D.N, Soeprajitno Lamadji, dan Eka Sugiyarna",Dalam Negeri,1991,Pelepasan Varietas Tanaman,764/Kpts/TP.240/11/91,
PS 81-573,Tanaman Perkebunan,Tebu,"Soejoto Sastrowijoyo, Soedjono Darmodjo, Gunawan Sukarso, Mirzawan P.D.N, Soeprajitno Lamadji, dan Eka Sugiyarna","Soejoto Sastrowijoyo, Soedjono Darmodjo, Gunawan Sukarso, Mirzawan P.D.N, Soeprajitno Lamadji, dan Eka Sugiyarna",Dalam Negeri,1991,Pelepasan Varietas Tanaman,763/Kpts/TP.240/11/91,
Swaru,Tanaman Buah,Salak,,,,1991,Pelepasan Varietas Tanaman,120/Kpts/TP.240/3/1991,
Kunir,Tanaman Buah,Nangka,,,,1991,Pelepasan Varietas Tanaman,121/Kpts/TP.240/3/1991,
KT -3,Tanaman Sayuran,Kacang Tunggak,,,,1991,Pelepasan Varietas Tanaman,118/Kpts/TP.240/3/1991,
KT -2,Tanaman Sayuran,Kacang Tunggak,,,,1991,Pelepasan Varietas Tanaman,117/Kpts/TP.240/3/1991,
Usus Hijau,Tanaman Sayuran,Kacang Panjang,,,,1991,Pelepasan Varietas Tanaman,119/Kpts/TP.240/3/1991,
Kanesia 1,Tanaman Perkebunan,Kapas,"Hasnam, Siwi Sumarini, Emy Sulistyowati, IGAA Indrayani,Titiek Yulianti dan Rusim Mardjono ","Hasnam, Siwi Sumarini, Emy Sulistyowati, IGAA Indrayani,Titiek Yulianti dan Rusim Mardjono",Dalam Negeri,1990,Pelepasan Varietas Tanaman,585/KtpsTP.240/8/90,
Dieng,Tanaman Pangan,Kedelai,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,,1991,Pelepasan Varietas Tanaman,,
PS 79-176,Tanaman Perkebunan,Tebu,"Soejoto Sastrowijoyo, Gunawan Sukarso, Mirzawan P.D.N, Soeprajitno Lamadji, Soedjono Darmodjo, Soeprijanto, Eka Sugiyarna, Hermono Budisantoso","Soejoto Sastrowijoyo, Gunawan Sukarso, Mirzawan P.D.N, Soeprajitno Lamadji, Soedjono Darmodjo, Soeprijanto, Eka Sugiyarna, Hermono Budisantoso",Dalam Negeri,1990,Pelepasan Varietas Tanaman,595/Kpts/TP.240/8/1990,
PS 80-1649,Tanaman Perkebunan,Tebu,"Gunawan Sukarso, Soedjono Darmodjo, Soejoto Sastrowijoyo, Mirzawan P.D.N, Soeprajitno Lamadji, Soeprijanto, Eka Sugiyarna, Hermono Budisantoso","Gunawan Sukarso, Soedjono Darmodjo, Soejoto Sastrowijoyo, Mirzawan P.D.N, Soeprajitno Lamadji, Soeprijanto, Eka Sugiyarna, Hermono Budisantoso",Dalam Negeri,1990,Pelepasan Varietas Tanaman,609/Kpts/TP.240/8/1990,
LRA 5166,Tanaman Perkebunan,Kapas,"Hasnam, Siwi Sumarini, Emy Sulistyowati, IGAA Indrayani,Titiek Yulianti dan Rusim Mardjono ","Hasnam, Siwi Sumarini, Emy Sulistyowati, IGAA Indrayani,Titiek Yulianti dan Rusim Mardjono",Dalam Negeri,1990,Pelepasan Varietas Tanaman,583/Kpts/TP.240/8/90,
Kanesia 2,Tanaman Perkebunan,Kapas,"Hasnam, Siwi Sumarini, Emy Sulistyowati, IGAA Indrayani,Titiek Yulianti dan Rusim Mardjono","Hasnam, Siwi Sumarini, Emy Sulistyowati, IGAA Indrayani,Titiek Yulianti dan Rusim Mardjono",Dalam Negeri,1990,Pelepasan Varietas Tanaman,584/KtpsTP.240/8/90,
PS 78-2262,Tanaman Perkebunan,Tebu,"Soejoto Sastrowijoyo, Gunawan Sukarso, Mirzawan P.D.N, Soeprajitno Lamadji, Soedjono Darmodjo, Soeprijanto, Eka Sugiyarna, Hermono Budisantoso","Soejoto Sastrowijoyo, Gunawan Sukarso, Mirzawan P.D.N, Soeprajitno Lamadji, Soedjono Darmodjo, Soeprijanto, Eka Sugiyarna, Hermono Budisantoso",Dalam Negeri,1990,Pelepasan Varietas Tanaman,603/Kpts/TP.240/8/1990,
GMB 2,Tanaman Perkebunan,Teh,BPTK Gambung,BPTK Gambung,Dalam Negeri,1988,Pelepasan Varietas Tanaman,267/Kpts/KB.230/4/1988,
GMB 3,Tanaman Perkebunan,Teh,BPTK Gambung,BPTK Gambung,Dalam Negeri,1988,Pelepasan Varietas Tanaman,266/Kpts/KB.230/4/1988,
GMB 4,Tanaman Perkebunan,Teh,BPTK Gambung,BPTK Gambung,Dalam Negeri,1988,Pelepasan Varietas Tanaman,265/Kpts/KB.230/4/1988,
GMB 5,Tanaman Perkebunan,Teh,BPTK Gambung,BPTK Gambung,Dalam Negeri,1988,Pelepasan Varietas Tanaman,264/Kpts/KB.230/4/1988,
Natar 1,Tanaman Perkebunan,Lada,Balai Penelitian Tanaman Rempah dan Obat,Balai Penelitian Tanaman Rempah dan Obat,Dalam Negeri,1988,Pelepasan Varietas Tanaman,274/Kpts/KB.230/4/1988,
Natar 2,Tanaman Perkebunan,Lada,Balai Penelitian Tanaman Rempah dan Obat,Balai Penelitian Tanaman Rempah dan Obat,Dalam Negeri,1988,Pelepasan Varietas Tanaman,275/Kpts/KB.230/4/1988,
PS 78-302,Tanaman Perkebunan,Tebu,"Gunawan Sukarso, Soedjono Darmodjo, Soejoto Sastrowijoyo, Mirzawan P.D.N, Soeprajitno Lamadji, Soeprijanto, Eka Sugiyarna, Hermono Budisantoso","Gunawan Sukarso, Soedjono Darmodjo, Soejoto Sastrowijoyo, Mirzawan P.D.N, Soeprajitno Lamadji, Soeprijanto, Eka Sugiyarna, Hermono Budisantoso",Dalam Negeri,1990,Pelepasan Varietas Tanaman,604/Kpts/TP.240/8/1990,
Garuda,Tanaman Buah,Rambutan,,,,1990,Pelepasan Varietas Tanaman,593/Kpts/TP.240/8/1990,
Petaling 2,Tanaman Perkebunan,Lada,Balai Penelitian Tanaman Rempah dan Obat,Balai Penelitian Tanaman Rempah dan Obat,Dalam Negeri,1988,Pelepasan Varietas Tanaman,276/Kpts/KB.230/4/1988,
Petaling 1,Tanaman Perkebunan,Lada,Balai Penelitian Tanaman Rempah dan Obat,Balai Penelitian Tanaman Rempah dan Obat,Dalam Negeri,1988,Pelepasan Varietas Tanaman,277/Kpts/KB.230/4/1988,
Musi,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1988,Pelepasan Varietas Tanaman, ,
Batur,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1988,Pelepasan Varietas Tanaman, ,
Danau Atas,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1988,Pelepasan Varietas Tanaman, ,
Ciliwung,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1988,Pelepasan Varietas Tanaman, ,
Parkit,Tanaman Pangan,Kacang Hijau,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Dalam Negeri,1988,Pelepasan Varietas Tanaman,,
Tawangmangu Baru,Tanaman Sayuran,Bawang Putih,n/a (Era pelepasan - pengusul),n/a (Era pelepasan - pengusul),Dalam Negeri,1989,Pelepasan Varietas Tanaman,771/Kpts/TP.240/11/1989,
Walanai,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1989,Pelepasan Varietas Tanaman, ,
IR-72,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1989,Pelepasan Varietas Tanaman, ,
BATANg Sumani,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1989,Pelepasan Varietas Tanaman, ,
PS 77-1553,Tanaman Perkebunan,Tebu,"Gunawan Sukarso, Soedjono Darmodjo, Soejoto Sastrowijoyo, Mirzawan P.D.N, Soeprajitno Lamadji, Soeprijanto, Eka Sugiyarna, Hermono Budisantoso","Gunawan Sukarso, Soedjono Darmodjo, Soejoto Sastrowijoyo, Mirzawan P.D.N, Soeprajitno Lamadji, Soeprijanto, Eka Sugiyarna, Hermono Budisantoso",Dalam Negeri,1990,Pelepasan Varietas Tanaman,605/Kpts/TP.240/8/1990,
Segunung,Tanaman Sayuran,Kentang,,,,1987,Pelepasan Varietas Tanaman,13/Kpts/TP.240/1/1987,
Mutiara,Tanaman Sayuran,Tomat,,,,1987,Pelepasan Varietas Tanaman,14/Kpts/TP.240/1/1987,
Ijo Bundar,Tanaman Buah,Alpukat,,,,1987,Pelepasan Varietas Tanaman,15/Kpts/TP.240/1/1987,
Ijo Panjang,Tanaman Buah,Alpukat,,,,1987,Pelepasan Varietas Tanaman,16/Kpts/TP.240/1/1987,
Demak Kapur,Tanaman Buah,Belimbing,,,,1987,Pelepasan Varietas Tanaman,11/Kpts/TP.240/1/1987,
Demak Kunir,Tanaman Buah,Belimbing,,,,1987,Pelepasan Varietas Tanaman,12/Kpts/TP.240/1/1987,
Otong,Tanaman Buah,Durian,,,,1987,Pelepasan Varietas Tanaman,9/Kpts/TP.240/I/1987,
Kani,Tanaman Buah,Durian,,,,1987,Pelepasan Varietas Tanaman,10/Kpts/TP.240/I/1987,
Dodokan,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1987,Pelepasan Varietas Tanaman, ,
Jangkok,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1987,Pelepasan Varietas Tanaman, ,
Danau Bawah,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1987,Pelepasan Varietas Tanaman, ,
Kelinci,Tanaman Pangan,Kacang Tanah,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Introduksi,1987,Pelepasan Varietas Tanaman,,
Muria,Tanaman Pangan,Kedelai,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Dalam Negeri,1987,Pelepasan Varietas Tanaman,,
Tidar,Tanaman Pangan,Kedelai,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Dalam Negeri,1987,Pelepasan Varietas Tanaman,,
Lusi,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1989,Pelepasan Varietas Tanaman, ,
Way Seputih,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1989,Pelepasan Varietas Tanaman, ,
IR-70,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1989,Pelepasan Varietas Tanaman, ,
IR-66,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1989,Pelepasan Varietas Tanaman, ,
Laut Tawar,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1989,Pelepasan Varietas Tanaman, ,
Poso,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1989,Pelepasan Varietas Tanaman, ,
C-22,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1989,Pelepasan Varietas Tanaman, ,
Rama,Tanaman Pangan,Jagung,Balai Penelitian Jagung dan Serealia Lain,Balai Penelitian Jagung dan Serealia Lain,,1989,Pelepasan Varietas Tanaman, ,
Hibrida C-2,Tanaman Pangan,Jagung Hibrida,PT Monagro K.,PT Monagro K.,,1989,Pelepasan Varietas Tanaman, ,
Jepara,Tanaman Pangan,Kacang Tanah,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Lokal,1989,Pelepasan Varietas Tanaman,,
Landak,Tanaman Pangan,Kacang Tanah,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,,1989,Pelepasan Varietas Tanaman,,
LompoBATANg,Tanaman Pangan,Kedelai,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Dalam Negeri,1989,Pelepasan Varietas Tanaman,,
Rinjani,Tanaman Pangan,Kedelai,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Dalam Negeri,1989,Pelepasan Varietas Tanaman,,
Tambora,Tanaman Pangan,Kedelai,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Introduksi,1989,Pelepasan Varietas Tanaman,,
Lmjng Bewok,Tanaman Pangan,Kedelai,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,,1989,Pelepasan Varietas Tanaman,,
Petek,Tanaman Pangan,Kedelai,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Lokal,1989,Pelepasan Varietas Tanaman,,
Mendut,Tanaman Pangan,Ubi Jalar,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Introduksi,1989,Pelepasan Varietas Tanaman, ,
Sidodol,Tanaman Buah,Durian,,,,1990,Pelepasan Varietas Tanaman,588/Kpts/TP.240/8/1990,
Sihijau,Tanaman Buah,Durian,,,,1990,Pelepasan Varietas Tanaman,586/Kpts/TP.240/8/1990,
Sijapang,Tanaman Buah,Durian,,,,1990,Pelepasan Varietas Tanaman,587/Kpts/TP.240/8/1990,
Antalagi,Tanaman Buah,Rambutan,,,,1990,Pelepasan Varietas Tanaman,589/Kpts/TP.240/8/1990,
Sibongkok,Tanaman Buah,Rambutan,,,,1990,Pelepasan Varietas Tanaman,590/Kpts/TP.240/8/1990,
Sibatuk Ganal,Tanaman Buah,Rambutan,,,,1990,Pelepasan Varietas Tanaman,591/Kpts/TP.240/8/1990,
PS 77-1381,Tanaman Perkebunan,Tebu,"Gunawan Sukarso, Soedjono Darmodjo, Soejoto Sastrowijoyo, Mirzawan P.D.N, Soeprajitno Lamadji, Soeprijanto, Eka Sugiyarna, Hermono Budisantoso","Gunawan Sukarso, Soedjono Darmodjo, Soejoto Sastrowijoyo, Mirzawan P.D.N, Soeprajitno Lamadji, Soeprijanto, Eka Sugiyarna, Hermono Budisantoso",Dalam Negeri,1990,Pelepasan Varietas Tanaman,606/Kpts/TP.240/8/1990,
GMB 1,Tanaman Perkebunan,Teh,BPTK Gambung,BPTK Gambung,Dalam Negeri,1988,Pelepasan Varietas Tanaman,260/Kpts/KB.230/4/1988,
PS 61,Tanaman Perkebunan,Tebu,"Soejoto Sastrowijoyo, Gunawan Sukarso, Mirzawan P.D.N","Soejoto Sastrowijoyo, Gunawan Sukarso, Mirzawan P.D.N",Dalam Negeri,1988,Pelepasan Varietas Tanaman,262/Kpts/KB.230/4/1988,
Pondoh,Tanaman Buah,Salak,,,,1988,Pelepasan Varietas Tanaman,272/Kpts/TP.240/4/1988,
Lumbu Putih,Tanaman Sayuran,Bawang Putih,,,,1988,Pelepasan Varietas Tanaman,273/Kpts/TP.240/4/1988,
PS 78-2601,Tanaman Perkebunan,Tebu,"Soejoto Sastrowijoyo, Gunawan Sukarso, Mirzawan P.D.N, Soeprajitno Lamadji, Soedjono Darmodjo, Soeprijanto, Eka Sugiyarna, Hermono Budisantoso","Soejoto Sastrowijoyo, Gunawan Sukarso, Mirzawan P.D.N, Soeprajitno Lamadji, Soedjono Darmodjo, Soeprijanto, Eka Sugiyarna, Hermono Budisantoso",Dalam Negeri,1990,Pelepasan Varietas Tanaman,593/Kpts/TP.240/8/1990,
PS 79-82,Tanaman Perkebunan,Tebu,"Soejoto Sastrowijoyo, Gunawan Sukarso, Mirzawan P.D.N, Soeprajitno Lamadji, Soedjono Darmodjo, Soeprijanto, Eka Sugiyarna, Hermono Budisantoso","Soejoto Sastrowijoyo, Gunawan Sukarso, Mirzawan P.D.N, Soeprajitno Lamadji, Soedjono Darmodjo, Soeprijanto, Eka Sugiyarna, Hermono Budisantoso",Dalam Negeri,1990,Pelepasan Varietas Tanaman,594/Kpts/TP.240/8/1990,
PS 79-208,Tanaman Perkebunan,Tebu,"Soejoto Sastrowijoyo, Gunawan Sukarso, Mirzawan P.D.N, Soeprajitno Lamadji, Soedjono Darmodjo, Soeprijanto, Eka Sugiyarna, Hermono Budisantoso","Soejoto Sastrowijoyo, Gunawan Sukarso, Mirzawan P.D.N, Soeprajitno Lamadji, Soedjono Darmodjo, Soeprijanto, Eka Sugiyarna, Hermono Budisantoso",Dalam Negeri,1990,Pelepasan Varietas Tanaman,595/Kpts/TP.240/8/1990,
Adira IV,Tanaman Pangan,Ubi Kayu,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,,1986,Pelepasan Varietas Tanaman, ,
DP Lame,Tanaman Perkebunan,Kelapa Sawit,Pusat Penelitian Kelapa Sawit,Pusat Penelitian Kelapa Sawit,Dalam Negeri,1985,Pelepasan Varietas Tanaman,316/Kpts/TP.240/4/1985,
