no_akreditasi,nama,skema_kode,skema,alamat,provinsi,telepon,sumber
"LSPr-045-IDN","Benih dan Bibit Ternak Direktorat Jenderal Peternakan dan Kesehatan Hewan Kementerian Pertanian","LSPr","Lembaga Sertifikasi Produk, Proses, Jasa","Gd. C, Lt. 7 Ruang 723, Jl. Harsono RM No. 3, Ragunan, Pasar Minggu, Jakarta Selatan","DKI Jakarta","(021) 7815781","https://layanan.kan.or.id/direktori-lpk/2352/2"
"LSPr-047-IDN","PT. Qualis Indonesia","LSPr","Lembaga Sertifikasi Produk, Proses, Jasa","Jln. Pajajaran No. 17, Desa Gandasari, Kec. Jatiuwung - Tangerang - Indonesia","Banten","021 55652583/86","https://layanan.kan.or.id/direktori-lpk/2261/2"
"LSPr-050-IDN","Direktorat Layanan Infrastruktur Digital Kementerian Komunikasi dan Digital","LSPr","Lembaga Sertifikasi Produk, Proses, Jasa","Menara Danareksa Lantai 12, Jl. Medan Merdeka Selatan No. 14, Jakarta Pusat","DKI Jakarta","021-159 Ext.2 / 08111100159","https://layanan.kan.or.id/direktori-lpk/1123/2"
"LSPR-054-IDN","PT IAPMO GROUP INDONESIA","LSPr","Lembaga Sertifikasi Produk, Proses, Jasa","Jl. Kapuk Timur Blok F23 No11AA Lippo Cikarang, Delta Silicon III","","02189911467","https://layanan.kan.or.id/direktori-lpk/1455/2"
"LSPr-073-IDN","PT PCU INDONESIA","LSPr","Lembaga Sertifikasi Produk, Proses, Jasa","GED. AD PREMIER LT 8 UNIT 5-6 JL.TB. SIMATUPANG NO. 05, Desa/Kelurahan Ragunan, Kec. Pasar Minggu, Kota Adm. Jakarta Selatan, Provinsi DKI Jakarta","DKI Jakarta","+6221 - 22708984","https://layanan.kan.or.id/direktori-lpk/1726/2"
"LSPr-079-IDN","LEMBAGA SERTIFIKASI PRODUK BALAI PENERAPAN MUTU HASIL PERIKANAN (LS Pro-BPMHP) PROVINSI KALIMANTAN SELATAN","LSPr","Lembaga Sertifikasi Produk, Proses, Jasa","JL. MISTAR COKROKUSUMO NO 01 RT 03 RW 01 CEMPAKA BANJARBARU KALIMANTAN SELATAN 70733","Kalimantan Selatan","0511 7471800","https://layanan.kan.or.id/direktori-lpk/2728/2"
"LSPr-094-IDN","PT SDS Indonesia (Sustainable Development Services)","LSPr","Lembaga Sertifikasi Produk, Proses, Jasa","Jl. Srikoyo 117, Patrang","","08113431900","https://layanan.kan.or.id/direktori-lpk/877/2"
"LSPr-109-IDN","PT Equality Indonesia","LSPr","Lembaga Sertifikasi Produk, Proses, Jasa","Jl. Sukaraja No. 72 Ciater Sukaraja Bogor","Jawa Barat","02517550722","https://layanan.kan.or.id/direktori-lpk/2106/2"
"LSPr-115-IDN","PT Amerika Sistem Registrasi Internasional Indonesia","LSPr","Lembaga Sertifikasi Produk, Proses, Jasa","Talavera Office Park Lt. 28 Jl. TB Simatupang Kav 22-26","","02129512886","https://layanan.kan.or.id/direktori-lpk/2776/2"
"LSPr-141-IDN","Balai Pengamanan Alat dan Fasilitas Kesehatan (BPAFK) Jakarta","LSPr","Lembaga Sertifikasi Produk, Proses, Jasa","Jalan Percetakan Negara 23A, Jakarta Pusat","DKI Jakarta","4240406 / 4244168","https://layanan.kan.or.id/direktori-lpk/5736/2"
"LSPr-146-IDN","Balai Besar Perakitan dan Modernisasi Mekanisasi Pertanian","LSPr","Lembaga Sertifikasi Produk, Proses, Jasa","Jl. Sinarmas Boulevard, Situ Gadung, Kec. Pagedangan","","021-75675918","https://layanan.kan.or.id/direktori-lpk/8148/2"
"LSPr-155-IDN","PT Dharma Sertifikasi Indonesia","LSPr","Lembaga Sertifikasi Produk, Proses, Jasa","Gedung SOHO Pancoran Tower Noble LT 12 NO 9, JL. MT. Haryono KAV. 2- 3 Pancoran","","082210022588","https://layanan.kan.or.id/direktori-lpk/10766/2"
"LSPr-165-IDN","PT. GLOBAL RELASITAMA INDONESIA","LSPr","Lembaga Sertifikasi Produk, Proses, Jasa","Podomoro Golf View, Ruko Podomoro City Blok B2 No. 18, Bojong Nangka, Cimanggis, Kabupaten Bogor, Jawa Barat","Jawa Barat","+62811147238","https://layanan.kan.or.id/direktori-lpk/12332/2"
"LSPr-166-IDN","PT Standardisasi Sertifikasi Nasional","LSPr","Lembaga Sertifikasi Produk, Proses, Jasa","Jalan Raya Lontar 95i, Surabaya","Jawa Timur","08041300999","https://layanan.kan.or.id/direktori-lpk/12402/2"
"LSSHACCP-014-IDN","PT BUREAU VERITAS INDONESIA","LSSHACCP","Lembaga Sertifikasi Sistem Hazard Analysis and Critical Control Point","Wisma 76 Building, 21st Floor Jl. Let. Jend. S. Parman Kav.76 Slipi, Palmerah Jakarta Barat 11410","DKI Jakarta","+62 21 5366 6861","https://layanan.kan.or.id/direktori-lpk/6879/10017"
"old_LSSM-001-IDN","Balai Besar Bahan dan Barang Teknik - System Certification (B4T-QSC)","LSSM_old","old_Lembaga Sertifikasi Sistem Manajemen Mutu","Jl. Sangkuriang No. 14, Bandung","Jawa Barat","(022) 2504828","https://layanan.kan.or.id/direktori-lpk/307/10005"
"old_LSSM-047-IDN","PT. Sertifikasi Mutu Indonesia","LSSM_old","old_Lembaga Sertifikasi Sistem Manajemen Mutu","Jalan Bambu Apus Raya Blok G No. 6, Kel. Ceger, Kec. Cipayung, Jakarta Timur","DKI Jakarta","021 229 88 053","https://layanan.kan.or.id/direktori-lpk/2272/10005"
"old_LSSM-064-IDN","PT. SAKTI INDONESIA SERTIFIKASI","LSSM_old","old_Lembaga Sertifikasi Sistem Manajemen Mutu","Wisma SIER Lantai 4 JL. Raya Rungkut Industri No.10 Surabaya","Jawa Timur","031-8431224","https://layanan.kan.or.id/direktori-lpk/2267/10005"
"old_LSSM-065-IDN","Balai Besar Standardisasi dan Pelayanan Jasa Industri Logam dan Mesin (BBSPJILM)","LSSM_old","old_Lembaga Sertifikasi Sistem Manajemen Mutu","Jl Sangkuriang no.12","","022 2503171,022 2504","https://layanan.kan.or.id/direktori-lpk/2336/10005"
"old_LSSM-084-IDN","PT DCI SERTIFIKASI INDONESIA","LSSM_old","old_Lembaga Sertifikasi Sistem Manajemen Mutu","Gedung Office EightyEight@Kasablanka Lt. 16. Unit B, JL. Casablanka Kav.88, Kel. Menteng Dalam, Kec. Tebet","","021-2961 2675","https://layanan.kan.or.id/direktori-lpk/5822/10005"
"old_LSSM-086-IDN","LSSM BBSPJIKFK","LSSM_old","old_Lembaga Sertifikasi Sistem Manajemen Mutu","Jl. Balai Kimia No. 1 Kel. Pekayon, Kec.Pasar Rebo","","021-8717438","https://layanan.kan.or.id/direktori-lpk/4464/10005"
"old_LSSM-087-IDN","DGI Certification","LSSM_old","old_Lembaga Sertifikasi Sistem Manajemen Mutu","Komplek ITC Duta Mas Fatmawati Blok C1 nomor 10, Jalan RS Fatmawati nomor 39, Desa/Kelurahan Cipete Utara, Kec. Kebayoran Baru, Kota Adm. Jakarta Selatan, Provinsi DKI Jakarta, Kode Pos: 12150","DKI Jakarta","0217548789","https://layanan.kan.or.id/direktori-lpk/8093/10005"
"old_LSSM-098-IDN","LSSM BSPJI Banjarbaru","LSSM_old","old_Lembaga Sertifikasi Sistem Manajemen Mutu","Jl. Panglima Batur No.2, Loktabat Utara, Kec. Banjarbaru Utara, Kota Banjar Baru, Kalimantan Selatan 70711","Kalimantan Selatan","08115164008","https://layanan.kan.or.id/direktori-lpk/6970/10005"
"old_LSSM-109-IDN","PT TCL SERTIFIKASI INDONESIA","LSSM_old","old_Lembaga Sertifikasi Sistem Manajemen Mutu","Sovereign Plaza Lt. 21, Jl. TB. Simatupang Kav. 36, Cilandak Barat, Jakarta Selatan","DKI Jakarta","021 75999999","https://layanan.kan.or.id/direktori-lpk/12155/10005"
"old_LSSM-111-IDN","LSSM VERTEX Global Indonesia","LSSM_old","old_Lembaga Sertifikasi Sistem Manajemen Mutu","Jl. Bandengan Selatan 80 Blok B No.7, Pejagalan, Penjaringan, Jakarta Utara","DKI Jakarta","(021) 22664801","https://layanan.kan.or.id/direktori-lpk/12398/10005"
"","PT LRQA BUSINESS ASSURANCE AND INSPECTION SERVICES INDONESIA","LSSMAP","old_Lembaga Sertifikasi Sistem Manajemen Anti Penyuapan","WeWork, Noble House 30th Floor, Jalan Dr. Ide Anak Agung Gde Agung Kav. E.4.2, Mega Kuningan, Rukun Tetangga 005, Rukun Warga 002, Kelurahan Kuningan Timur, Kecamatan Setiabudi","Jawa Barat","08118041728","https://layanan.kan.or.id/direktori-lpk/4259/10019"
"12160","PT. SAI GLOBAL INDONESIA","LSSMAP","old_Lembaga Sertifikasi Sistem Manajemen Anti Penyuapan","GRAHA ISKANDARSYAH LT4 JL ISKANDARSYAH RAYA NO 66C JAKARTA JAKARTA SELATAN DKI JAKARTA","DKI Jakarta","021-7206186","https://layanan.kan.or.id/direktori-lpk/2514/10019"
"old_LSSMAP-027-IDN","PT BSC Mutu Internasional","LSSMAP","old_Lembaga Sertifikasi Sistem Manajemen Anti Penyuapan","PSW Tower Lantai 2, Suite D-204, Jalan Pangeran Antasari No.75, Desa/Kelurahan Cilandak Barat, Kec. Cilandak, Kota Adm. Jakarta Selatan, Provinsi DKI Jakarta, 12430","DKI Jakarta","021-3970 2149 (Ext.1235)","https://layanan.kan.or.id/direktori-lpk/6950/10019"
"old_LSSML-032-IDN","PT GLOBAL CERTIFICATION INDONESIA","LSSMAP","old_Lembaga Sertifikasi Sistem Manajemen Anti Penyuapan","Pakuwon Center - Superblok Tunjungan City Lantai 15 (Lt. 15-12), Jalan Embong Malang No. 1, 3, 5, Kel. Kedungdoro, Kec. Tegalsari","Jawa Timur","031-5953508","https://layanan.kan.or.id/direktori-lpk/5696/10019"
"old_LSSMBL-004-IDN","PT Garuda Sertifikasi Indonesia","LSSMBL","old_Lembaga Sertifikasi Sistem Manajemen Biorisiko Laboratorium","Jalan Pidada XI, Perum Griya Loka, Kav.11, No.9X, Kelurahan Ubung,","","03618947607/03618947607","https://layanan.kan.or.id/direktori-lpk/7039/10007"
"old_LSSMKI-014-IDN","PT EKUALINDO ARTHA SINERGI","LSSMKI","old_Lembaga Sertifikasi Sistem Manajemen Keamanan Informasi","Rukan Sentra Niaga Boulevard Blok RSNB No.16 Grand Galaxy City, RT.001/RW.002, Jaka Setia, Kec. Bekasi Sel., Kota Bks, Jawa Barat 17147","Jawa Barat","(021) 82751222","https://layanan.kan.or.id/direktori-lpk/8045/10023"
"old_LSSMKP-004-IDN","PT. TUV Nord Indonesia","LSSMKP","old_Lembaga Sertifikasi Sistem Manajemen Keamanan Pangan","Perkantoran Hijau Arkadia Jl. Letjen TB. Simatupang Kav 88 Tower F, Lantai 6","","021-78837338","https://layanan.kan.or.id/direktori-lpk/519/10014"
"old_LSSMKP-011-IDN","Balai Standardisasi dan Pelayanan Jasa (BSPJI) Palembang","LSSMKP","old_Lembaga Sertifikasi Sistem Manajemen Keamanan Pangan","Jl.Perindustrian II No.12 km.9 Kecamatan Sukarame","","(0711) 412482","https://layanan.kan.or.id/direktori-lpk/4431/10014"
"old_LSSMKP-012-IDN","Balai Standardisasi dan Pelayanan Jasa Industri Jakarta","LSSMKP","old_Lembaga Sertifikasi Sistem Manajemen Keamanan Pangan","Jl. Cikini IV No.15","","021-3150221","https://layanan.kan.or.id/direktori-lpk/5787/10014"
"old_ LSSML-026-IDN","PT TUV SUD Indonesia","LSSML","old_Lembaga Sertifikasi Sistem Manajemen Lingkungan","Indonesia Stock Exchange Building, Tower I, 8th Floor Suite 806, Jl. Jenderal Sudirman, Kav 52-53, Lot 2","","(021) 2903 5015","https://layanan.kan.or.id/direktori-lpk/2236/10010"
"old_LSSMAP-025-IDN","PT GLOBAL CERTIFICATION INDONESIA","LSSML","old_Lembaga Sertifikasi Sistem Manajemen Lingkungan","Pakuwon Center - Superblok Tunjungan City Lantai 15 (Lt. 15-12), Jalan Embong Malang No. 1, 3, 5, Kel. Kedungdoro, Kec. Tegalsari","Jawa Timur","031-5953508","https://layanan.kan.or.id/direktori-lpk/5698/10010"
"old_LSSML-010-IDN","PT. TUV Rheinland Indonesia","LSSML","old_Lembaga Sertifikasi Sistem Manajemen Lingkungan","Gedung Menara Karya Lt.10 Jl. HR. Rasuna Said Blok X-5 Kav. 1-2","","021-39704579","https://layanan.kan.or.id/direktori-lpk/517/10010"
"old_LSSML-025-IDN","PT. MSA Certification","LSSML","old_Lembaga Sertifikasi Sistem Manajemen Lingkungan","Perkantoran Tanjung Mas Raya Blok B1 No. 42 Lt. 2, Jl. Tanjung Barat Raya No.2, Tanjung Barat, Jakarta 12530","DKI Jakarta","021-27874714","https://layanan.kan.or.id/direktori-lpk/2058/10010"
"old_LSSMOP-012-IDN","DGI Certification","LSSMOP","old_Lembaga Sertifikasi Sistem Manajemen Organisasi Pendidikan","Komplek ITC Duta Mas Fatmawati Blok C1 nomor 10, Jalan RS Fatmawati nomor 39, Desa/Kelurahan Cipete Utara, Kec. Kebayoran Baru, Kota Adm. Jakarta Selatan, Provinsi DKI Jakarta, Kode Pos: 12150","DKI Jakarta","0217548789","https://layanan.kan.or.id/direktori-lpk/8094/10031"
"LSUHK-004-IDN","PT Superintending Company of Indonesia (PT SUCOFINDO) - SBU Sertifikasi dan Eco Framework (Sucofindo International Certification Services)","LSUHK","Lembaga Sertifikasi Penyelenggara Umrah dan Haji Khusus","Graha Sucofindo, SBU SERCO Lt. B1 Jl. Raya Pasar Minggu Kav. 34","","(021) 7983666","https://layanan.kan.or.id/direktori-lpk/2290/10022"
"LSUHK-007-IDN","PT Mutuagung Lestari","LSUHK","Lembaga Sertifikasi Penyelenggara Umrah dan Haji Khusus","Jl. Raya Bogor K. 33.5 No. 19 Cimanggis Kota Depok","Jawa Barat","021-8740202","https://layanan.kan.or.id/direktori-lpk/2276/10022"
"LSUHK-015-IDN","PT. IRQA Indonesia","LSUHK","Lembaga Sertifikasi Penyelenggara Umrah dan Haji Khusus","Rukan Pesona Madani Blok A 21, Jalan Keadilan Raya , Kel. Rangkapan Jaya Baru, Kec. Pancoran Mas","","081293139128","https://layanan.kan.or.id/direktori-lpk/2706/10022"
"LSUHK-017-IDN","LSUHK PT. MUTU INDONESIA STRATEGIS BERKELANJUTAN","LSUHK","Lembaga Sertifikasi Penyelenggara Umrah dan Haji Khusus","JALAN CIPUTAT RAYA NO. 7 PONDOK PINANG JAKARTA SELATAN","DKI Jakarta","021 75916651-3","https://layanan.kan.or.id/direktori-lpk/2593/10022"
"LVV-007-IDN","Abhipraya Bumi Lestari","LVV","Lembaga Validasi dan Verifikasi","The Mansion Bougenville, Tower Fontana, lantai 27, ruang BF27-E2, Jl. Trembesi Blok D, Pademangan Timur, Kec. Pademangan, Jakarta Utara, Daerah Khusus Ibukota Jakarta. 14410.","DKI Jakarta","0819 9026 9999","https://layanan.kan.or.id/direktori-lpk/6948/10018"
"LVV-008-IDN","PT BUREAU VERITAS INDONESIA","LVV","Lembaga Validasi dan Verifikasi","Wisma 76 Building 21st Floor Jl. Let. Jend. S. Parman Kav 76, Slipi, Palmerah, Jakarta Barat 11410, Indonesia","DKI Jakarta","+62 21 5366 6861","https://layanan.kan.or.id/direktori-lpk/5573/10018"
"LVV-010-IDN","PT SUCOFINDO (Persero)- SBU Perdagangan, Industri dan Kelautan","LVV","Lembaga Validasi dan Verifikasi","Jl. Raya Pasar Minggu Kav.34 Jakarta 12780","DKI Jakarta","0217983666","https://layanan.kan.or.id/direktori-lpk/5711/10018"
"LVV-011-IDN","PT CBQA GLOBAL INDONESIA","LVV","Lembaga Validasi dan Verifikasi","South Quarter Tower A, 17th Floor Unit B2-C1 Jl. R.A Kartini Kav 8, Cilandak Barat, Jakarta 12430","DKI Jakarta","021-2781 4200","https://layanan.kan.or.id/direktori-lpk/5500/10018"
"LVV-012-IDN","PT Carsurin","LVV","Lembaga Validasi dan Verifikasi","Gedung Soho Capital Lantai 28, Jalan Letjen S. Parman Kaveling 28, Desa/Kelurahan Tanjung Duren Selatan, Kec. Grogol Petamburan","","02150226868","https://layanan.kan.or.id/direktori-lpk/5511/10018"
"LVV-028-IDN","PT Qualitas Sertifikasi Indonesia","LVV","Lembaga Validasi dan Verifikasi","The CEO Building Level 12th, Jl. TB Simatupang No. 18C, Cilandak Barat, Cilandak, Jakarta Selatan, DKI Jakarta, 12430 Indonesia","DKI Jakarta","+62 21 2949 1946","https://layanan.kan.or.id/direktori-lpk/11917/10018"
"PBA-006-IDN","Laboratorium PT. Gelora Djaja","PBA","Produsen Bahan Acuan","Jalan Buntaran No. 9 Tandes, Surabaya","Jawa Timur","031-7493556","https://layanan.kan.or.id/direktori-lpk/5601/10029"
"PBA-012-IDN","PT SUCOFINDO SBU MINERAL","PBA","Produsen Bahan Acuan","Jl. Arteri Tol Cibitung No. 1, Cikarang Barat, Kab. Bekasi, Jawa Barat","Jawa Barat","(021) 7983666","https://layanan.kan.or.id/direktori-lpk/12021/10029"
"PUP-005-IDN","Balai Besar Perakitan dan Modernisasi Veteriner","PUP","Penyelenggara Uji Profisiensi","Jl. R.E. Martadinata No. 30, Bogor","Jawa Barat","(0251) 8331048","https://layanan.kan.or.id/direktori-lpk/2346/10004"
"PUP-019-IDN","Balai Besar Uji Standar Karantina Hewan, Ikan, dan Tumbuhan","PUP","Penyelenggara Uji Profisiensi","Jl. Pemuda no. 64 Kav. 16-17, Rawamangun Jakarta Timur.","DKI Jakarta","-","https://layanan.kan.or.id/direktori-lpk/2257/10004"
"PUP-020-IDN","Balai Pengamanan Alat dan Fasilitas Kesehatan Jakarta","PUP","Penyelenggara Uji Profisiensi","Jl. PERCETAKAN NEGARA 23 A JAKARTA PUSAT","DKI Jakarta","021 4240406, 4288224","https://layanan.kan.or.id/direktori-lpk/1966/10004"
"PUP-022-IDN","BALAI BESAR VETERINER WATES","PUP","Penyelenggara Uji Profisiensi","Jl. Raya Jogja-Wates Km.27","","0274-773168","https://layanan.kan.or.id/direktori-lpk/2334/10004"
"PUP-023-IDN","Balai Besar Biomedis dan Genomika Kesehatan","PUP","Penyelenggara Uji Profisiensi","Jl. Percetakan Negara No. 23 B","","021-4212524","https://layanan.kan.or.id/direktori-lpk/2095/10004"
"PUP-024-IDN","Balai Besar Perakitan dan Modernisasi Pascapanen Pertanian (BRMP Pascapanen Pertanian)","PUP","Penyelenggara Uji Profisiensi","Jalan Tentara Pelajar No 12, KAMPUS PENELITIAN PERTANIAN","","(0251) 8321762","https://layanan.kan.or.id/direktori-lpk/2453/10004"
"PUP-043-IDN","Balai Besar Standardisasi dan Pelayanan Jasa Industri Logam dan Mesin","PUP","Penyelenggara Uji Profisiensi","Jl. Sangkuriang No. 12 Bandung","Jawa Barat","022 2503171/2503978","https://layanan.kan.or.id/direktori-lpk/5775/10004"
"PUP-044-IDN","Pusat Pengembangan Pengujian Obat dan Makanan Nasional","PUP","Penyelenggara Uji Profisiensi","Jalan Percetakan Negara No. 23 Jakarta Pusat 10560, Indonesia","DKI Jakarta","(021)4244691, 4244819, Fax 4245150, 4201427","https://layanan.kan.or.id/direktori-lpk/5724/10004"
"PUP-045-IDN","PUP BBSPJIKFK","PUP","Penyelenggara Uji Profisiensi","Jl.Balai Kimia No.1, Pekayon, Pasar Rebo, Jakarta Timur","DKI Jakarta","021-8714028","https://layanan.kan.or.id/direktori-lpk/6846/10004"
"PUP-046-IDN","Balai Besar Standardisasi dan Pelayanan Jasa Industri Kulit, Karet, dan Plastik","PUP","Penyelenggara Uji Profisiensi","Jl. Sokonandi No. 9 Yogyakarta","DI Yogyakarta","+62 274 512929","https://layanan.kan.or.id/direktori-lpk/6873/10004"
"PUP-054-IDN","BALAI BESAR VETERINER MAROS","PUP","Penyelenggara Uji Profisiensi","Jalan Dr. Ratulangi, Kelurahan Allepolea, Kecamatan Lau,Kabupaten Maros, Provinsi Sulawesi Selatan 90514","Sulawesi Selatan","(0411) 371105/ whatsApp 085156438764","https://layanan.kan.or.id/direktori-lpk/12403/10004"
